term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0086042,0.000112633,185.1915,3030.174,CXADR;JUP;PKP2;DSG2;DSC2,Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion (GO:0086042)
GO:0086069,0.001186338,147.5254,1904.447,JUP;PKP2;DSG2;DSC2,Bundle Of His Cell To Purkinje Myocyte Communication (GO:0086069)
GO:0086073,0.001186338,147.5254,1904.447,JUP;PKP2;DSG2;DSC2,Bundle Of His cell-Purkinje Myocyte Adhesion Involved In Cell Communication (GO:0086073)
GO:0034113,0.007790359,20.55792,220.5642,CXADR;JUP;PKP2;DSG2;DSC2,Heterotypic Cell-Cell Adhesion (GO:0034113)
GO:0098901,0.007790359,18.5,191.3914,CXADR;JUP;PKP2;DSG2;DSC2,Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901)
GO:0098911,0.007790359,36.86864,381.0049,JUP;PKP2;DSG2;DSC2,Regulation Of Ventricular Cardiac Muscle Cell Action Potential (GO:0098911)
GO:0086091,0.05367572,16.37665,132.921,JUP;PKP2;DSG2;DSC2,Regulation Of Heart Rate By Cardiac Conduction (GO:0086091)
GO:0098742,0.05367572,6.19671,50.24265,CXADR;TENM3;CDH2;DSG2;NECTIN3;IGSF9;PTPRF,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)
GO:0003229,0.05367572,36.7173,291.2158,PKP2;DSG2;FGFR2,Ventricular Cardiac Muscle Tissue Development (GO:0003229)
GO:0007156,0.05367572,9.726764,76.77547,TENM3;CDH2;DSG2;NECTIN3;IGSF9,Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156)
GO:0018212,0.05967366,9.239362,71.06896,EPHA4;FLT4;PTPN6;EGFR;FGFR2,Peptidyl-Tyrosine Modification (GO:0018212)
GO:0045216,0.06043729,6.738151,50.64755,PARD6B;CXADR;CDH2;PKP2;PKP1;DSG2,Cell-Cell Junction Organization (GO:0045216)
GO:0086004,0.06043729,13.39599,100.6335,JUP;PKP2;DSG2;DSC2,Regulation Of Cardiac Muscle Cell Contraction (GO:0086004)
GO:0061337,0.0732616,12.27825,88.96414,JUP;PKP2;DSG2;DSC2,Cardiac Conduction (GO:0061337)
GO:0018108,0.08962005,7.695922,53.68009,EPHA4;FLT4;PTPN6;EGFR;FGFR2,Peptidyl-Tyrosine Phosphorylation (GO:0018108)
