Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Estrogen Response Late	1.013272e-03	3.850435e-02	0	0	3.561077e+00	2.455209e+01	KCNK5;ACOX2;GJB3;ALDH3B1;DCXR;RBBP8;PLAAT3;LSR;PTPN6;LLGL2
MSigDB_Hallmark_2020	KRAS Signaling Dn	2.168642e-02	3.363481e-01	0	0	4.081450e+00	1.563632e+01	CYP39A1;PKP1;PTPRJ;GPRC5C
MSigDB_Hallmark_2020	Xenobiotic Metabolism	2.655380e-02	3.363481e-01	0	0	2.366897e+00	8.588480e+00	MPP2;CYB5A;TKFC;JUP;ACOX2;CYP2S1;DCXR;EPHX1
MSigDB_Hallmark_2020	Myogenesis	3.690575e-02	3.469043e-01	0	0	2.569767e+00	8.478659e+00	ABLIM1;MRAS;FHL1;KIFC3;CRYAB;MYLK
MSigDB_Hallmark_2020	Estrogen Response Early	4.564530e-02	3.469043e-01	0	0	2.244075e+00	6.927135e+00	KCNK5;ABLIM1;ALDH3B1;RBBP8;PLAAT3;THSD4;TGM2
MSigDB_Hallmark_2020	heme Metabolism	8.488873e-02	5.376286e-01	0	0	1.921626e+00	4.739525e+00	ALDH6A1;GDE1;CPOX;MBOAT2;CIR1;SLC30A1;ABCG2
MSigDB_Hallmark_2020	Apical Surface	1.166639e-01	5.618721e-01	0	0	3.649160e+00	7.840068e+00	CRYBG1;SHROOM2
MSigDB_Hallmark_2020	Hypoxia	1.296010e-01	5.618721e-01	0	0	1.803909e+00	3.685918e+00	SDC4;ILVBL;SDC2;PKP1;EGFR;TGM2
MSigDB_Hallmark_2020	p53 Pathway	1.330750e-01	5.618721e-01	0	0	1.789035e+00	3.608202e+00	CD82;GM2A;DCXR;EPHX1;OSGIN1;PHLDA3
MSigDB_Hallmark_2020	Glycolysis	2.109983e-01	7.472892e-01	0	0	1.535234e+00	2.388679e+00	CYB5A;SDC2;PKP2;HS6ST2;EGFR;DSC2
MSigDB_Hallmark_2020	KRAS Signaling Up	2.163206e-01	7.472892e-01	0	0	1.718843e+00	2.631539e+00	JUP;FLT4;PRKG2;SDCCAG8
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	2.393140e-01	7.578277e-01	0	0	1.640830e+00	2.346352e+00	SDC4;CDH2;MYLK;TGM2
MSigDB_Hallmark_2020	Bile Acid Metabolism	2.897533e-01	7.962119e-01	0	0	1.631967e+00	2.021559e+00	CYP39A1;ALDH1A1;PIPOX
MSigDB_Hallmark_2020	Allograft Rejection	3.118799e-01	7.962119e-01	0	0	1.561483e+00	1.819342e+00	PTPN6;GBP2;EGFR
MSigDB_Hallmark_2020	Apical Junction	3.354753e-01	7.962119e-01	0	0	1.388216e+00	1.516220e+00	JUP;SHROOM2;NECTIN3;EGFR
MSigDB_Hallmark_2020	Complement	3.354753e-01	7.962119e-01	0	0	1.388216e+00	1.516220e+00	GCA;ZFPM2;PLA2G7;CD55
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	3.562001e-01	7.962119e-01	0	0	1.437209e+00	1.483577e+00	PLCB1;EGFR;PAK4
MSigDB_Hallmark_2020	Fatty Acid Metabolism	4.149579e-01	8.760222e-01	0	0	1.233410e+00	1.084881e+00	NTHL1;EPHX1;ALDH1A1;CPOX
MSigDB_Hallmark_2020	Interferon Gamma Response	5.121158e-01	9.682664e-01	0	0	1.111728e+00	7.439735e-01	ST3GAL5;PTPN6;VAMP5
MSigDB_Hallmark_2020	Coagulation	5.873526e-01	9.682664e-01	0	0	1.021896e+00	5.437815e-01	ACOX2;CRIP2
MSigDB_Hallmark_2020	Inflammatory Response	5.947993e-01	9.682664e-01	0	0	1.007586e+00	5.234726e-01	CD82;CD55
MSigDB_Hallmark_2020	Androgen Response	6.093913e-01	9.682664e-01	0	0	9.801272e-01	4.854518e-01	TMPRSS2;DNAJB9
MSigDB_Hallmark_2020	Pperoxisome	6.441175e-01	9.682664e-01	0	0	9.175620e-01	4.036118e-01	SLC25A19;ALDH1A1
MSigDB_Hallmark_2020	Adipogenesis	6.555691e-01	9.682664e-01	0	0	8.938062e-01	3.774110e-01	BCL2L13;DNAJB9;CYP4B1;MYLK
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	6.729412e-01	9.682664e-01	0	0	9.063808e-01	3.590150e-01	MGST1
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	6.817568e-01	9.682664e-01	0	0	8.841719e-01	3.387106e-01	LTBR
MSigDB_Hallmark_2020	Protein Secretion	7.174946e-01	9.682664e-01	0	0	7.954566e-01	2.640836e-01	CAV2;EGFR
MSigDB_Hallmark_2020	Spermatogenesis	7.442726e-01	9.682664e-01	0	0	7.391341e-01	2.183017e-01	TLE4
MSigDB_Hallmark_2020	UV Response Dn	7.638480e-01	9.682664e-01	0	0	7.231092e-01	1.947959e-01	PLCB4;SDC2
MSigDB_Hallmark_2020	Interferon Alpha Response	7.644209e-01	9.682664e-01	0	0	6.962504e-01	1.870384e-01	GBP2
MSigDB_Hallmark_2020	Cholesterol Homeostasis	8.208374e-01	9.731333e-01	0	0	5.832771e-01	1.151565e-01	GSTM2
MSigDB_Hallmark_2020	Mitotic Spindle	8.849889e-01	9.731333e-01	0	0	5.829627e-01	7.122646e-02	SHROOM2;CDC42EP1;SHROOM1
MSigDB_Hallmark_2020	Unfolded Protein Response	9.385838e-01	9.731333e-01	0	0	3.564356e-01	2.259202e-02	DNAJB9
MSigDB_Hallmark_2020	UV Response Up	9.402506e-01	9.731333e-01	0	0	3.529002e-01	2.174178e-02	EPHX1
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	9.434502e-01	9.731333e-01	0	0	3.460332e-01	2.014318e-02	SDC4
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	9.558631e-01	9.731333e-01	0	0	3.181397e-01	1.436102e-02	TGM2
MSigDB_Hallmark_2020	Oxidative Phosphorylation	9.649545e-01	9.731333e-01	0	0	3.827798e-01	1.365543e-02	CYB5A;ALDH6A1
MSigDB_Hallmark_2020	DNA Repair	9.731333e-01	9.731333e-01	0	0	2.738510e-01	7.458123e-03	SNAPC5
