Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Phosphate-Containing Compound Metabolic Process (GO:0006796)	4.424001e-04	3.398814e-01	0	0	3.472036e+00	2.681556e+01	PFKFB2;DUSP4;INPP4B;PPP3CB;PANK3;GPX4;LRRK2;ACYP2;ACYP1;PLPP3;PSPH;PFKP
GO_Biological_Process_2023	Regulation Of Inclusion Body Assembly (GO:0090083)	7.627186e-04	3.398814e-01	0	0	2.811726e+01	2.018432e+02	SACS;HSPA2;HSPA1B
GO_Biological_Process_2023	Skeletal System Morphogenesis (GO:0048705)	7.893106e-04	3.398814e-01	0	0	1.252869e+01	8.950932e+01	TFAP2A;DYNC2I1;LAMA5;ATG9A
GO_Biological_Process_2023	Lipoxygenase Pathway (GO:0019372)	1.197288e-03	3.398814e-01	0	0	inf	inf	GPX1;GPX4
GO_Biological_Process_2023	Serine Family Amino Acid Metabolic Process (GO:0009069)	1.300567e-03	3.398814e-01	0	0	2.108550e+01	1.401122e+02	CTH;SEPHS2;PSPH
GO_Biological_Process_2023	Negative Regulation Of Inclusion Body Assembly (GO:0090084)	1.300567e-03	3.398814e-01	0	0	2.108550e+01	1.401122e+02	SACS;HSPA2;HSPA1B
GO_Biological_Process_2023	Serine Family Amino Acid Biosynthetic Process (GO:0009070)	2.027692e-03	4.542030e-01	0	0	1.686645e+01	1.045864e+02	CTH;SEPHS2;PSPH
GO_Biological_Process_2023	Icosanoid Metabolic Process (GO:0006690)	2.354339e-03	4.614504e-01	0	0	8.669683e+00	5.246455e+01	GPX1;GPX4;NLRC4;DAGLB
GO_Biological_Process_2023	Protein Prenylation (GO:0018342)	4.126223e-03	6.419414e-01	0	0	1.204467e+01	6.612998e+01	FNTA;FNTB;RABGGTA
GO_Biological_Process_2023	Regulation Of Small GTPase Mediated Signal Transduction (GO:0051056)	4.263744e-03	6.419414e-01	0	0	3.387565e+00	1.848800e+01	ARHGAP22;ARHGAP32;FLCN;SWAP70;ARAP1;GMIP;NGEF;FGD1
