Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Interferon Gamma Response	2.547613e-03	1.095474e-01	0	0	3.129670e+00	1.869226e+01	RNF31;CASP3;TNFAIP2;LYSMD2;TDRD7;PARP12;MYD88;PSMB10;WARS1;PFKP
MSigDB_Hallmark_2020	Glycolysis	1.436124e-02	2.476193e-01	0	0	2.265208e+00	9.611780e+00	GYS1;FUT8;CHPF;COL5A1;IGFBP3;CTH;PGM2;AK4;GUSB;PFKP;GNE
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	1.727577e-02	2.476193e-01	0	0	2.429046e+00	9.858163e+00	RABGAP1L;GPX4;SWAP70;CASP3;NCS1;IL3RA;DENND5A;SLC39A8;ETV4
MSigDB_Hallmark_2020	p53 Pathway	3.501303e-02	3.763900e-01	0	0	2.121678e+00	7.111938e+00	LDHB;PTPRE;CDKN2B;RAD51C;ABHD4;STOM;FOXO3;RCHY1;SERPINB5
MSigDB_Hallmark_2020	KRAS Signaling Up	8.802794e-02	7.570403e-01	0	0	2.033608e+00	4.941873e+00	BTC;RABGAP1L;TMEM158;IGFBP3;ANXA10;ETV4
MSigDB_Hallmark_2020	Interferon Alpha Response	1.106891e-01	7.653074e-01	0	0	2.290516e+00	5.041494e+00	RNF31;TDRD7;PARP12;WARS1
MSigDB_Hallmark_2020	Hypoxia	1.558942e-01	7.653074e-01	0	0	1.625563e+00	3.021235e+00	GYS1;COL5A1;IGFBP3;PGM2;AK4;FOXO3;PFKP
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	1.567277e-01	7.653074e-01	0	0	1.701754e+00	3.153769e+00	DUSP4;PTPRE;TNFAIP2;DENND5A;PLPP3;RELB
MSigDB_Hallmark_2020	KRAS Signaling Dn	1.601806e-01	7.653074e-01	0	0	2.270798e+00	4.158861e+00	FGGY;CAMK1D;MACROH2A2
MSigDB_Hallmark_2020	Spermatogenesis	2.499392e-01	9.736240e-01	0	0	1.785571e+00	2.475761e+00	HSPA1L;HSPA2;CHFR
MSigDB_Hallmark_2020	Apical Junction	3.266866e-01	9.736240e-01	0	0	1.344735e+00	1.504428e+00	AKT3;FSCN1;NEXN;MYH10;CD99
MSigDB_Hallmark_2020	Pancreas Beta Cells	3.679808e-01	9.736240e-01	0	0	2.325512e+00	2.324872e+00	AKT3
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	4.036841e-01	9.736240e-01	0	0	1.255196e+00	1.138616e+00	COL5A1;WIPF1;IGFBP3;DPYSL3
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	4.182124e-01	9.736240e-01	0	0	1.431235e+00	1.247702e+00	GPX4;PFKP
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	4.302572e-01	9.736240e-01	0	0	1.395292e+00	1.176750e+00	IL3RA;MYD88
MSigDB_Hallmark_2020	Allograft Rejection	4.667399e-01	9.736240e-01	0	0	1.195672e+00	9.110822e-01	BCAT1;PSMB10;WARS1
MSigDB_Hallmark_2020	Apoptosis	4.735348e-01	9.736240e-01	0	0	1.138722e+00	8.512287e-01	GPX1;GPX4;CASP3;CTH
MSigDB_Hallmark_2020	UV Response Dn	4.735348e-01	9.736240e-01	0	0	1.138722e+00	8.512287e-01	INPP4B;AKT3;PLPP3;LTBP1
MSigDB_Hallmark_2020	Mitotic Spindle	4.781375e-01	9.736240e-01	0	0	1.079044e+00	7.961800e-01	CLIP2;OPHN1;FSCN1;TUBGCP5;ARAP3;ATG4B;MYH10
MSigDB_Hallmark_2020	Hedgehog Signaling	4.887186e-01	9.736240e-01	0	0	1.549263e+00	1.109223e+00	OPHN1
MSigDB_Hallmark_2020	Androgen Response	4.934719e-01	9.736240e-01	0	0	1.146134e+00	8.095020e-01	INPP4B;NGLY1;STK39
MSigDB_Hallmark_2020	Angiogenesis	5.064753e-01	9.736240e-01	0	0	1.467552e+00	9.983460e-01	THBD
MSigDB_Hallmark_2020	Apical Surface	5.401658e-01	9.736240e-01	0	0	1.327477e+00	8.175657e-01	PCSK9
MSigDB_Hallmark_2020	heme Metabolism	5.434180e-01	9.736240e-01	0	0	1.024470e+00	6.247998e-01	ACSL6;FOXO3;UBAC1;HTATIP2;ADD2
MSigDB_Hallmark_2020	Myogenesis	6.233302e-01	9.991096e-01	0	0	9.383303e-01	4.435289e-01	SVIL;IGFBP3;MAPK12
MSigDB_Hallmark_2020	Xenobiotic Metabolism	6.823619e-01	9.991096e-01	0	0	8.619344e-01	3.294271e-01	BCAT1;XDH;PSMB10;PTGES
MSigDB_Hallmark_2020	UV Response Up	6.984111e-01	9.991096e-01	0	0	8.340391e-01	2.993761e-01	CDKN2B;CASP3;HSPA2
MSigDB_Hallmark_2020	mTORC1 Signaling	7.216572e-01	9.991096e-01	0	0	8.262100e-01	2.695138e-01	CTH;AK4;BCAT1;PSPH;WARS1
MSigDB_Hallmark_2020	Coagulation	7.254553e-01	9.991096e-01	0	0	7.832449e-01	2.513870e-01	THBD;USP11
MSigDB_Hallmark_2020	TGF-beta Signaling	7.734624e-01	9.991096e-01	0	0	6.783487e-01	1.742531e-01	FNTA
MSigDB_Hallmark_2020	DNA Repair	8.415416e-01	9.991096e-01	0	0	6.443451e-01	1.111623e-01	GPX4;USP11;TYMS
MSigDB_Hallmark_2020	Cholesterol Homeostasis	8.924647e-01	9.991096e-01	0	0	4.474893e-01	5.091010e-02	GUSB
