Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion (GO:0086042)	1.113993e-06	3.709598e-03	0	0	inf	inf	DSP;CXADR;JUP;PKP2;DSG2;DSC2
GO_Biological_Process_2023	Positive Regulation Of MAPK Cascade (GO:0043410)	2.854595e-06	4.752900e-03	0	0	2.964793e+00	3.785027e+01	BCAR3;APP;WWC1;FLT4;PTPRJ;PRKCZ;EGFR;INAVA;IGF1R;DSTYK;BMPER;PDGFD;PDGFC;PTK2B;TGFB2;KSR1;CCL20;CAV2;NRG1;MID1;TGFBR1;TIRAP;VEGFA;MFHAS1;ACKR3;GAS6;TMEM106A;JCAD;FGFR2;GSDME
GO_Biological_Process_2023	Bundle Of His Cell To Purkinje Myocyte Communication (GO:0086069)	1.096847e-05	9.131253e-03	0	0	inf	inf	DSP;JUP;PKP2;DSG2;DSC2
GO_Biological_Process_2023	Bundle Of His cell-Purkinje Myocyte Adhesion Involved In Cell Communication (GO:0086073)	1.096847e-05	9.131253e-03	0	0	inf	inf	DSP;JUP;PKP2;DSG2;DSC2
GO_Biological_Process_2023	Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)	1.582026e-05	1.053629e-02	0	0	4.323638e+00	4.779444e+01	TGFB2;CXADR;VCAM1;TENM3;TENM4;CLDN2;IGSF9;PTPRF;IGSF11;CDH2;FLRT3;CDH10;DSG2;SCARF2;CDH17;NECTIN3
GO_Biological_Process_2023	Heterotypic Cell-Cell Adhesion (GO:0034113)	1.957126e-05	1.086205e-02	0	0	1.182468e+01	1.281966e+02	DSP;CXADR;VCAM1;JUP;PKP2;ITGA7;DSG2;DSC2
GO_Biological_Process_2023	Ceramide Catabolic Process (GO:0046514)	2.600779e-05	1.122445e-02	0	0	2.656009e+01	2.803979e+02	ASAH2;GM2A;HEXB;HEXA;ACER3;NEU1
GO_Biological_Process_2023	Regulation Of MAPK Cascade (GO:0043408)	2.875473e-05	1.122445e-02	0	0	2.943372e+00	3.077798e+01	BCAR3;EPHA7;KSR1;CAV2;WWC1;FLT4;PRDM15;PIK3R2;PTPRJ;DUSP9;DUSP16;WDR54;DUSP6;EGFR;INAVA;TGFBR1;TIRAP;IGF1R;PTPN6;TMEM106A;JCAD;FGFR2;GSDME;PAK4
GO_Biological_Process_2023	Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667)	3.033636e-05	1.122445e-02	0	0	4.617064e+00	4.803207e+01	APP;APLP2;ATL1;TBCD;ANK3;PAX2;SHTN1;PARD6B;OPHN1;MAP2;TRIM46;MAP6;APBB1;FGFR2
GO_Biological_Process_2023	Kidney Development (GO:0001822)	5.524852e-05	1.839776e-02	0	0	5.080704e+00	4.980954e+01	TGFB2;VANGL2;TRAF3IP1;C1GALT1;CTSH;IFT27;HNF1B;PAX2;TGFBR1;STRA6;SULF2;VEGFA
GO_Biological_Process_2023	Axonogenesis (GO:0007409)	6.306321e-05	1.909095e-02	0	0	3.026363e+00	2.926909e+01	APP;EPHA4;EPHA7;AUTS2;APLP2;ATL1;SEMA3E;ANK3;SEMA4G;IGSF9;PAX2;EFNA1;ENAH;SHTN1;PARD6B;OPHN1;TRIM46;APBB1;NEO1;SPG11;FGFR2
GO_Biological_Process_2023	Epithelial Cell-Cell Adhesion (GO:0090136)	7.126418e-05	1.977581e-02	0	0	1.770452e+01	1.690625e+02	CAMSAP3;DSP;JUP;KIFC3;SERPINB8;THBS4
GO_Biological_Process_2023	Regulation Of Heart Rate By Cardiac Conduction (GO:0086091)	1.113429e-04	2.852091e-02	0	0	1.033517e+01	9.408000e+01	DSP;CAMK2D;JUP;CACNA2D1;PKP2;DSG2;DSC2
GO_Biological_Process_2023	Regulation Of ERK1 And ERK2 Cascade (GO:0070372)	1.316174e-04	3.130615e-02	0	0	2.617356e+00	2.338767e+01	APP;EPHA4;EPHA7;CCL20;FLT4;NRG1;PRKCZ;DUSP6;EGFR;TIRAP;SLC9A3R1;MFHAS1;FLCN;DSTYK;BMPER;TNIP1;PDGFD;PDGFC;PTK2B;ACKR3;PTPN6;SPRY1;GAS6;FGFR2
