term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0086042,0.003709598,inf,inf,DSP;CXADR;JUP;PKP2;DSG2;DSC2,Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion (GO:0086042)
GO:0043410,0.0047529,2.964793,37.85027,BCAR3;APP;WWC1;FLT4;PTPRJ;PRKCZ;EGFR;INAVA;IGF1R;DSTYK;BMPER;PDGFD;PDGFC;PTK2B;TGFB2;KSR1;CCL20;CAV2;NRG1;MID1;TGFBR1;TIRAP;VEGFA;MFHAS1;ACKR3;GAS6;TMEM106A;JCAD;FGFR2;GSDME,Positive Regulation Of MAPK Cascade (GO:0043410)
GO:0086069,0.009131253,inf,inf,DSP;JUP;PKP2;DSG2;DSC2,Bundle Of His Cell To Purkinje Myocyte Communication (GO:0086069)
GO:0086073,0.009131253,inf,inf,DSP;JUP;PKP2;DSG2;DSC2,Bundle Of His cell-Purkinje Myocyte Adhesion Involved In Cell Communication (GO:0086073)
GO:0098742,0.01053629,4.323638,47.79444,TGFB2;CXADR;VCAM1;TENM3;TENM4;CLDN2;IGSF9;PTPRF;IGSF11;CDH2;FLRT3;CDH10;DSG2;SCARF2;CDH17;NECTIN3,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)
GO:0034113,0.01086205,11.82468,128.1966,DSP;CXADR;VCAM1;JUP;PKP2;ITGA7;DSG2;DSC2,Heterotypic Cell-Cell Adhesion (GO:0034113)
GO:0046514,0.01122445,26.56009,280.3979,ASAH2;GM2A;HEXB;HEXA;ACER3;NEU1,Ceramide Catabolic Process (GO:0046514)
GO:0043408,0.01122445,2.943372,30.77798,BCAR3;EPHA7;KSR1;CAV2;WWC1;FLT4;PRDM15;PIK3R2;PTPRJ;DUSP9;DUSP16;WDR54;DUSP6;EGFR;INAVA;TGFBR1;TIRAP;IGF1R;PTPN6;TMEM106A;JCAD;FGFR2;GSDME;PAK4,Regulation Of MAPK Cascade (GO:0043408)
GO:0048667,0.01122445,4.617064,48.03207,APP;APLP2;ATL1;TBCD;ANK3;PAX2;SHTN1;PARD6B;OPHN1;MAP2;TRIM46;MAP6;APBB1;FGFR2,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667)
GO:0001822,0.01839776,5.080704,49.80954,TGFB2;VANGL2;TRAF3IP1;C1GALT1;CTSH;IFT27;HNF1B;PAX2;TGFBR1;STRA6;SULF2;VEGFA,Kidney Development (GO:0001822)
GO:0007409,0.01909095,3.026363,29.26909,APP;EPHA4;EPHA7;AUTS2;APLP2;ATL1;SEMA3E;ANK3;SEMA4G;IGSF9;PAX2;EFNA1;ENAH;SHTN1;PARD6B;OPHN1;TRIM46;APBB1;NEO1;SPG11;FGFR2,Axonogenesis (GO:0007409)
GO:0090136,0.01977581,17.70452,169.0625,CAMSAP3;DSP;JUP;KIFC3;SERPINB8;THBS4,Epithelial Cell-Cell Adhesion (GO:0090136)
GO:0086091,0.02852091,10.33517,94.08,DSP;CAMK2D;JUP;CACNA2D1;PKP2;DSG2;DSC2,Regulation Of Heart Rate By Cardiac Conduction (GO:0086091)
GO:0070372,0.03130615,2.617356,23.38767,APP;EPHA4;EPHA7;CCL20;FLT4;NRG1;PRKCZ;DUSP6;EGFR;TIRAP;SLC9A3R1;MFHAS1;FLCN;DSTYK;BMPER;TNIP1;PDGFD;PDGFC;PTK2B;ACKR3;PTPN6;SPRY1;GAS6;FGFR2,Regulation Of ERK1 And ERK2 Cascade (GO:0070372)
GO:0072359,0.03628187,3.223428,28.10544,TGFB2;CXADR;CDKN1B;FLT4;MICAL2;HSPG2;CRIP1;TGFBR1;AKAP13;CASP8;PDLIM2;FLRT3;PKP2;UTY;BCOR;ZFPM1;STRA6,Circulatory System Development (GO:0072359)
GO:1902533,0.03810864,1.873973,16.08604,BCAR3;RNF31;APP;RNF13;SLC44A2;FLT4;WWC1;SEMA3E;PTPRJ;LRP2;IFI35;EGFR;MALT1;INAVA;IGF1R;TRIM8;SLC9A3R1;AKAP13;FLCN;CASP8;PDGFD;TSPAN6;PDGFC;TIFA;TRIM44;WLS;TGM2;TGFB2;KSR1;CAV2;IRAK4;TIRAP;TGFBR1;TNFRSF1A;VEGFA;MFHAS1;TCIM;PTPN6;CORO7;LTBR;GAS6;GAPDH;TMEM106A;MYORG;JCAD;FGFR2;GSDME;TLR2,Positive Regulation Of Intracellular Signal Transduction (GO:1902533)
GO:0072001,0.03810864,5.221158,44.6139,TGFB2;TRAF3IP1;C1GALT1;IFT27;HNF1B;PAX2;TGFBR1;STRA6;SULF2;VEGFA,Renal System Development (GO:0072001)
GO:0045216,0.05784629,3.948699,31.51579,DSP;FLCN;PARD6B;TGFB2;CXADR;CDH2;MARVELD2;CDH10;PKP2;PKP1;DSG2;CDH17,Cell-Cell Junction Organization (GO:0045216)
GO:0098901,0.05784629,7.749448,61.72405,DSP;CAMK2D;CXADR;JUP;PKP2;DSG2;DSC2,Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901)
GO:0055010,0.05784629,7.749448,61.72405,DSP;TGFB2;PKP2;NRG1;LRP2;TGFBR1;FGFR2,Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010)
GO:0016052,0.0605876,4.670397,36.75542,PFKFB2;MANBA;PKLR;HKDC1;NEU1;UCP2;ALDOB;ENO2;ENO3;GAPDH,Carbohydrate Catabolic Process (GO:0016052)
GO:0031349,0.06112114,3.365,26.15456,RNF31;APP;GRN;IFI35;TIRAP;TNFRSF1A;LGALS2;AIM2;TNIP1;CASP4;IGF2BP1;LCP1;TLR2;SNCA,Positive Regulation Of Defense Response (GO:0031349)
GO:0070374,0.06112114,3.030432,23.42292,APP;CCL20;FLT4;NRG1;PRKCZ;TIRAP;EGFR;MFHAS1;DSTYK;BMPER;PDGFD;PDGFC;PTK2B;ACKR3;GAS6;FGFR2,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)
GO:0001573,0.06112114,14.73752,112.8849,GM2A;HEXB;HEXA;NEU1;ST3GAL5,Ganglioside Metabolic Process (GO:0001573)
GO:0098911,0.06112114,14.73752,112.8849,DSP;JUP;PKP2;DSG2;DSC2,Regulation Of Ventricular Cardiac Muscle Cell Action Potential (GO:0098911)
GO:0086003,0.06112114,35.33993,268.9294,CAMK2D;GSN;CACNA2D1;PKP2,Cardiac Muscle Cell Contraction (GO:0086003)
GO:0046479,0.06112114,35.33993,268.9294,GM2A;HEXB;HEXA;NEU1,Glycosphingolipid Catabolic Process (GO:0046479)
GO:0032103,0.06168893,2.856364,21.60603,RNF31;APP;GRN;PLAT;NRG1;IFI35;TIRAP;TNFRSF1A;LGALS2;AIM2;TNIP1;CASP4;IGF2BP1;LCP1;STX3;TLR2;SNCA,Positive Regulation Of Response To External Stimulus (GO:0032103)
GO:0061337,0.06471002,6.88754,51.52755,DSP;CAMK2D;JUP;CACNA2D1;PKP2;DSG2;DSC2,Cardiac Conduction (GO:0061337)
