,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0086042,cardiac muscle cell-cardiac muscle cell adhesion,GO:0086042,0.003709598,inf,inf,DSP;CXADR;JUP;PKP2;DSG2;DSC2,Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion (GO:0086042)
1,GO:0043410,positive regulation of MAPK cascade,GO:0043410,0.0047529,2.964793,37.85027,BCAR3;APP;WWC1;FLT4;PTPRJ;PRKCZ;EGFR;INAVA;IGF1R;DSTYK;BMPER;PDGFD;PDGFC;PTK2B;TGFB2;KSR1;CCL20;CAV2;NRG1;MID1;TGFBR1;TIRAP;VEGFA;MFHAS1;ACKR3;GAS6;TMEM106A;JCAD;FGFR2;GSDME,Positive Regulation Of MAPK Cascade (GO:0043410)
2,GO:0086069,bundle of His cell to Purkinje myocyte communication,GO:0086069,0.009131253,inf,inf,DSP;JUP;PKP2;DSG2;DSC2,Bundle Of His Cell To Purkinje Myocyte Communication (GO:0086069)
3,GO:0098742,cell-cell adhesion via plasma-membrane adhesion molecules,GO:0098742,0.01053629,4.323638,47.79444,TGFB2;CXADR;VCAM1;TENM3;TENM4;CLDN2;IGSF9;PTPRF;IGSF11;CDH2;FLRT3;CDH10;DSG2;SCARF2;CDH17;NECTIN3,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)
4,GO:0046514,ceramide catabolic process,GO:0046514,0.01122445,26.56009,280.3979,ASAH2;GM2A;HEXB;HEXA;ACER3;NEU1,Ceramide Catabolic Process (GO:0046514)
5,GO:0048667,cell morphogenesis involved in neuron differentiation,GO:0048667,0.01122445,4.617064,48.03207,APP;APLP2;ATL1;TBCD;ANK3;PAX2;SHTN1;PARD6B;OPHN1;MAP2;TRIM46;MAP6;APBB1;FGFR2,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667)
6,GO:0001822,kidney development,GO:0001822,0.01839776,5.080704,49.80954,TGFB2;VANGL2;TRAF3IP1;C1GALT1;CTSH;IFT27;HNF1B;PAX2;TGFBR1;STRA6;SULF2;VEGFA,Kidney Development (GO:0001822)
7,GO:0072359,circulatory system development,GO:0072359,0.03628187,3.223428,28.10544,TGFB2;CXADR;CDKN1B;FLT4;MICAL2;HSPG2;CRIP1;TGFBR1;AKAP13;CASP8;PDLIM2;FLRT3;PKP2;UTY;BCOR;ZFPM1;STRA6,Circulatory System Development (GO:0072359)
8,GO:0098901,regulation of cardiac muscle cell action potential,GO:0098901,0.05784629,7.749448,61.72405,DSP;CAMK2D;CXADR;JUP;PKP2;DSG2;DSC2,Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901)
9,GO:0045216,cell-cell junction organization,GO:0045216,0.05784629,3.948699,31.51579,DSP;FLCN;PARD6B;TGFB2;CXADR;CDH2;MARVELD2;CDH10;PKP2;PKP1;DSG2;CDH17,Cell-Cell Junction Organization (GO:0045216)
