Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	4.921495e-05	2.411532e-03	0	0	2.851580e+00	2.828571e+01	RABGAP1L;IL4R;GPX4;CD81;SWAP70;CAPG;CDC6;TNFRSF1B;LCLAT1;ETV4;SPRED2;NT5E;CDCP1;NFIL3;GLIPR2;MYC;SNX14;CASP3;NCS1;IL3RA;DENND5A;SLC39A8;PLPP1
MSigDB_Hallmark_2020	Glycolysis	5.060136e-04	1.239733e-02	0	0	2.271730e+00	1.724004e+01	PFKFB1;CHPF;SDC2;PLOD2;AK4;GLRX;NOL3;GYS1;NT5E;FUT8;PDK3;PGM2;SOX9;GPC4;GUSB;IGFBP3;EXT2;TPST1;CLDN3;COL5A1;CTH;ANGPTL4;FBP2;PFKP;GNE
MSigDB_Hallmark_2020	p53 Pathway	4.584747e-03	5.695107e-02	0	0	2.056977e+00	1.107686e+01	JUN;TGFB1;SLC35D1;RRAD;CD81;GLS2;FOXO3;RCHY1;TOB1;SERPINB5;LDHB;PROCR;PTPRE;RAD51C;RXRA;MAPKAPK3;CDH13;STOM;ADA;POLH
MSigDB_Hallmark_2020	KRAS Signaling Dn	4.649067e-03	5.695107e-02	0	0	3.236721e+00	1.738471e+01	GAMT;BARD1;MFSD6;AKR1B10;FGGY;CAMK1D;MTHFR;COPZ2;MACROH2A2
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	9.175521e-03	8.992010e-02	0	0	2.149243e+00	1.008257e+01	JUN;TGFB1;WIPF1;IGFBP3;HTRA1;CAPG;PLOD2;FBLN1;GEM;NT5E;COL5A1;DPYSL3;TIMP3;TIMP1;EDIL3
MSigDB_Hallmark_2020	Cholesterol Homeostasis	1.359861e-02	1.110553e-01	0	0	2.358755e+00	1.013743e+01	GSTM2;NFIL3;GLDC;GPX8;PDK3;MAL2;PPARG;HMGCR;GUSB;GNAI1;FDFT1
MSigDB_Hallmark_2020	Hypoxia	1.830067e-02	1.244779e-01	0	0	1.829156e+00	7.318120e+00	SCARB1;JUN;SDC2;IGFBP3;CAV1;AK4;GLRX;FOXO3;FOSL2;GYS1;NFIL3;COL5A1;PDK3;PGM2;ANGPTL4;GPC4;PFKP;PDK1
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	2.032293e-02	1.244779e-01	0	0	2.618689e+00	1.020243e+01	JUN;IL4R;TGFB1;IL3RA;OSMR;TNFRSF1B;MYD88;IL17RA
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	2.604393e-02	1.417947e-01	0	0	1.859927e+00	6.784958e+00	DUSP4;BTG3;DUSP5;JUN;ZBTB10;GEM;FOSL2;PANX1;PTPRE;NFIL3;MYC;FOSB;CCL2;DENND5A;PLPP3
MSigDB_Hallmark_2020	Myogenesis	3.956086e-02	1.696026e-01	0	0	1.833828e+00	5.923109e+00	SVIL;NQO1;CHRNB1;TGFB1;IGFBP3;FHL1;SORBS3;MAPK12;ERBB3;CDH13;LPIN1;PDLIM7;EPHB3
MSigDB_Hallmark_2020	Inflammatory Response	4.054817e-02	1.696026e-01	0	0	1.944282e+00	6.231937e+00	PTPRE;IL4R;SELENOS;MYC;PCDH7;LPAR1;CCL2;TIMP1;OSMR;TNFRSF1B;TAPBP
MSigDB_Hallmark_2020	UV Response Dn	4.153534e-02	1.696026e-01	0	0	1.773383e+00	5.641505e+00	SDC2;CAV1;BCKDHB;LPAR1;TENT4A;LTBP1;INPP4B;PLCB4;RXRA;MYC;ID1;AGGF1;PPARG;PLPP3
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	4.951897e-02	1.866484e-01	0	0	2.288235e+00	6.877061e+00	NQO1;PRDX4;GPX4;SELENOS;MGST1;GLRX;PFKP
MSigDB_Hallmark_2020	Allograft Rejection	7.793343e-02	2.727670e-01	0	0	1.765114e+00	4.504395e+00	IL4R;TGFB1;CCL2;CAPG;TIMP1;GBP2;EIF4G3;PSMB10;WARS1;TAPBP
MSigDB_Hallmark_2020	Androgen Response	9.623774e-02	3.143766e-01	0	0	1.684261e+00	3.942742e+00	INPP4B;NGLY1;STK39;ZBTB10;DNAJB9;LIFR;HMGCR;SEC24D;PLPP1;CAMKK2
MSigDB_Hallmark_2020	Spermatogenesis	1.168928e-01	3.382424e-01	0	0	1.807309e+00	3.879385e+00	TLE4;HSPA1L;PARP2;BRAF;HSPA2;IP6K1;LPIN1
MSigDB_Hallmark_2020	KRAS Signaling Up	1.173494e-01	3.382424e-01	0	0	1.567487e+00	3.358498e+00	BTC;RABGAP1L;TMEM158;ARG1;IGFBP3;ANXA10;GLRX;SOX9;ANGPTL4;TNFRSF1B;ETV4
MSigDB_Hallmark_2020	Interferon Gamma Response	1.304225e-01	3.440096e-01	0	0	1.498661e+00	3.052737e+00	IL4R;CASP3;LYSMD2;PLA2G4A;CCL2;TDRD7;PARP12;MYD88;PSMB10;WARS1;PFKP;TAPBP
MSigDB_Hallmark_2020	Estrogen Response Early	1.333915e-01	3.440096e-01	0	0	1.441417e+00	2.903688e+00	SVIL;SCARB1;MAST4;ENDOD1;NADSYN1;CELSR1;TOB1;SEC14L2;SYNGR1;MLPH;MYC;TJP3;PTGES;FDFT1
MSigDB_Hallmark_2020	Interferon Alpha Response	1.465098e-01	3.589491e-01	0	0	1.688820e+00	3.243653e+00	PROCR;IL4R;CNP;TDRD7;GBP2;PARP12;WARS1
MSigDB_Hallmark_2020	Xenobiotic Metabolism	2.121419e-01	4.949977e-01	0	0	1.306399e+00	2.025573e+00	CBR1;NQO1;SLC35D1;ARG1;FBLN1;PTGR1;DHRS1;ESR1;RAP1GAP;PSMB10;CYP27A1;TPST1;XDH;PTGES
MSigDB_Hallmark_2020	Apoptosis	2.237964e-01	4.984557e-01	0	0	1.341411e+00	2.008117e+00	BTG3;JUN;BCL2L11;GPX1;GPX4;ERBB3;CAV1;CASP3;CTH;TIMP3;TIMP1
MSigDB_Hallmark_2020	Coagulation	2.571899e-01	5.479263e-01	0	0	1.364578e+00	1.853015e+00	THBD;TF;GDA;MMP15;USP11;HTRA1;TIMP3;TIMP1
MSigDB_Hallmark_2020	Apical Junction	2.930504e-01	5.598534e-01	0	0	1.244521e+00	1.527538e+00	GAMT;CDH3;FSCN1;NEXN;SORBS3;MYH10;GNAI1;ACTG2;CD99;NECTIN2;NECTIN1
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	2.970651e-01	5.598534e-01	0	0	1.660961e+00	2.016081e+00	FZD1;MYC;GNAI1
MSigDB_Hallmark_2020	Notch Signaling	2.970651e-01	5.598534e-01	0	0	1.660961e+00	2.016081e+00	FZD1;ST3GAL6;DTX4
MSigDB_Hallmark_2020	UV Response Up	3.496075e-01	6.317630e-01	0	0	1.191316e+00	1.252006e+00	PTPRD;BTG3;BCL2L11;CNP;RRAD;PARP2;CASP3;FOSB;HSPA2;NPTXR
MSigDB_Hallmark_2020	Bile Acid Metabolism	3.610074e-01	6.317630e-01	0	0	1.230537e+00	1.253740e+00	CYP27A1;SLC23A2;RXRA;EPHX2;SLC29A1;NR3C2;PAOX
MSigDB_Hallmark_2020	Complement	4.182090e-01	7.066290e-01	0	0	1.118287e+00	9.748933e-01	DUSP5;MMP15;CASP3;PCSK9;PLA2G4A;CDH13;TIMP1;ZFPM2;PLA2G7;CTSC
MSigDB_Hallmark_2020	Estrogen Response Late	4.867067e-01	7.949543e-01	0	0	1.053604e+00	7.586934e-01	BTG3;SCARB1;CAV1;PLXNB1;CDC6;SLC29A1;TOB1;TJP3;PTGES;FDFT1
MSigDB_Hallmark_2020	Angiogenesis	5.031474e-01	7.952975e-01	0	0	1.228979e+00	8.441514e-01	THBD;TIMP1
MSigDB_Hallmark_2020	TGF-beta Signaling	6.887647e-01	9.999902e-01	0	0	8.497970e-01	3.168515e-01	TGFB1;FNTA;ID1
MSigDB_Hallmark_2020	G2-M Checkpoint	7.398477e-01	9.999902e-01	0	0	8.581027e-01	2.585557e-01	BARD1;CASP8AP2;SLC38A1;TGFB1;ODF2;TROAP;KNL1;CDC6;TENT4A;KIF15;TRAIP;CHAF1A;MYC
MSigDB_Hallmark_2020	heme Metabolism	7.430501e-01	9.999902e-01	0	0	8.417803e-01	2.500019e-01	HEBP1;SLC25A37;ACSL6;ENDOD1;SLC30A1;FOXO3;ANK1;RAP1GAP;TNS1;HTATIP2
MSigDB_Hallmark_2020	mTORC1 Signaling	7.822588e-01	9.999902e-01	0	0	8.211010e-01	2.016374e-01	NFIL3;EDEM1;CTH;PLOD2;AK4;GLRX;HMGCR;CTSC;PSPH;WARS1;PDK1;UNG
MSigDB_Hallmark_2020	Hedgehog Signaling	8.073783e-01	9.999902e-01	0	0	6.136602e-01	1.313006e-01	CELSR1
