term,fdr,Odds Ratio,Combined Score,Genes,description
IL-2/STAT5 Signaling,0.002411532,2.85158,28.28571,RABGAP1L;IL4R;GPX4;CD81;SWAP70;CAPG;CDC6;TNFRSF1B;LCLAT1;ETV4;SPRED2;NT5E;CDCP1;NFIL3;GLIPR2;MYC;SNX14;CASP3;NCS1;IL3RA;DENND5A;SLC39A8;PLPP1,IL-2/STAT5 Signaling
Glycolysis,0.01239733,2.27173,17.24004,PFKFB1;CHPF;SDC2;PLOD2;AK4;GLRX;NOL3;GYS1;NT5E;FUT8;PDK3;PGM2;SOX9;GPC4;GUSB;IGFBP3;EXT2;TPST1;CLDN3;COL5A1;CTH;ANGPTL4;FBP2;PFKP;GNE,Glycolysis
p53 Pathway,0.05695107,2.056977,11.07686,JUN;TGFB1;SLC35D1;RRAD;CD81;GLS2;FOXO3;RCHY1;TOB1;SERPINB5;LDHB;PROCR;PTPRE;RAD51C;RXRA;MAPKAPK3;CDH13;STOM;ADA;POLH,p53 Pathway
KRAS Signaling Dn,0.05695107,3.236721,17.38471,GAMT;BARD1;MFSD6;AKR1B10;FGGY;CAMK1D;MTHFR;COPZ2;MACROH2A2,KRAS Signaling Dn
Epithelial Mesenchymal Transition,0.0899201,2.149243,10.08257,JUN;TGFB1;WIPF1;IGFBP3;HTRA1;CAPG;PLOD2;FBLN1;GEM;NT5E;COL5A1;DPYSL3;TIMP3;TIMP1;EDIL3,Epithelial Mesenchymal Transition
Cholesterol Homeostasis,0.1110553,2.358755,10.13743,GSTM2;NFIL3;GLDC;GPX8;PDK3;MAL2;PPARG;HMGCR;GUSB;GNAI1;FDFT1,Cholesterol Homeostasis
Hypoxia,0.1244779,1.829156,7.31812,SCARB1;JUN;SDC2;IGFBP3;CAV1;AK4;GLRX;FOXO3;FOSL2;GYS1;NFIL3;COL5A1;PDK3;PGM2;ANGPTL4;GPC4;PFKP;PDK1,Hypoxia
IL-6/JAK/STAT3 Signaling,0.1244779,2.618689,10.20243,JUN;IL4R;TGFB1;IL3RA;OSMR;TNFRSF1B;MYD88;IL17RA,IL-6/JAK/STAT3 Signaling
TNF-alpha Signaling via NF-kB,0.1417947,1.859927,6.784958,DUSP4;BTG3;DUSP5;JUN;ZBTB10;GEM;FOSL2;PANX1;PTPRE;NFIL3;MYC;FOSB;CCL2;DENND5A;PLPP3,TNF-alpha Signaling via NF-kB
Myogenesis,0.1696026,1.833828,5.923109,SVIL;NQO1;CHRNB1;TGFB1;IGFBP3;FHL1;SORBS3;MAPK12;ERBB3;CDH13;LPIN1;PDLIM7;EPHB3,Myogenesis
Inflammatory Response,0.1696026,1.944282,6.231937,PTPRE;IL4R;SELENOS;MYC;PCDH7;LPAR1;CCL2;TIMP1;OSMR;TNFRSF1B;TAPBP,Inflammatory Response
UV Response Dn,0.1696026,1.773383,5.641505,SDC2;CAV1;BCKDHB;LPAR1;TENT4A;LTBP1;INPP4B;PLCB4;RXRA;MYC;ID1;AGGF1;PPARG;PLPP3,UV Response Dn
Reactive Oxygen Species Pathway,0.1866484,2.288235,6.877061,NQO1;PRDX4;GPX4;SELENOS;MGST1;GLRX;PFKP,Reactive Oxygen Species Pathway
Allograft Rejection,0.272767,1.765114,4.504395,IL4R;TGFB1;CCL2;CAPG;TIMP1;GBP2;EIF4G3;PSMB10;WARS1;TAPBP,Allograft Rejection
Androgen Response,0.3143766,1.684261,3.942742,INPP4B;NGLY1;STK39;ZBTB10;DNAJB9;LIFR;HMGCR;SEC24D;PLPP1;CAMKK2,Androgen Response
Spermatogenesis,0.3382424,1.807309,3.879385,TLE4;HSPA1L;PARP2;BRAF;HSPA2;IP6K1;LPIN1,Spermatogenesis
KRAS Signaling Up,0.3382424,1.567487,3.358498,BTC;RABGAP1L;TMEM158;ARG1;IGFBP3;ANXA10;GLRX;SOX9;ANGPTL4;TNFRSF1B;ETV4,KRAS Signaling Up
Interferon Gamma Response,0.3440096,1.498661,3.052737,IL4R;CASP3;LYSMD2;PLA2G4A;CCL2;TDRD7;PARP12;MYD88;PSMB10;WARS1;PFKP;TAPBP,Interferon Gamma Response
Estrogen Response Early,0.3440096,1.441417,2.903688,SVIL;SCARB1;MAST4;ENDOD1;NADSYN1;CELSR1;TOB1;SEC14L2;SYNGR1;MLPH;MYC;TJP3;PTGES;FDFT1,Estrogen Response Early
Interferon Alpha Response,0.3589491,1.68882,3.243653,PROCR;IL4R;CNP;TDRD7;GBP2;PARP12;WARS1,Interferon Alpha Response
Xenobiotic Metabolism,0.4949977,1.306399,2.025573,CBR1;NQO1;SLC35D1;ARG1;FBLN1;PTGR1;DHRS1;ESR1;RAP1GAP;PSMB10;CYP27A1;TPST1;XDH;PTGES,Xenobiotic Metabolism
Apoptosis,0.4984557,1.341411,2.008117,BTG3;JUN;BCL2L11;GPX1;GPX4;ERBB3;CAV1;CASP3;CTH;TIMP3;TIMP1,Apoptosis
Coagulation,0.5479263,1.364578,1.853015,THBD;TF;GDA;MMP15;USP11;HTRA1;TIMP3;TIMP1,Coagulation
Apical Junction,0.5598534,1.244521,1.527538,GAMT;CDH3;FSCN1;NEXN;SORBS3;MYH10;GNAI1;ACTG2;CD99;NECTIN2;NECTIN1,Apical Junction
Wnt-beta Catenin Signaling,0.5598534,1.660961,2.016081,FZD1;MYC;GNAI1,Wnt-beta Catenin Signaling
Notch Signaling,0.5598534,1.660961,2.016081,FZD1;ST3GAL6;DTX4,Notch Signaling
UV Response Up,0.631763,1.191316,1.252006,PTPRD;BTG3;BCL2L11;CNP;RRAD;PARP2;CASP3;FOSB;HSPA2;NPTXR,UV Response Up
Bile Acid Metabolism,0.631763,1.230537,1.25374,CYP27A1;SLC23A2;RXRA;EPHX2;SLC29A1;NR3C2;PAOX,Bile Acid Metabolism
Complement,0.706629,1.118287,0.9748933,DUSP5;MMP15;CASP3;PCSK9;PLA2G4A;CDH13;TIMP1;ZFPM2;PLA2G7;CTSC,Complement
Estrogen Response Late,0.7949543,1.053604,0.7586934,BTG3;SCARB1;CAV1;PLXNB1;CDC6;SLC29A1;TOB1;TJP3;PTGES;FDFT1,Estrogen Response Late
Angiogenesis,0.7952975,1.228979,0.8441514,THBD;TIMP1,Angiogenesis
TGF-beta Signaling,0.9999902,0.849797,0.3168515,TGFB1;FNTA;ID1,TGF-beta Signaling
G2-M Checkpoint,0.9999902,0.8581027,0.2585557,BARD1;CASP8AP2;SLC38A1;TGFB1;ODF2;TROAP;KNL1;CDC6;TENT4A;KIF15;TRAIP;CHAF1A;MYC,G2-M Checkpoint
heme Metabolism,0.9999902,0.8417803,0.2500019,HEBP1;SLC25A37;ACSL6;ENDOD1;SLC30A1;FOXO3;ANK1;RAP1GAP;TNS1;HTATIP2,heme Metabolism
mTORC1 Signaling,0.9999902,0.821101,0.2016374,NFIL3;EDEM1;CTH;PLOD2;AK4;GLRX;HMGCR;CTSC;PSPH;WARS1;PDK1;UNG,mTORC1 Signaling
Hedgehog Signaling,0.9999902,0.6136602,0.1313006,CELSR1,Hedgehog Signaling
Adipogenesis,0.9999902,0.7813247,0.1526839,SCARB1;GPX4;CAVIN2;EPHX2;SQOR;STOM;DNAJB9;PPARG;LIFR;ANGPTL4;TOB1,Adipogenesis
Apical Surface,0.9999902,0.5258017,0.08450305,PCSK9,Apical Surface
Pperoxisome,0.9999902,0.5719917,0.05213142,SLC23A2;STS;EPHX2;ALB,Pperoxisome
DNA Repair,0.9999902,0.6154667,0.04501748,SNAPC5;GPX4;USP11;NME4;TYMS;ADA;POLH,DNA Repair
Myc Targets V2,0.9999902,0.4078579,0.01965328,MYC;UNG,Myc Targets V2
Mitotic Spindle,0.9999902,0.6159053,0.02782814,NET1;CLIP2;BCL2L11;ALMS1;ARHGEF3;FSCN1;TUBGCP5;ATG4B;MYH10;KIF15,Mitotic Spindle
Protein Secretion,0.9999902,0.4941384,0.02218245,DOP1A;ERGIC3;SEC24D;CTSC,Protein Secretion
E2F Targets,0.9999902,0.4803425,0.004160171,BARD1;PRDX4;RAD51C;DIAPH3;MYC;DSCC1;ASF1B;UNG,E2F Targets
PI3K/AKT/mTOR  Signaling,0.9999902,0.2852229,0.002438595,MYD88;PDK1,PI3K/AKT/mTOR  Signaling
Unfolded Protein Response,0.9999902,0.3323082,0.002470273,EDEM1;DNAJB9;CCL2,Unfolded Protein Response
Fatty Acid Metabolism,0.9999902,0.3713656,0.002694063,CBR1;BCKDHB;D2HGDH;PTPRG,Fatty Acid Metabolism
Oxidative Phosphorylation,0.9999902,0.2349081,1.685695e-05,LDHB;MTRR;MAOB;GPX4,Oxidative Phosphorylation
Myc Targets V1,0.9999902,0.167592,1.638217e-06,PRDX4;MYC;TYMS,Myc Targets V1
