Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Prostaglandin Biosynthetic Process (GO:0001516)	2.079825e-04	3.340199e-01	0	0	1.980298e+01	1.678908e+02	CBR1;PLA2G4A;DAGLB;PTGES
GO_Biological_Process_2023	Aspartate Family Amino Acid Biosynthetic Process (GO:0009067)	6.594861e-04	3.528631e-01	0	0	2.961301e+01	2.168872e+02	MTHFR;MTR;PLOD2
GO_Biological_Process_2023	Response To Organic Cyclic Compound (GO:0014070)	7.779784e-04	3.528631e-01	0	0	8.268199e+00	5.919048e+01	STING1;GLDC;CCL2;ESR1;ADA
GO_Biological_Process_2023	Positive Regulation Of Autophagy Of Mitochondrion (GO:1903599)	1.125974e-03	3.528631e-01	0	0	2.220719e+01	1.507670e+02	VPS13D;HTT;CAMKK2
GO_Biological_Process_2023	Prostaglandin Metabolic Process (GO:0006693)	1.186159e-03	3.528631e-01	0	0	1.079538e+01	7.272883e+01	PLA2G4A;PTGR1;DAGLB;PTGES
GO_Biological_Process_2023	Negative Regulation Of Cell Division (GO:0051782)	1.757724e-03	3.528631e-01	0	0	1.776370e+01	1.126882e+02	BLM;MYC;E2F7
GO_Biological_Process_2023	Positive Regulation Of Cell Morphogenesis Involved In Differentiation (GO:0010770)	1.757724e-03	3.528631e-01	0	0	1.776370e+01	1.126882e+02	CUL7;FBXW8;OBSL1
GO_Biological_Process_2023	Prostanoid Biosynthetic Process (GO:0046457)	1.757724e-03	3.528631e-01	0	0	1.776370e+01	1.126882e+02	PLA2G4A;DAGLB;PTGES
GO_Biological_Process_2023	Regulation Of Dendrite Morphogenesis (GO:0048814)	2.459252e-03	4.388399e-01	0	0	8.479136e+00	5.094178e+01	CUL7;FBXW8;SDC2;OBSL1
GO_Biological_Process_2023	Neurotransmitter Uptake (GO:0001504)	3.181123e-03	4.644439e-01	0	0	5.903754e+01	3.394966e+02	SLC38A1;SLC29A1
GO_Biological_Process_2023	Nucleoside Triphosphate Biosynthetic Process (GO:0009142)	3.181123e-03	4.644439e-01	0	0	5.903754e+01	3.394966e+02	AK4;AK5
GO_Biological_Process_2023	Cellular Response To Oxygen-Containing Compound (GO:1901701)	4.693437e-03	5.039808e-01	0	0	2.446144e+00	1.311522e+01	CPNE8;JUN;PDXP;MTR;BRAF;TNFRSF1B;ESR1;CAMKK2;ITPKB;SELENOS;PTK7;CCL2;PDK3
GO_Biological_Process_2023	Positive Regulation Of Dendrite Morphogenesis (GO:0050775)	4.811257e-03	5.039808e-01	0	0	1.109846e+01	5.923022e+01	CUL7;FBXW8;OBSL1
GO_Biological_Process_2023	Arginine Metabolic Process (GO:0006525)	6.223677e-03	5.039808e-01	0	0	2.951536e+01	1.499201e+02	ARG1;SLC39A8
GO_Biological_Process_2023	Dendrite Self-Avoidance (GO:0070593)	6.223677e-03	5.039808e-01	0	0	2.951536e+01	1.499201e+02	NEXN;EMB
GO_Biological_Process_2023	Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188)	6.251454e-03	5.039808e-01	0	0	6.244167e+00	3.168878e+01	ADGRG2;ADGRE5;LPAR1;GNAI1
GO_Biological_Process_2023	Neurogenesis (GO:0022008)	6.251454e-03	5.039808e-01	0	0	6.244167e+00	3.168878e+01	SIX4;LPAR1;WDR62;DAGLB
GO_Biological_Process_2023	Regulation Of Platelet Activation (GO:0010543)	6.259942e-03	5.039808e-01	0	0	9.864155e+00	5.004662e+01	THBD;TEC;PLA2G4A
GO_Biological_Process_2023	Cellular Response To Inorganic Substance (GO:0071241)	6.259942e-03	5.039808e-01	0	0	9.864155e+00	5.004662e+01	BLM;MTR;SPIDR
GO_Biological_Process_2023	Cellular Response To Organic Cyclic Compound (GO:0071407)	6.322706e-03	5.039808e-01	0	0	3.479745e+00	1.762007e+01	BLM;STING1;PDXP;CCL2;ESR1;SPIDR;GNAI1
GO_Biological_Process_2023	Actin Filament Bundle Assembly (GO:0051017)	7.310447e-03	5.039808e-01	0	0	5.931271e+00	2.917267e+01	MICAL1;FSCN1;PDXP;LIMD2
GO_Biological_Process_2023	Negative Regulation Of Phosphorylation (GO:0042326)	7.631507e-03	5.039808e-01	0	0	3.800191e+00	1.852772e+01	IMPACT;LRRK2;IGFBP3;FBLN1;ATG14;ZBED3
GO_Biological_Process_2023	Integrated Stress Response Signaling (GO:0140467)	7.941540e-03	5.039808e-01	0	0	8.876712e+00	4.292466e+01	JUN;IMPACT;OMA1
GO_Biological_Process_2023	Myofibril Assembly (GO:0030239)	7.941540e-03	5.039808e-01	0	0	8.876712e+00	4.292466e+01	SIX4;TMOD2;OBSL1
GO_Biological_Process_2023	Negative Regulation Of Protein Modification Process (GO:0031400)	9.124405e-03	5.039808e-01	0	0	3.644234e+00	1.711625e+01	IMPACT;LRRK2;IGFBP3;FBLN1;ATG14;ZBED3
GO_Biological_Process_2023	Regulation Of Nuclear Division (GO:0051783)	9.863916e-03	5.039808e-01	0	0	8.068804e+00	3.726878e+01	CUL7;PDXP;OBSL1
GO_Biological_Process_2023	Negative Regulation Of GTPase Activity (GO:0034260)	9.863916e-03	5.039808e-01	0	0	8.068804e+00	3.726878e+01	GPSM1;LRCH1;LRRK2
GO_Biological_Process_2023	Aromatic Compound Catabolic Process (GO:0019439)	1.014748e-02	5.039808e-01	0	0	1.967463e+01	9.031697e+01	EPHX2;PDXP
GO_Biological_Process_2023	Sulfur Amino Acid Biosynthetic Process (GO:0000097)	1.014748e-02	5.039808e-01	0	0	1.967463e+01	9.031697e+01	MTHFR;MTR
GO_Biological_Process_2023	Homocysteine Metabolic Process (GO:0050667)	1.014748e-02	5.039808e-01	0	0	1.967463e+01	9.031697e+01	MTHFR;MTR
GO_Biological_Process_2023	Inositol Phosphate Biosynthetic Process (GO:0032958)	1.014748e-02	5.039808e-01	0	0	1.967463e+01	9.031697e+01	ITPKB;IP6K1
GO_Biological_Process_2023	Negative Regulation Of Glucose Import (GO:0046325)	1.014748e-02	5.039808e-01	0	0	1.967463e+01	9.031697e+01	SELENOS;GRB10
GO_Biological_Process_2023	DNA Modification (GO:0006304)	1.203336e-02	5.039808e-01	0	0	7.395548e+00	3.268886e+01	NEIL3;PARP2;UNG
GO_Biological_Process_2023	Regulation Of Keratinocyte Differentiation (GO:0045616)	1.203336e-02	5.039808e-01	0	0	7.395548e+00	3.268886e+01	MACROH2A2;ETV4;SGPP1
GO_Biological_Process_2023	Organelle Organization (GO:0006996)	1.327270e-02	5.039808e-01	0	0	1.873273e+00	8.096371e+00	CUL7;AGTPBP1;ATP8B2;MAST4;FBXW8;LRRK2;VPS13D;HTT;FGD1;GEM;DIAPH3;MYC;MICAL1;TMED3;CCL2;RAB38;OBSL1;RAB6B
GO_Biological_Process_2023	Regulation Of Synapse Assembly (GO:0051963)	1.445472e-02	5.039808e-01	0	0	6.825869e+00	2.891940e+01	SETD5;CLSTN1;EPHB3
GO_Biological_Process_2023	Inositol Phosphate Metabolic Process (GO:0043647)	1.445472e-02	5.039808e-01	0	0	6.825869e+00	2.891940e+01	ITPKB;INPP5J;IP6K1
GO_Biological_Process_2023	Positive Regulation Of Cell Projection Organization (GO:0031346)	1.484164e-02	5.039808e-01	0	0	3.244416e+00	1.366003e+01	CUL7;FBXW8;PTK7;ROR2;OBSL1;PLXNA3
GO_Biological_Process_2023	Aspartate Family Amino Acid Catabolic Process (GO:0009068)	1.489150e-02	5.039808e-01	0	0	1.475427e+01	6.207068e+01	HYKK;ASPA
GO_Biological_Process_2023	Blood Coagulation, Fibrin Clot Formation (GO:0072378)	1.489150e-02	5.039808e-01	0	0	1.475427e+01	6.207068e+01	THBD;FBLN1
GO_Biological_Process_2023	Sensory Perception Of Pain (GO:0019233)	1.489150e-02	5.039808e-01	0	0	1.475427e+01	6.207068e+01	CCL2;PTGES
GO_Biological_Process_2023	Leukotriene Metabolic Process (GO:0006691)	1.489150e-02	5.039808e-01	0	0	1.475427e+01	6.207068e+01	PLA2G4A;PTGR1
GO_Biological_Process_2023	Methionine Metabolic Process (GO:0006555)	1.489150e-02	5.039808e-01	0	0	1.475427e+01	6.207068e+01	MTHFR;MTR
GO_Biological_Process_2023	Peroxisome Proliferator Activated Receptor Signaling Pathway (GO:0035357)	1.489150e-02	5.039808e-01	0	0	1.475427e+01	6.207068e+01	RXRA;PDK3
GO_Biological_Process_2023	Protein Activation Cascade (GO:0072376)	1.489150e-02	5.039808e-01	0	0	1.475427e+01	6.207068e+01	THBD;FBLN1
GO_Biological_Process_2023	Negative Regulation Of Protein Phosphorylation (GO:0001933)	1.539930e-02	5.039808e-01	0	0	2.651181e+00	1.106453e+01	IMPACT;IGFBP3;LRRK2;SNX25;INPP5J;FBLN1;ATG14;ZBED3
GO_Biological_Process_2023	Regulation Of Mitotic Nuclear Division (GO:0007088)	1.615765e-02	5.039808e-01	0	0	4.559344e+00	1.880894e+01	CUL7;NME6;PDXP;OBSL1
