term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0001516,0.3340199,19.80298,167.8908,CBR1;PLA2G4A;DAGLB;PTGES,Prostaglandin Biosynthetic Process (GO:0001516)
GO:0009067,0.3528631,29.61301,216.8872,MTHFR;MTR;PLOD2,Aspartate Family Amino Acid Biosynthetic Process (GO:0009067)
GO:0014070,0.3528631,8.268199,59.19048,STING1;GLDC;CCL2;ESR1;ADA,Response To Organic Cyclic Compound (GO:0014070)
GO:1903599,0.3528631,22.20719,150.767,VPS13D;HTT;CAMKK2,Positive Regulation Of Autophagy Of Mitochondrion (GO:1903599)
GO:0006693,0.3528631,10.79538,72.72883,PLA2G4A;PTGR1;DAGLB;PTGES,Prostaglandin Metabolic Process (GO:0006693)
GO:0051782,0.3528631,17.7637,112.6882,BLM;MYC;E2F7,Negative Regulation Of Cell Division (GO:0051782)
GO:0010770,0.3528631,17.7637,112.6882,CUL7;FBXW8;OBSL1,Positive Regulation Of Cell Morphogenesis Involved In Differentiation (GO:0010770)
GO:0046457,0.3528631,17.7637,112.6882,PLA2G4A;DAGLB;PTGES,Prostanoid Biosynthetic Process (GO:0046457)
GO:0048814,0.4388399,8.479136,50.94178,CUL7;FBXW8;SDC2;OBSL1,Regulation Of Dendrite Morphogenesis (GO:0048814)
GO:0001504,0.4644439,59.03754,339.4966,SLC38A1;SLC29A1,Neurotransmitter Uptake (GO:0001504)
GO:0009142,0.4644439,59.03754,339.4966,AK4;AK5,Nucleoside Triphosphate Biosynthetic Process (GO:0009142)
GO:1901701,0.5039808,2.446144,13.11522,CPNE8;JUN;PDXP;MTR;BRAF;TNFRSF1B;ESR1;CAMKK2;ITPKB;SELENOS;PTK7;CCL2;PDK3,Cellular Response To Oxygen-Containing Compound (GO:1901701)
GO:0050775,0.5039808,11.09846,59.23022,CUL7;FBXW8;OBSL1,Positive Regulation Of Dendrite Morphogenesis (GO:0050775)
GO:0006525,0.5039808,29.51536,149.9201,ARG1;SLC39A8,Arginine Metabolic Process (GO:0006525)
GO:0070593,0.5039808,29.51536,149.9201,NEXN;EMB,Dendrite Self-Avoidance (GO:0070593)
GO:0007188,0.5039808,6.244167,31.68878,ADGRG2;ADGRE5;LPAR1;GNAI1,Adenylate Cyclase-Modulating G Protein-Coupled Receptor Signaling Pathway (GO:0007188)
GO:0022008,0.5039808,6.244167,31.68878,SIX4;LPAR1;WDR62;DAGLB,Neurogenesis (GO:0022008)
GO:0010543,0.5039808,9.864155,50.04662,THBD;TEC;PLA2G4A,Regulation Of Platelet Activation (GO:0010543)
GO:0071241,0.5039808,9.864155,50.04662,BLM;MTR;SPIDR,Cellular Response To Inorganic Substance (GO:0071241)
GO:0071407,0.5039808,3.479745,17.62007,BLM;STING1;PDXP;CCL2;ESR1;SPIDR;GNAI1,Cellular Response To Organic Cyclic Compound (GO:0071407)
GO:0051017,0.5039808,5.931271,29.17267,MICAL1;FSCN1;PDXP;LIMD2,Actin Filament Bundle Assembly (GO:0051017)
GO:0042326,0.5039808,3.800191,18.52772,IMPACT;LRRK2;IGFBP3;FBLN1;ATG14;ZBED3,Negative Regulation Of Phosphorylation (GO:0042326)
