Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	9.381929e-04	4.503326e-02	0	0	3.621644e+00	2.524849e+01	JUN;WIPF1;IGFBP3;HTRA1;CAPG;PLOD2;FBLN1;TIMP1;EDIL3;GEM
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	4.312544e-03	1.035010e-01	0	0	2.883266e+00	1.570292e+01	NFIL3;GLIPR2;MYC;SNX14;CAPG;SLC39A8;CDC6;TNFRSF1B;LCLAT1;ETV4
MSigDB_Hallmark_2020	Inflammatory Response	1.077160e-02	1.723457e-01	0	0	3.113650e+00	1.410746e+01	SELENOS;MYC;PCDH7;LPAR1;CCL2;TIMP1;TNFRSF1B
MSigDB_Hallmark_2020	UV Response Dn	1.918794e-02	2.302553e-01	0	0	2.537178e+00	1.003067e+01	RXRA;MYC;SDC2;ID1;BCKDHB;LPAR1;TENT4A;LTBP1
MSigDB_Hallmark_2020	KRAS Signaling Dn	4.176947e-02	4.009869e-01	0	0	3.289042e+00	1.044465e+01	FGGY;MTHFR;COPZ2;MACROH2A2
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	5.816555e-02	4.653244e-01	0	0	2.121032e+00	6.033194e+00	PANX1;JUN;NFIL3;MYC;ZBTB10;CCL2;GEM
MSigDB_Hallmark_2020	Spermatogenesis	8.187343e-02	5.242803e-01	0	0	2.571044e+00	6.434246e+00	PARP2;BRAF;IP6K1;LPIN1
MSigDB_Hallmark_2020	Coagulation	9.259049e-02	5.242803e-01	0	0	2.175963e+00	5.177855e+00	THBD;TF;USP11;HTRA1;TIMP1
MSigDB_Hallmark_2020	Androgen Response	1.054273e-01	5.242803e-01	0	0	2.083293e+00	4.686854e+00	NGLY1;ZBTB10;LIFR;SEC24D;CAMKK2
MSigDB_Hallmark_2020	Hypoxia	1.300151e-01	5.242803e-01	0	0	1.713240e+00	3.495190e+00	JUN;NFIL3;SDC2;IGFBP3;PDK3;AK4;PDK1
MSigDB_Hallmark_2020	Angiogenesis	1.397299e-01	5.242803e-01	0	0	3.273417e+00	6.442227e+00	THBD;TIMP1
MSigDB_Hallmark_2020	Xenobiotic Metabolism	1.497707e-01	5.242803e-01	0	0	1.644290e+00	3.121931e+00	CBR1;ARG1;FBLN1;PTGR1;XDH;ESR1;PTGES
MSigDB_Hallmark_2020	Cholesterol Homeostasis	1.535882e-01	5.242803e-01	0	0	2.001514e+00	3.749797e+00	NFIL3;GLDC;PDK3;GNAI1
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	1.600251e-01	5.242803e-01	0	0	2.268440e+00	4.156746e+00	JUN;TNFRSF1B;IL17RA
MSigDB_Hallmark_2020	KRAS Signaling Up	1.700802e-01	5.242803e-01	0	0	1.758210e+00	3.114643e+00	TMEM158;ARG1;IGFBP3;TNFRSF1B;ETV4
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	1.747601e-01	5.242803e-01	0	0	2.804811e+00	4.892547e+00	MYC;GNAI1
MSigDB_Hallmark_2020	Myogenesis	1.868201e-01	5.274921e-01	0	0	1.696988e+00	2.846882e+00	IGFBP3;LPIN1;PDLIM7;MAPK12;EPHB3
MSigDB_Hallmark_2020	Allograft Rejection	2.201776e-01	5.591242e-01	0	0	1.709448e+00	2.586943e+00	CCL2;CAPG;TIMP1;EIF4G3
MSigDB_Hallmark_2020	Glycolysis	2.213200e-01	5.591242e-01	0	0	1.456279e+00	2.196281e+00	EXT2;SDC2;IGFBP3;PDK3;PLOD2;AK4;FBP2
MSigDB_Hallmark_2020	Estrogen Response Early	3.757918e-01	8.756730e-01	0	0	1.257442e+00	1.230683e+00	MAST4;MYC;CELSR1;TJP3;PTGES
MSigDB_Hallmark_2020	G2-M Checkpoint	3.831069e-01	8.756730e-01	0	0	1.190972e+00	1.142668e+00	SLC38A1;ODF2;MYC;TROAP;CDC6;TENT4A;KIF15
MSigDB_Hallmark_2020	Bile Acid Metabolism	4.078778e-01	8.803867e-01	0	0	1.316142e+00	1.180300e+00	RXRA;EPHX2;SLC29A1
MSigDB_Hallmark_2020	p53 Pathway	4.218520e-01	8.803867e-01	0	0	1.185484e+00	1.023192e+00	LDHB;JUN;RXRA;RRAD;ADA
MSigDB_Hallmark_2020	UV Response Up	4.428742e-01	8.857484e-01	0	0	1.187268e+00	9.669935e-01	CNP;RRAD;PARP2;NPTXR
MSigDB_Hallmark_2020	Hedgehog Signaling	4.715590e-01	9.053933e-01	0	0	1.631141e+00	1.226147e+00	CELSR1
MSigDB_Hallmark_2020	Estrogen Response Late	5.287540e-01	9.528846e-01	0	0	1.057429e+00	6.738273e-01	CDC6;SLC29A1;TJP3;PTGES
MSigDB_Hallmark_2020	Notch Signaling	5.380409e-01	9.528846e-01	0	0	1.333952e+00	8.268110e-01	ST3GAL6
MSigDB_Hallmark_2020	Myc Targets V2	5.558494e-01	9.528846e-01	0	0	1.086588e+00	6.381076e-01	MYC;UNG
MSigDB_Hallmark_2020	Interferon Gamma Response	6.526540e-01	9.818624e-01	0	0	8.965614e-01	3.825700e-01	LYSMD2;PLA2G4A;CCL2
MSigDB_Hallmark_2020	mTORC1 Signaling	6.802192e-01	9.818624e-01	0	0	8.704844e-01	3.354326e-01	NFIL3;PLOD2;AK4;PDK1;UNG
MSigDB_Hallmark_2020	Apical Junction	7.027819e-01	9.818624e-01	0	0	8.281210e-01	2.920854e-01	FSCN1;NEXN;GNAI1
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	7.479388e-01	9.818624e-01	0	0	7.321429e-01	2.126393e-01	SELENOS
MSigDB_Hallmark_2020	Pperoxisome	7.526363e-01	9.818624e-01	0	0	7.405711e-01	2.104504e-01	EPHX2;ALB
MSigDB_Hallmark_2020	TGF-beta Signaling	7.562898e-01	9.818624e-01	0	0	7.142028e-01	1.994987e-01	ID1
MSigDB_Hallmark_2020	E2F Targets	7.565604e-01	9.818624e-01	0	0	7.889096e-01	2.200844e-01	DIAPH3;MYC;DSCC1;ASF1B;UNG
MSigDB_Hallmark_2020	Fatty Acid Metabolism	7.722062e-01	9.818624e-01	0	0	7.365316e-01	1.903961e-01	CBR1;BCKDHB;PTPRG
MSigDB_Hallmark_2020	DNA Repair	8.161244e-01	9.818624e-01	0	0	6.786397e-01	1.378918e-01	USP11;NME4;ADA
MSigDB_Hallmark_2020	Protein Secretion	8.170882e-01	9.818624e-01	0	0	6.420133e-01	1.296920e-01	DOP1A;SEC24D
MSigDB_Hallmark_2020	Interferon Alpha Response	8.318071e-01	9.818624e-01	0	0	5.624019e-01	1.035690e-01	CNP
MSigDB_Hallmark_2020	heme Metabolism	8.493165e-01	9.818624e-01	0	0	6.337105e-01	1.034997e-01	HEBP1;SLC25A37;TNS1
MSigDB_Hallmark_2020	Apoptosis	8.551335e-01	9.818624e-01	0	0	5.836177e-01	9.133483e-02	JUN;TIMP1
