term,fdr,Odds Ratio,Combined Score,Genes,description
Epithelial Mesenchymal Transition,0.04503326,3.621644,25.24849,JUN;WIPF1;IGFBP3;HTRA1;CAPG;PLOD2;FBLN1;TIMP1;EDIL3;GEM,Epithelial Mesenchymal Transition
IL-2/STAT5 Signaling,0.103501,2.883266,15.70292,NFIL3;GLIPR2;MYC;SNX14;CAPG;SLC39A8;CDC6;TNFRSF1B;LCLAT1;ETV4,IL-2/STAT5 Signaling
Inflammatory Response,0.1723457,3.11365,14.10746,SELENOS;MYC;PCDH7;LPAR1;CCL2;TIMP1;TNFRSF1B,Inflammatory Response
UV Response Dn,0.2302553,2.537178,10.03067,RXRA;MYC;SDC2;ID1;BCKDHB;LPAR1;TENT4A;LTBP1,UV Response Dn
KRAS Signaling Dn,0.4009869,3.289042,10.44465,FGGY;MTHFR;COPZ2;MACROH2A2,KRAS Signaling Dn
TNF-alpha Signaling via NF-kB,0.4653244,2.121032,6.033194,PANX1;JUN;NFIL3;MYC;ZBTB10;CCL2;GEM,TNF-alpha Signaling via NF-kB
Spermatogenesis,0.5242803,2.571044,6.434246,PARP2;BRAF;IP6K1;LPIN1,Spermatogenesis
Coagulation,0.5242803,2.175963,5.177855,THBD;TF;USP11;HTRA1;TIMP1,Coagulation
Androgen Response,0.5242803,2.083293,4.686854,NGLY1;ZBTB10;LIFR;SEC24D;CAMKK2,Androgen Response
Hypoxia,0.5242803,1.71324,3.49519,JUN;NFIL3;SDC2;IGFBP3;PDK3;AK4;PDK1,Hypoxia
Angiogenesis,0.5242803,3.273417,6.442227,THBD;TIMP1,Angiogenesis
Xenobiotic Metabolism,0.5242803,1.64429,3.121931,CBR1;ARG1;FBLN1;PTGR1;XDH;ESR1;PTGES,Xenobiotic Metabolism
Cholesterol Homeostasis,0.5242803,2.001514,3.749797,NFIL3;GLDC;PDK3;GNAI1,Cholesterol Homeostasis
IL-6/JAK/STAT3 Signaling,0.5242803,2.26844,4.156746,JUN;TNFRSF1B;IL17RA,IL-6/JAK/STAT3 Signaling
KRAS Signaling Up,0.5242803,1.75821,3.114643,TMEM158;ARG1;IGFBP3;TNFRSF1B;ETV4,KRAS Signaling Up
Wnt-beta Catenin Signaling,0.5242803,2.804811,4.892547,MYC;GNAI1,Wnt-beta Catenin Signaling
Myogenesis,0.5274921,1.696988,2.846882,IGFBP3;LPIN1;PDLIM7;MAPK12;EPHB3,Myogenesis
Allograft Rejection,0.5591242,1.709448,2.586943,CCL2;CAPG;TIMP1;EIF4G3,Allograft Rejection
Glycolysis,0.5591242,1.456279,2.196281,EXT2;SDC2;IGFBP3;PDK3;PLOD2;AK4;FBP2,Glycolysis
Estrogen Response Early,0.875673,1.257442,1.230683,MAST4;MYC;CELSR1;TJP3;PTGES,Estrogen Response Early
G2-M Checkpoint,0.875673,1.190972,1.142668,SLC38A1;ODF2;MYC;TROAP;CDC6;TENT4A;KIF15,G2-M Checkpoint
Bile Acid Metabolism,0.8803867,1.316142,1.1803,RXRA;EPHX2;SLC29A1,Bile Acid Metabolism
p53 Pathway,0.8803867,1.185484,1.023192,LDHB;JUN;RXRA;RRAD;ADA,p53 Pathway
UV Response Up,0.8857484,1.187268,0.9669935,CNP;RRAD;PARP2;NPTXR,UV Response Up
Hedgehog Signaling,0.9053933,1.631141,1.226147,CELSR1,Hedgehog Signaling
Estrogen Response Late,0.9528846,1.057429,0.6738273,CDC6;SLC29A1;TJP3;PTGES,Estrogen Response Late
Notch Signaling,0.9528846,1.333952,0.826811,ST3GAL6,Notch Signaling
Myc Targets V2,0.9528846,1.086588,0.6381076,MYC;UNG,Myc Targets V2
Interferon Gamma Response,0.9818624,0.8965614,0.38257,LYSMD2;PLA2G4A;CCL2,Interferon Gamma Response
mTORC1 Signaling,0.9818624,0.8704844,0.3354326,NFIL3;PLOD2;AK4;PDK1;UNG,mTORC1 Signaling
Apical Junction,0.9818624,0.828121,0.2920854,FSCN1;NEXN;GNAI1,Apical Junction
Reactive Oxygen Species Pathway,0.9818624,0.7321429,0.2126393,SELENOS,Reactive Oxygen Species Pathway
Pperoxisome,0.9818624,0.7405711,0.2104504,EPHX2;ALB,Pperoxisome
TGF-beta Signaling,0.9818624,0.7142028,0.1994987,ID1,TGF-beta Signaling
E2F Targets,0.9818624,0.7889096,0.2200844,DIAPH3;MYC;DSCC1;ASF1B;UNG,E2F Targets
Fatty Acid Metabolism,0.9818624,0.7365316,0.1903961,CBR1;BCKDHB;PTPRG,Fatty Acid Metabolism
DNA Repair,0.9818624,0.6786397,0.1378918,USP11;NME4;ADA,DNA Repair
Protein Secretion,0.9818624,0.6420133,0.129692,DOP1A;SEC24D,Protein Secretion
Interferon Alpha Response,0.9818624,0.5624019,0.103569,CNP,Interferon Alpha Response
heme Metabolism,0.9818624,0.6337105,0.1034997,HEBP1;SLC25A37;TNS1,heme Metabolism
Apoptosis,0.9818624,0.5836177,0.09133483,JUN;TIMP1,Apoptosis
Mitotic Spindle,0.9818624,0.6324518,0.08607328,NET1;CLIP2;FSCN1;KIF15,Mitotic Spindle
Complement,0.9818624,0.5449906,0.06992499,PLA2G4A;TIMP1,Complement
Adipogenesis,0.9921366,0.5349399,0.04714441,CAVIN2;EPHX2;LIFR,Adipogenesis
PI3K/AKT/mTOR  Signaling,0.9921366,0.3738008,0.02707552,PDK1,PI3K/AKT/mTOR  Signaling
Unfolded Protein Response,0.998743,0.2879033,0.009379505,CCL2,Unfolded Protein Response
Oxidative Phosphorylation,0.998743,0.3089193,0.003893688,LDHB;MAOB,Oxidative Phosphorylation
Myc Targets V1,0.998743,0.1467097,0.0001845353,MYC,Myc Targets V1
