Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Positive Regulation Of Synapse Assembly (GO:0051965)	4.799110e-05	4.218721e-02	0	0	3.324138e+01	3.305687e+02	SEMA4A;CLSTN1;IL1RAP;EPHB3
GO_Biological_Process_2023	Regulation Of Synapse Assembly (GO:0051963)	7.341078e-05	4.218721e-02	0	0	1.515559e+01	1.442728e+02	SETD5;LRFN4;CLSTN1;IL1RAP;EPHB3
GO_Biological_Process_2023	Base-Excision Repair, AP Site Formation (GO:0006285)	8.437443e-05	4.218721e-02	0	0	2.659004e+01	2.494211e+02	MBD4;NEIL3;OGG1;UNG
GO_Biological_Process_2023	DNA Modification (GO:0006304)	7.940302e-04	2.977613e-01	0	0	1.207802e+01	8.621762e+01	MBD4;NEIL3;OGG1;UNG
GO_Biological_Process_2023	Cell-Cell Junction Assembly (GO:0007043)	1.051079e-03	3.049810e-01	0	0	5.890983e+00	4.040000e+01	GJC1;CNTNAP1;CDH3;FSCN1;TLN2;MPDZ
GO_Biological_Process_2023	Membrane Lipid Metabolic Process (GO:0006643)	1.289071e-03	3.049810e-01	0	0	1.986641e+01	1.321878e+02	CYP1B1;ST3GAL6;SMPDL3B
GO_Biological_Process_2023	Pyrimidine Deoxyribonucleotide Catabolic Process (GO:0009223)	1.891422e-03	3.049810e-01	0	0	1.655344e+01	1.037971e+02	MBD4;OGG1;UNG
GO_Biological_Process_2023	DNA Damage Response (GO:0006974)	2.053064e-03	3.049810e-01	0	0	2.234511e+00	1.382810e+01	BARD1;MBD4;RTEL1;ENDOG;OGG1;MCM10;TNFRSF1B;UNG;TRAIP;FAM111A;DEPDC1B;BCL2L11;PAXX;MYC;FSCN1;MACROD1;PCLAF;POLH;RAD18
GO_Biological_Process_2023	Regulation Of Excitatory Synapse Assembly (GO:1904889)	2.571889e-03	3.049810e-01	0	0	6.600000e+01	3.935656e+02	SEMA4A;LRFN4
GO_Biological_Process_2023	Neurotransmitter Uptake (GO:0001504)	2.571889e-03	3.049810e-01	0	0	6.600000e+01	3.935656e+02	SLC38A1;SLC29A1
GO_Biological_Process_2023	Nitric Oxide Biosynthetic Process (GO:0006809)	2.643168e-03	3.049810e-01	0	0	1.418702e+01	8.421100e+01	GCHFR;NQO1;CYP1B1
GO_Biological_Process_2023	Nitric Oxide Metabolic Process (GO:0046209)	2.643168e-03	3.049810e-01	0	0	1.418702e+01	8.421100e+01	GCHFR;NQO1;CYP1B1
GO_Biological_Process_2023	Regulation Of Cell Cycle Checkpoint (GO:1901976)	2.643168e-03	3.049810e-01	0	0	1.418702e+01	8.421100e+01	BARD1;DEPDC1B;FEM1B
GO_Biological_Process_2023	Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)	3.066634e-03	3.285680e-01	0	0	4.653138e+00	2.692852e+01	CDH3;LRFN4;TENM3;EMB;NECTIN2;NECTIN1
GO_Biological_Process_2023	Canonical Wnt Signaling Pathway (GO:0060070)	5.012339e-03	3.981467e-01	0	0	6.636015e+00	3.514336e+01	FZD1;CDH3;CAV1;NID1
GO_Biological_Process_2023	Positive Regulation Of Cell Junction Assembly (GO:1901890)	5.012339e-03	3.981467e-01	0	0	6.636015e+00	3.514336e+01	CAV1;CLSTN1;IL1RAP;EPHB3
GO_Biological_Process_2023	Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156)	5.012339e-03	3.981467e-01	0	0	6.636015e+00	3.514336e+01	TENM3;EMB;NECTIN2;NECTIN1
GO_Biological_Process_2023	Positive Regulation Of Melanin Biosynthetic Process (GO:0048023)	5.043191e-03	3.981467e-01	0	0	3.299620e+01	1.745405e+02	ZEB2;CDH3
GO_Biological_Process_2023	Positive Regulation Of Secondary Metabolite Biosynthetic Process (GO:1900378)	5.043191e-03	3.981467e-01	0	0	3.299620e+01	1.745405e+02	ZEB2;CDH3
GO_Biological_Process_2023	Skeletal Muscle Organ Development (GO:0060538)	5.897907e-03	4.423430e-01	0	0	9.927481e+00	5.095933e+01	SIX4;CAV1;DISP1
GO_Biological_Process_2023	DNA Metabolic Process (GO:0006259)	6.390685e-03	4.564775e-01	0	0	2.194545e+00	1.108885e+01	BARD1;MBD4;RTEL1;ENDOG;OGG1;MCM10;UNG;TFPT;FAM111A;NT5E;NEIL3;FSCN1;PCLAF;POLH;RAD18
GO_Biological_Process_2023	DNA Replication-Dependent Chromatin Assembly (GO:0006335)	8.241343e-03	4.944806e-01	0	0	2.199493e+01	1.055447e+02	CHAF1A;ASF1B
GO_Biological_Process_2023	Regulation Of Melanin Biosynthetic Process (GO:0048021)	8.241343e-03	4.944806e-01	0	0	2.199493e+01	1.055447e+02	ZEB2;CDH3
GO_Biological_Process_2023	Dendritic Spine Morphogenesis (GO:0060997)	8.241343e-03	4.944806e-01	0	0	2.199493e+01	1.055447e+02	NOL3;EPHB3
GO_Biological_Process_2023	Regulation Of DNA Methylation (GO:0044030)	8.241343e-03	4.944806e-01	0	0	2.199493e+01	1.055447e+02	KMT2A;MYC
GO_Biological_Process_2023	Cellular Lipid Catabolic Process (GO:0044242)	1.081528e-02	5.354051e-01	0	0	7.633881e+00	3.455702e+01	CYP1B1;LPIN1;SMPDL3B
GO_Biological_Process_2023	Neuron Projection Guidance (GO:0097485)	1.117689e-02	5.354051e-01	0	0	4.052064e+00	1.820960e+01	EFNB1;SEMA4A;EMB;SEMA4G;EPHB3
GO_Biological_Process_2023	Regulation Of Neuroinflammatory Response (GO:0150077)	1.212143e-02	5.354051e-01	0	0	1.649430e+01	7.278570e+01	DAGLA;TNFRSF1B
GO_Biological_Process_2023	Basement Membrane Organization (GO:0071711)	1.212143e-02	5.354051e-01	0	0	1.649430e+01	7.278570e+01	FLRT2;NID1
GO_Biological_Process_2023	Depyrimidination (GO:0045008)	1.212143e-02	5.354051e-01	0	0	1.649430e+01	7.278570e+01	OGG1;UNG
GO_Biological_Process_2023	Ubiquitin-Dependent Protein Catabolic Process Via The C-end Degron Rule Pathway (GO:0140627)	1.212143e-02	5.354051e-01	0	0	1.649430e+01	7.278570e+01	FEM1B;TRPC4AP
GO_Biological_Process_2023	Vitamin K Metabolic Process (GO:0042373)	1.212143e-02	5.354051e-01	0	0	1.649430e+01	7.278570e+01	CBR1;NQO1
GO_Biological_Process_2023	Negative Regulation Of Sequestering Of Calcium Ion (GO:0051283)	1.284972e-02	5.354051e-01	0	0	7.087786e+00	3.086329e+01	PLCB4;ITPR1;PLCD1
GO_Biological_Process_2023	Arachidonic Acid Metabolic Process (GO:0019369)	1.284972e-02	5.354051e-01	0	0	7.087786e+00	3.086329e+01	CBR1;DAGLA;CYP1B1
GO_Biological_Process_2023	Icosanoid Metabolic Process (GO:0006690)	1.284972e-02	5.354051e-01	0	0	7.087786e+00	3.086329e+01	DAGLA;CYP1B1;ABCC10
GO_Biological_Process_2023	Regulation Of DNA Damage Checkpoint (GO:2000001)	1.284972e-02	5.354051e-01	0	0	7.087786e+00	3.086329e+01	BARD1;DEPDC1B;FEM1B
GO_Biological_Process_2023	Cellular Nitrogen Compound Biosynthetic Process (GO:0044271)	1.508776e-02	5.837600e-01	0	0	6.614504e+00	2.774038e+01	GCHFR;NQO1;CYP1B1
GO_Biological_Process_2023	Positive Regulation Of Nervous System Development (GO:0051962)	1.508776e-02	5.837600e-01	0	0	6.614504e+00	2.774038e+01	CLSTN1;IL1RAP;EPHB3
GO_Biological_Process_2023	snRNA Transcription By RNA Polymerase III (GO:0042796)	1.664056e-02	5.837600e-01	0	0	1.319392e+01	5.404113e+01	SNAPC5;SNAPC3
GO_Biological_Process_2023	Histone H2A K63-linked Deubiquitination (GO:0070537)	1.664056e-02	5.837600e-01	0	0	1.319392e+01	5.404113e+01	BARD1;DEPDC1B
