term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0051965,0.04218721,33.24138,330.5687,SEMA4A;CLSTN1;IL1RAP;EPHB3,Positive Regulation Of Synapse Assembly (GO:0051965)
GO:0051963,0.04218721,15.15559,144.2728,SETD5;LRFN4;CLSTN1;IL1RAP;EPHB3,Regulation Of Synapse Assembly (GO:0051963)
GO:0006285,0.04218721,26.59004,249.4211,MBD4;NEIL3;OGG1;UNG,"Base-Excision Repair, AP Site Formation (GO:0006285)"
GO:0006304,0.2977613,12.07802,86.21762,MBD4;NEIL3;OGG1;UNG,DNA Modification (GO:0006304)
GO:0007043,0.304981,5.890983,40.4,GJC1;CNTNAP1;CDH3;FSCN1;TLN2;MPDZ,Cell-Cell Junction Assembly (GO:0007043)
GO:0006643,0.304981,19.86641,132.1878,CYP1B1;ST3GAL6;SMPDL3B,Membrane Lipid Metabolic Process (GO:0006643)
GO:0009223,0.304981,16.55344,103.7971,MBD4;OGG1;UNG,Pyrimidine Deoxyribonucleotide Catabolic Process (GO:0009223)
GO:0006974,0.304981,2.234511,13.8281,BARD1;MBD4;RTEL1;ENDOG;OGG1;MCM10;TNFRSF1B;UNG;TRAIP;FAM111A;DEPDC1B;BCL2L11;PAXX;MYC;FSCN1;MACROD1;PCLAF;POLH;RAD18,DNA Damage Response (GO:0006974)
GO:1904889,0.304981,66.0,393.5656,SEMA4A;LRFN4,Regulation Of Excitatory Synapse Assembly (GO:1904889)
GO:0001504,0.304981,66.0,393.5656,SLC38A1;SLC29A1,Neurotransmitter Uptake (GO:0001504)
GO:0006809,0.304981,14.18702,84.211,GCHFR;NQO1;CYP1B1,Nitric Oxide Biosynthetic Process (GO:0006809)
GO:0046209,0.304981,14.18702,84.211,GCHFR;NQO1;CYP1B1,Nitric Oxide Metabolic Process (GO:0046209)
GO:1901976,0.304981,14.18702,84.211,BARD1;DEPDC1B;FEM1B,Regulation Of Cell Cycle Checkpoint (GO:1901976)
GO:0098742,0.328568,4.653138,26.92852,CDH3;LRFN4;TENM3;EMB;NECTIN2;NECTIN1,Cell-Cell Adhesion Via Plasma-Membrane Adhesion Molecules (GO:0098742)
GO:0060070,0.3981467,6.636015,35.14336,FZD1;CDH3;CAV1;NID1,Canonical Wnt Signaling Pathway (GO:0060070)
GO:1901890,0.3981467,6.636015,35.14336,CAV1;CLSTN1;IL1RAP;EPHB3,Positive Regulation Of Cell Junction Assembly (GO:1901890)
GO:0007156,0.3981467,6.636015,35.14336,TENM3;EMB;NECTIN2;NECTIN1,Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156)
GO:0048023,0.3981467,32.9962,174.5405,ZEB2;CDH3,Positive Regulation Of Melanin Biosynthetic Process (GO:0048023)
GO:1900378,0.3981467,32.9962,174.5405,ZEB2;CDH3,Positive Regulation Of Secondary Metabolite Biosynthetic Process (GO:1900378)
GO:0060538,0.442343,9.927481,50.95933,SIX4;CAV1;DISP1,Skeletal Muscle Organ Development (GO:0060538)
GO:0006259,0.4564775,2.194545,11.08885,BARD1;MBD4;RTEL1;ENDOG;OGG1;MCM10;UNG;TFPT;FAM111A;NT5E;NEIL3;FSCN1;PCLAF;POLH;RAD18,DNA Metabolic Process (GO:0006259)
GO:0006335,0.4944806,21.99493,105.5447,CHAF1A;ASF1B,DNA Replication-Dependent Chromatin Assembly (GO:0006335)
GO:0048021,0.4944806,21.99493,105.5447,ZEB2;CDH3,Regulation Of Melanin Biosynthetic Process (GO:0048021)
GO:0060997,0.4944806,21.99493,105.5447,NOL3;EPHB3,Dendritic Spine Morphogenesis (GO:0060997)
GO:0044030,0.4944806,21.99493,105.5447,KMT2A;MYC,Regulation Of DNA Methylation (GO:0044030)
GO:0044242,0.5354051,7.633881,34.55702,CYP1B1;LPIN1;SMPDL3B,Cellular Lipid Catabolic Process (GO:0044242)
GO:0097485,0.5354051,4.052064,18.2096,EFNB1;SEMA4A;EMB;SEMA4G;EPHB3,Neuron Projection Guidance (GO:0097485)
GO:0150077,0.5354051,16.4943,72.7857,DAGLA;TNFRSF1B,Regulation Of Neuroinflammatory Response (GO:0150077)
GO:0071711,0.5354051,16.4943,72.7857,FLRT2;NID1,Basement Membrane Organization (GO:0071711)
GO:0045008,0.5354051,16.4943,72.7857,OGG1;UNG,Depyrimidination (GO:0045008)
GO:0140627,0.5354051,16.4943,72.7857,FEM1B;TRPC4AP,Ubiquitin-Dependent Protein Catabolic Process Via The C-end Degron Rule Pathway (GO:0140627)
GO:0042373,0.5354051,16.4943,72.7857,CBR1;NQO1,Vitamin K Metabolic Process (GO:0042373)
GO:0051283,0.5354051,7.087786,30.86329,PLCB4;ITPR1;PLCD1,Negative Regulation Of Sequestering Of Calcium Ion (GO:0051283)
GO:0019369,0.5354051,7.087786,30.86329,CBR1;DAGLA;CYP1B1,Arachidonic Acid Metabolic Process (GO:0019369)
GO:0006690,0.5354051,7.087786,30.86329,DAGLA;CYP1B1;ABCC10,Icosanoid Metabolic Process (GO:0006690)
GO:2000001,0.5354051,7.087786,30.86329,BARD1;DEPDC1B;FEM1B,Regulation Of DNA Damage Checkpoint (GO:2000001)
GO:0044271,0.58376,6.614504,27.74038,GCHFR;NQO1;CYP1B1,Cellular Nitrogen Compound Biosynthetic Process (GO:0044271)
GO:0051962,0.58376,6.614504,27.74038,CLSTN1;IL1RAP;EPHB3,Positive Regulation Of Nervous System Development (GO:0051962)
GO:0042796,0.58376,13.19392,54.04113,SNAPC5;SNAPC3,snRNA Transcription By RNA Polymerase III (GO:0042796)
GO:0070537,0.58376,13.19392,54.04113,BARD1;DEPDC1B,Histone H2A K63-linked Deubiquitination (GO:0070537)
GO:0051209,0.58376,6.200382,25.07277,PLCB4;ITPR1;PLCD1,Release Of Sequestered Calcium Ion Into Cytosol (GO:0051209)
GO:1903531,0.58376,5.83498,22.77345,SLC30A1;HMGCR;TNFRSF1B,Negative Regulation Of Secretion By Cell (GO:1903531)
GO:0050862,0.58376,10.99366,42.08139,CD81;NECTIN2,Positive Regulation Of T Cell Receptor Signaling Pathway (GO:0050862)
GO:0034764,0.58376,10.99366,42.08139,SLC38A1;BRAF,Positive Regulation Of Transmembrane Transport (GO:0034764)
GO:0048843,0.58376,10.99366,42.08139,SEMA4A;SEMA4G,Negative Regulation Of Axon Extension Involved In Axon Guidance (GO:0048843)
GO:0032682,0.58376,10.99366,42.08139,SIGIRR;MUL1,Negative Regulation Of Chemokine Production (GO:0032682)
GO:0097553,0.58376,5.510178,20.77571,PLCB4;ITPR1;PLCD1,Calcium Ion Transmembrane Import Into Cytosol (GO:0097553)
GO:0031297,0.58376,3.897228,14.34078,BARD1;FAM111A;RTEL1;TRAIP,Replication Fork Processing (GO:0031297)
GO:0042795,0.58376,9.422053,33.8815,SNAPC5;SNAPC3,snRNA Transcription By RNA Polymerase II (GO:0042795)
GO:0006516,0.58376,9.422053,33.8815,EDEM1;FBXO2,Glycoprotein Catabolic Process (GO:0006516)
GO:0070863,0.58376,9.422053,33.8815,CD81;EDEM1,Positive Regulation Of Protein Exit From Endoplasmic Reticulum (GO:0070863)
GO:1901661,0.58376,9.422053,33.8815,CBR1;NQO1,Quinone Metabolic Process (GO:1901661)
GO:0045216,0.58376,3.785441,13.60617,GJC1;CDH3;FSCN1;TLN2,Cell-Cell Junction Organization (GO:0045216)
GO:0048514,0.58376,4.958015,17.48825,FLT4;CAV1;CYP1B1,Blood Vessel Morphogenesis (GO:0048514)
GO:0033559,0.58376,4.958015,17.48825,GSTM2;DAGLA;CYP1B1,Unsaturated Fatty Acid Metabolic Process (GO:0033559)
GO:0035425,0.58376,inf,inf,FZD1,Autocrine Signaling (GO:0035425)
GO:0097267,0.58376,inf,inf,CYP1B1,Omega-Hydroxylase P450 Pathway (GO:0097267)
GO:0071313,0.58376,inf,inf,GSTM2,Cellular Response To Caffeine (GO:0071313)
GO:1903514,0.58376,inf,inf,NOL3,Release Of Sequestered Calcium Ion Into Cytosol By Endoplasmic Reticulum (GO:1903514)
GO:0014808,0.58376,inf,inf,NOL3,Release Of Sequestered Calcium Ion Into Cytosol By Sarcoplasmic Reticulum (GO:0014808)
GO:0110110,0.58376,inf,inf,SIX4,Positive Regulation Of Animal Organ Morphogenesis (GO:0110110)
GO:0031000,0.58376,inf,inf,GSTM2,Response To Caffeine (GO:0031000)
GO:0045956,0.58376,inf,inf,SCAMP5,Positive Regulation Of Calcium Ion-Dependent Exocytosis (GO:0045956)
GO:1905278,0.58376,inf,inf,SIX4,Positive Regulation Of Epithelial Tube Formation (GO:1905278)
GO:0050957,0.58376,inf,inf,MYO7A,Equilibrioception (GO:0050957)
GO:0016264,0.58376,inf,inf,GJC1,Gap Junction Assembly (GO:0016264)
GO:0043586,0.58376,inf,inf,SIX4,Tongue Development (GO:0043586)
GO:0002455,0.58376,inf,inf,CD81,Humoral Immune Response Mediated By Circulating Immunoglobulin (GO:0002455)
GO:0016064,0.58376,inf,inf,CD81,Immunoglobulin Mediated Immune Response (GO:0016064)
GO:0007411,0.58376,3.071937,10.77247,EFNB1;SEMA4A;EMB;SEMA4G;EPHB3,Axon Guidance (GO:0007411)
