Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Cholesterol Homeostasis	2.482161e-03	1.067329e-01	0	0	4.178295e+00	2.506403e+01	GSTM2;NFIL3;PDK3;MAL2;HMGCR;GNAI1;FDFT1
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	6.620848e-03	1.423482e-01	0	0	2.871094e+00	1.440580e+01	NT5E;NFIL3;GLIPR2;CD81;MYC;CDC6;TNFRSF1B;LCLAT1;PLPP1
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	2.938505e-02	3.680789e-01	0	0	4.958015e+00	1.748825e+01	FZD1;MYC;GNAI1
MSigDB_Hallmark_2020	G2-M Checkpoint	4.133562e-02	3.680789e-01	0	0	1.963091e+00	6.254469e+00	BARD1;CASP8AP2;SLC38A1;CHAF1A;ODF2;MYC;TROAP;KNL1;CDC6;TRAIP
MSigDB_Hallmark_2020	Apical Junction	4.279987e-02	3.680789e-01	0	0	2.281730e+00	7.190233e+00	CDH3;FSCN1;SORBS3;GNAI1;ACTG2;NECTIN2;NECTIN1
MSigDB_Hallmark_2020	Myogenesis	5.504945e-02	3.945211e-01	0	0	2.314986e+00	6.712356e+00	NQO1;MRAS;FHL1;LPIN1;SORBS3;EPHB3
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	1.206674e-01	5.743424e-01	0	0	2.604058e+00	5.506846e+00	NQO1;PRDX4;MGST1
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	1.272630e-01	5.743424e-01	0	0	2.536994e+00	5.230011e+00	OSMR;TNFRSF1B;IL17RA
MSigDB_Hallmark_2020	Notch Signaling	1.475025e-01	5.743424e-01	0	0	3.135615e+00	6.001284e+00	FZD1;ST3GAL6
MSigDB_Hallmark_2020	Glycolysis	1.534288e-01	5.743424e-01	0	0	1.631346e+00	3.057988e+00	TPST1;NT5E;COL5A1;PDK3;ALDOB;NOL3;HS6ST2
MSigDB_Hallmark_2020	Inflammatory Response	1.760278e-01	5.743424e-01	0	0	1.885057e+00	3.274558e+00	MYC;PCDH7;OSMR;TNFRSF1B
MSigDB_Hallmark_2020	Hypoxia	1.792406e-01	5.743424e-01	0	0	1.625040e+00	2.793486e+00	NFIL3;COL5A1;CAV1;PDK3;ALDOB;PDK1
MSigDB_Hallmark_2020	Spermatogenesis	1.840950e-01	5.743424e-01	0	0	2.103216e+00	3.559279e+00	TLE4;BRAF;LPIN1
MSigDB_Hallmark_2020	Androgen Response	1.879147e-01	5.743424e-01	0	0	1.832269e+00	3.063128e+00	DNAJB9;LIFR;HMGCR;PLPP1
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	2.003520e-01	5.743424e-01	0	0	1.650000e+00	2.652671e+00	BTG3;DUSP5;NFIL3;MYC;GEM
MSigDB_Hallmark_2020	Estrogen Response Late	2.546558e-01	6.843874e-01	0	0	1.498252e+00	2.049372e+00	BTG3;CAV1;CDC6;SLC29A1;FDFT1
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	2.969394e-01	7.510819e-01	0	0	1.479358e+00	1.796277e+00	NT5E;COL5A1;HTRA1;GEM
MSigDB_Hallmark_2020	UV Response Dn	3.576957e-01	8.329527e-01	0	0	1.342091e+00	1.379767e+00	PLCB4;MYC;CAV1;BCKDHB
MSigDB_Hallmark_2020	Coagulation	3.680489e-01	8.329527e-01	0	0	1.408397e+00	1.407748e+00	TF;GDA;HTRA1
MSigDB_Hallmark_2020	Hedgehog Signaling	4.355898e-01	9.365180e-01	0	0	1.822811e+00	1.514855e+00	CELSR1
MSigDB_Hallmark_2020	Myc Targets V2	4.976861e-01	9.702997e-01	0	0	1.214758e+00	8.476412e-01	MYC;UNG
MSigDB_Hallmark_2020	Xenobiotic Metabolism	5.589369e-01	9.702997e-01	0	0	1.015890e+00	5.909623e-01	CBR1;NQO1;MPP2;TPST1
MSigDB_Hallmark_2020	mTORC1 Signaling	5.859478e-01	9.702997e-01	0	0	9.743590e-01	5.208188e-01	NFIL3;EDEM1;HMGCR;PDK1;UNG
MSigDB_Hallmark_2020	Apoptosis	5.863798e-01	9.702997e-01	0	0	9.924821e-01	5.297746e-01	BTG3;BCL2L11;CAV1
MSigDB_Hallmark_2020	Bile Acid Metabolism	6.188891e-01	9.702997e-01	0	0	9.630955e-01	4.621214e-01	EPHX2;SLC29A1
MSigDB_Hallmark_2020	E2F Targets	6.684990e-01	9.702997e-01	0	0	8.830561e-01	3.556247e-01	BARD1;PRDX4;MYC;ASF1B;UNG
MSigDB_Hallmark_2020	KRAS Signaling Dn	7.004862e-01	9.702997e-01	0	0	8.392580e-01	2.987596e-01	BARD1
MSigDB_Hallmark_2020	Estrogen Response Early	7.059791e-01	9.702997e-01	0	0	8.237539e-01	2.868061e-01	MYC;CELSR1;FDFT1
MSigDB_Hallmark_2020	Adipogenesis	7.300147e-01	9.702997e-01	0	0	8.058275e-01	2.535864e-01	CAVIN2;EPHX2;DNAJB9;LIFR
MSigDB_Hallmark_2020	p53 Pathway	7.410564e-01	9.702997e-01	0	0	7.773537e-01	2.329562e-01	PROCR;CD81;POLH
MSigDB_Hallmark_2020	KRAS Signaling Up	7.457771e-01	9.702997e-01	0	0	7.511035e-01	2.203201e-01	FLT4;TNFRSF1B
MSigDB_Hallmark_2020	Interferon Alpha Response	7.978197e-01	9.702997e-01	0	0	6.284965e-01	1.419601e-01	PROCR
MSigDB_Hallmark_2020	Unfolded Protein Response	8.102207e-01	9.702997e-01	0	0	6.524715e-01	1.373117e-01	EDEM1;DNAJB9
MSigDB_Hallmark_2020	UV Response Up	8.145213e-01	9.702997e-01	0	0	6.459361e-01	1.325168e-01	BTG3;BCL2L11
MSigDB_Hallmark_2020	Complement	8.385454e-01	9.702997e-01	0	0	6.092889e-01	1.072876e-01	DUSP5;ZFPM2
MSigDB_Hallmark_2020	Fatty Acid Metabolism	8.812177e-01	9.702997e-01	0	0	5.424588e-01	6.859425e-02	CBR1;BCKDHB
MSigDB_Hallmark_2020	DNA Repair	9.066906e-01	9.702997e-01	0	0	5.001462e-01	4.899134e-02	SNAPC5;POLH
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	9.080348e-01	9.702997e-01	0	0	4.177350e-01	4.030000e-02	PDK1
MSigDB_Hallmark_2020	Pperoxisome	9.134504e-01	9.702997e-01	0	0	4.071970e-01	3.686201e-02	EPHX2
MSigDB_Hallmark_2020	Mitotic Spindle	9.211472e-01	9.702997e-01	0	0	5.257891e-01	4.318592e-02	BCL2L11;ALMS1;FSCN1
MSigDB_Hallmark_2020	heme Metabolism	9.251695e-01	9.702997e-01	0	0	4.672703e-01	3.634349e-02	SLC30A1;TNS1
MSigDB_Hallmark_2020	Myc Targets V1	9.821113e-01	9.967998e-01	0	0	3.308960e-01	5.972875e-03	PRDX4;MYC
MSigDB_Hallmark_2020	Oxidative Phosphorylation	9.967998e-01	9.967998e-01	0	0	1.710993e-01	5.484282e-04	MAOB
