Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Negative Regulation Of MAPK Cascade (GO:0043409)	1.238021e-04	2.175203e-01	0	0	5.362046e+00	4.824140e+01	SPRED2;UCHL1;MYC;CAV1;CBLC;TIMP3;FBLN1;PPARG;SORL1
GO_Biological_Process_2023	Blood Vessel Morphogenesis (GO:0048514)	5.375565e-04	3.148289e-01	0	0	9.004370e+00	6.778919e+01	FLT1;TGFB1;CAV1;ID1;AGGF1
GO_Biological_Process_2023	Neurogenesis (GO:0022008)	5.375565e-04	3.148289e-01	0	0	9.004370e+00	6.778919e+01	SIX4;ERBB3;WDR62;ERCC6;DAGLB
GO_Biological_Process_2023	Positive Regulation Of Adipose Tissue Development (GO:1904179)	8.888086e-04	3.489402e-01	0	0	2.417007e+01	1.698100e+02	PPARG;SORL1;TRPM4
GO_Biological_Process_2023	Regulation Of Synapse Assembly (GO:0051963)	1.139888e-03	3.489402e-01	0	0	1.077239e+01	7.300259e+01	PTPRD;SETD5;GPC4;EPHB3
GO_Biological_Process_2023	Regulation Of Epithelial Cell Proliferation (GO:0050678)	1.202909e-03	3.489402e-01	0	0	5.731314e+00	3.853169e+01	GPX1;TGFB1;SIX4;MYC;SOX9;RUNX3
GO_Biological_Process_2023	Positive Regulation Of Synapse Assembly (GO:0051965)	1.390200e-03	3.489402e-01	0	0	1.933383e+01	1.271839e+02	PTPRD;VSTM5;EPHB3
GO_Biological_Process_2023	Negative Regulation Of Cell Population Proliferation (GO:0008285)	2.353788e-03	3.564259e-01	0	0	2.560336e+00	1.549446e+01	TGFB1;IGFBP3;FBLN1;ADARB1;TOB1;RUNX3;CLDN3;MYC;CDH13;PPARG;PLXNB1;SOX9;E2F7;TNS2
GO_Biological_Process_2023	Regulation Of miRNA Transcription (GO:1902893)	2.573016e-03	3.564259e-01	0	0	5.996671e+00	3.575621e+01	JUN;TGFB1;MYC;PPARG;SOX9
GO_Biological_Process_2023	Neurotransmitter Biosynthetic Process (GO:0042136)	2.708379e-03	3.564259e-01	0	0	6.423704e+01	3.797311e+02	SLC44A4;DAGLB
GO_Biological_Process_2023	Positive Regulation Of Kidney Development (GO:0090184)	2.708379e-03	3.564259e-01	0	0	6.423704e+01	3.797311e+02	MYC;SOX9
GO_Biological_Process_2023	Regulation Of Adipose Tissue Development (GO:1904177)	2.847165e-03	3.564259e-01	0	0	1.380669e+01	8.092698e+01	PPARG;SORL1;TRPM4
