Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Hypoxia	1.751973e-03	7.883877e-02	0	0	3.082032e+00	1.956169e+01	SCARB1;JUN;NFIL3;IGFBP3;CAV1;AK4;GLRX;ANGPTL4;GPC4;PDK1;FOSL2
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	7.207175e-03	1.072776e-01	0	0	3.061676e+00	1.510226e+01	JUN;TGFB1;IGFBP3;TIMP3;CAPG;PLOD2;FBLN1;GEM
MSigDB_Hallmark_2020	Xenobiotic Metabolism	7.237220e-03	1.072776e-01	0	0	2.653137e+00	1.307603e+01	CYP27A1;CBR1;TPST1;SLC35D1;ARG1;FBLN1;PTGR1;DHRS1;XDH;RAP1GAP
MSigDB_Hallmark_2020	Cholesterol Homeostasis	1.191962e-02	1.072776e-01	0	0	3.409577e+00	1.510296e+01	NFIL3;GLDC;GPX8;MAL2;PPARG;FDFT1
MSigDB_Hallmark_2020	Estrogen Response Early	1.191973e-02	1.072776e-01	0	0	2.592281e+00	1.148266e+01	SEC14L2;SCARB1;SYNGR1;MYC;ENDOD1;NADSYN1;CELSR1;TOB1;FDFT1
MSigDB_Hallmark_2020	Glycolysis	1.537399e-02	1.073055e-01	0	0	2.343347e+00	9.783655e+00	TPST1;PFKFB1;CLDN3;IGFBP3;PLOD2;AK4;GLRX;SOX9;ANGPTL4;GPC4
MSigDB_Hallmark_2020	p53 Pathway	1.669197e-02	1.073055e-01	0	0	2.439068e+00	9.982687e+00	JUN;TGFB1;SLC35D1;MAPKAPK3;GLS2;CDH13;TOB1;ADA;POLH
MSigDB_Hallmark_2020	Myogenesis	2.169820e-02	1.220524e-01	0	0	2.668857e+00	1.022312e+01	CHRNB1;TGFB1;ERBB3;IGFBP3;CDH13;MAPK12;EPHB3
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	4.061040e-02	2.030520e-01	0	0	2.311321e+00	7.404850e+00	PANX1;JUN;NFIL3;MYC;FOSB;GEM;FOSL2
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	5.859232e-02	2.636654e-01	0	0	2.114689e+00	5.999693e+00	SPRED2;CDCP1;IL4R;NFIL3;MYC;SNX14;CAPG
MSigDB_Hallmark_2020	Allograft Rejection	7.082123e-02	2.897232e-01	0	0	2.369740e+00	6.274115e+00	IL4R;TGFB1;CAPG;EIF4G3;TAPBP
MSigDB_Hallmark_2020	KRAS Signaling Dn	1.209760e-01	4.328653e-01	0	0	2.603034e+00	5.498033e+00	BARD1;MFSD6;AKR1B10
MSigDB_Hallmark_2020	KRAS Signaling Up	1.340323e-01	4.328653e-01	0	0	1.914794e+00	3.848113e+00	ARG1;IGFBP3;GLRX;SOX9;ANGPTL4
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	1.346692e-01	4.328653e-01	0	0	2.468973e+00	4.950128e+00	JUN;IL4R;TGFB1
MSigDB_Hallmark_2020	Notch Signaling	1.537760e-01	4.613280e-01	0	0	3.051852e+00	5.713855e+00	ST3GAL6;DTX4
MSigDB_Hallmark_2020	Inflammatory Response	1.875969e-01	4.967935e-01	0	0	1.834328e+00	3.069674e+00	IL4R;MYC;PCDH7;TAPBP
MSigDB_Hallmark_2020	Apoptosis	1.987174e-01	4.967935e-01	0	0	1.655662e+00	2.675338e+00	JUN;GPX1;ERBB3;CAV1;TIMP3
MSigDB_Hallmark_2020	UV Response Dn	1.987174e-01	4.967935e-01	0	0	1.655662e+00	2.675338e+00	MYC;CAV1;ID1;AGGF1;PPARG
MSigDB_Hallmark_2020	Estrogen Response Late	2.718154e-01	6.162335e-01	0	0	1.457780e+00	1.898951e+00	SCARB1;CAV1;PLXNB1;TOB1;FDFT1
MSigDB_Hallmark_2020	mTORC1 Signaling	2.738816e-01	6.162335e-01	0	0	1.353694e+00	1.753114e+00	NFIL3;PLOD2;AK4;GLRX;CTSC;PDK1;UNG
MSigDB_Hallmark_2020	Bile Acid Metabolism	3.586983e-01	7.502267e-01	0	0	1.432503e+00	1.468707e+00	CYP27A1;SLC23A2;NR3C2
MSigDB_Hallmark_2020	TGF-beta Signaling	3.667775e-01	7.502267e-01	0	0	1.598704e+00	1.603500e+00	TGFB1;ID1
MSigDB_Hallmark_2020	Coagulation	3.836923e-01	7.507024e-01	0	0	1.370632e+00	1.312948e+00	GDA;MMP15;TIMP3
MSigDB_Hallmark_2020	Complement	4.243092e-01	7.771727e-01	0	0	1.217910e+00	1.044106e+00	MMP15;CDH13;PLA2G7;CTSC
MSigDB_Hallmark_2020	Hedgehog Signaling	4.441843e-01	7.771727e-01	0	0	1.774293e+00	1.439866e+00	CELSR1
MSigDB_Hallmark_2020	Pperoxisome	4.490331e-01	7.771727e-01	0	0	1.228910e+00	9.839378e-01	SLC23A2;STS;ALB
MSigDB_Hallmark_2020	Interferon Alpha Response	4.824176e-01	7.939731e-01	0	0	1.252288e+00	9.128490e-01	IL4R;CNP
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	5.089093e-01	7.939731e-01	0	0	1.451023e+00	9.801452e-01	MYC
MSigDB_Hallmark_2020	Myc Targets V2	5.116715e-01	7.939731e-01	0	0	1.182305e+00	7.922296e-01	MYC;UNG
MSigDB_Hallmark_2020	Protein Secretion	5.412074e-01	8.118111e-01	0	0	1.063569e+00	6.529809e-01	DOP1A;ERGIC3;CTSC
MSigDB_Hallmark_2020	Adipogenesis	5.723397e-01	8.283074e-01	0	0	9.900668e-01	5.524797e-01	SCARB1;SQOR;PPARG;ANGPTL4;TOB1
MSigDB_Hallmark_2020	Interferon Gamma Response	5.975043e-01	8.283074e-01	0	0	9.758364e-01	5.025497e-01	IL4R;LYSMD2;TAPBP
MSigDB_Hallmark_2020	UV Response Up	6.108578e-01	8.283074e-01	0	0	9.560967e-01	4.712514e-01	PTPRD;CNP;FOSB
MSigDB_Hallmark_2020	heme Metabolism	6.260203e-01	8.283074e-01	0	0	9.299488e-01	4.355625e-01	ENDOD1;ANK1;RAP1GAP;TNS1
MSigDB_Hallmark_2020	G2-M Checkpoint	6.442391e-01	8.283074e-01	0	0	9.093633e-01	3.998337e-01	BARD1;CASP8AP2;CHAF1A;TGFB1;MYC
MSigDB_Hallmark_2020	Androgen Response	6.775767e-01	8.337936e-01	0	0	8.607608e-01	3.350361e-01	NGLY1;CAMKK2
MSigDB_Hallmark_2020	E2F Targets	6.907380e-01	8.337936e-01	0	0	8.591963e-01	3.178980e-01	BARD1;DIAPH3;MYC;ASF1B;UNG
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	7.188759e-01	8.337936e-01	0	0	7.964022e-01	2.628657e-01	GLRX
MSigDB_Hallmark_2020	Fatty Acid Metabolism	7.226211e-01	8.337936e-01	0	0	8.016619e-01	2.604361e-01	CBR1;D2HGDH;PTPRG
MSigDB_Hallmark_2020	Spermatogenesis	7.873918e-01	8.858158e-01	0	0	6.494465e-01	1.552367e-01	TLE4
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	9.137381e-01	9.796594e-01	0	0	4.066137e-01	3.668116e-02	PDK1
MSigDB_Hallmark_2020	DNA Repair	9.143488e-01	9.796594e-01	0	0	4.867806e-01	4.358787e-02	ADA;POLH
MSigDB_Hallmark_2020	Apical Junction	9.661788e-01	9.978683e-01	0	0	2.926404e-01	1.006868e-02	FSCN1
MSigDB_Hallmark_2020	Mitotic Spindle	9.801236e-01	9.978683e-01	0	0	3.379928e-01	6.785751e-03	ARHGEF3;FSCN1
MSigDB_Hallmark_2020	Myc Targets V1	9.978683e-01	9.978683e-01	0	0	1.595941e-01	3.405756e-04	MYC
