term,fdr,Odds Ratio,Combined Score,Genes,description
Hypoxia,0.07883877,3.082032,19.56169,SCARB1;JUN;NFIL3;IGFBP3;CAV1;AK4;GLRX;ANGPTL4;GPC4;PDK1;FOSL2,Hypoxia
Epithelial Mesenchymal Transition,0.1072776,3.061676,15.10226,JUN;TGFB1;IGFBP3;TIMP3;CAPG;PLOD2;FBLN1;GEM,Epithelial Mesenchymal Transition
Xenobiotic Metabolism,0.1072776,2.653137,13.07603,CYP27A1;CBR1;TPST1;SLC35D1;ARG1;FBLN1;PTGR1;DHRS1;XDH;RAP1GAP,Xenobiotic Metabolism
Cholesterol Homeostasis,0.1072776,3.409577,15.10296,NFIL3;GLDC;GPX8;MAL2;PPARG;FDFT1,Cholesterol Homeostasis
Estrogen Response Early,0.1072776,2.592281,11.48266,SEC14L2;SCARB1;SYNGR1;MYC;ENDOD1;NADSYN1;CELSR1;TOB1;FDFT1,Estrogen Response Early
Glycolysis,0.1073055,2.343347,9.783655,TPST1;PFKFB1;CLDN3;IGFBP3;PLOD2;AK4;GLRX;SOX9;ANGPTL4;GPC4,Glycolysis
p53 Pathway,0.1073055,2.439068,9.982687,JUN;TGFB1;SLC35D1;MAPKAPK3;GLS2;CDH13;TOB1;ADA;POLH,p53 Pathway
Myogenesis,0.1220524,2.668857,10.22312,CHRNB1;TGFB1;ERBB3;IGFBP3;CDH13;MAPK12;EPHB3,Myogenesis
TNF-alpha Signaling via NF-kB,0.203052,2.311321,7.40485,PANX1;JUN;NFIL3;MYC;FOSB;GEM;FOSL2,TNF-alpha Signaling via NF-kB
IL-2/STAT5 Signaling,0.2636654,2.114689,5.999693,SPRED2;CDCP1;IL4R;NFIL3;MYC;SNX14;CAPG,IL-2/STAT5 Signaling
Allograft Rejection,0.2897232,2.36974,6.274115,IL4R;TGFB1;CAPG;EIF4G3;TAPBP,Allograft Rejection
KRAS Signaling Dn,0.4328653,2.603034,5.498033,BARD1;MFSD6;AKR1B10,KRAS Signaling Dn
KRAS Signaling Up,0.4328653,1.914794,3.848113,ARG1;IGFBP3;GLRX;SOX9;ANGPTL4,KRAS Signaling Up
IL-6/JAK/STAT3 Signaling,0.4328653,2.468973,4.950128,JUN;IL4R;TGFB1,IL-6/JAK/STAT3 Signaling
Notch Signaling,0.461328,3.051852,5.713855,ST3GAL6;DTX4,Notch Signaling
Inflammatory Response,0.4967935,1.834328,3.069674,IL4R;MYC;PCDH7;TAPBP,Inflammatory Response
Apoptosis,0.4967935,1.655662,2.675338,JUN;GPX1;ERBB3;CAV1;TIMP3,Apoptosis
UV Response Dn,0.4967935,1.655662,2.675338,MYC;CAV1;ID1;AGGF1;PPARG,UV Response Dn
Estrogen Response Late,0.6162335,1.45778,1.898951,SCARB1;CAV1;PLXNB1;TOB1;FDFT1,Estrogen Response Late
mTORC1 Signaling,0.6162335,1.353694,1.753114,NFIL3;PLOD2;AK4;GLRX;CTSC;PDK1;UNG,mTORC1 Signaling
Bile Acid Metabolism,0.7502267,1.432503,1.468707,CYP27A1;SLC23A2;NR3C2,Bile Acid Metabolism
TGF-beta Signaling,0.7502267,1.598704,1.6035,TGFB1;ID1,TGF-beta Signaling
Coagulation,0.7507024,1.370632,1.312948,GDA;MMP15;TIMP3,Coagulation
Complement,0.7771727,1.21791,1.044106,MMP15;CDH13;PLA2G7;CTSC,Complement
Hedgehog Signaling,0.7771727,1.774293,1.439866,CELSR1,Hedgehog Signaling
Pperoxisome,0.7771727,1.22891,0.9839378,SLC23A2;STS;ALB,Pperoxisome
Interferon Alpha Response,0.7939731,1.252288,0.912849,IL4R;CNP,Interferon Alpha Response
Wnt-beta Catenin Signaling,0.7939731,1.451023,0.9801452,MYC,Wnt-beta Catenin Signaling
Myc Targets V2,0.7939731,1.182305,0.7922296,MYC;UNG,Myc Targets V2
Protein Secretion,0.8118111,1.063569,0.6529809,DOP1A;ERGIC3;CTSC,Protein Secretion
Adipogenesis,0.8283074,0.9900668,0.5524797,SCARB1;SQOR;PPARG;ANGPTL4;TOB1,Adipogenesis
Interferon Gamma Response,0.8283074,0.9758364,0.5025497,IL4R;LYSMD2;TAPBP,Interferon Gamma Response
UV Response Up,0.8283074,0.9560967,0.4712514,PTPRD;CNP;FOSB,UV Response Up
heme Metabolism,0.8283074,0.9299488,0.4355625,ENDOD1;ANK1;RAP1GAP;TNS1,heme Metabolism
G2-M Checkpoint,0.8283074,0.9093633,0.3998337,BARD1;CASP8AP2;CHAF1A;TGFB1;MYC,G2-M Checkpoint
Androgen Response,0.8337936,0.8607608,0.3350361,NGLY1;CAMKK2,Androgen Response
E2F Targets,0.8337936,0.8591963,0.317898,BARD1;DIAPH3;MYC;ASF1B;UNG,E2F Targets
Reactive Oxygen Species Pathway,0.8337936,0.7964022,0.2628657,GLRX,Reactive Oxygen Species Pathway
Fatty Acid Metabolism,0.8337936,0.8016619,0.2604361,CBR1;D2HGDH;PTPRG,Fatty Acid Metabolism
Spermatogenesis,0.8858158,0.6494465,0.1552367,TLE4,Spermatogenesis
PI3K/AKT/mTOR  Signaling,0.9796594,0.4066137,0.03668116,PDK1,PI3K/AKT/mTOR  Signaling
DNA Repair,0.9796594,0.4867806,0.04358787,ADA;POLH,DNA Repair
Apical Junction,0.9978683,0.2926404,0.01006868,FSCN1,Apical Junction
Mitotic Spindle,0.9978683,0.3379928,0.006785751,ARHGEF3;FSCN1,Mitotic Spindle
Myc Targets V1,0.9978683,0.1595941,0.0003405756,MYC,Myc Targets V1
