Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion (GO:0086042)	1.210213e-08	2.954130e-05	0	0	inf	inf	DSP;CXADR;JUP;PKP2;DSG2;DSC2
GO_Biological_Process_2023	Bundle Of His Cell To Purkinje Myocyte Communication (GO:0086069)	2.539866e-07	2.066604e-04	0	0	inf	inf	DSP;JUP;PKP2;DSG2;DSC2
GO_Biological_Process_2023	Bundle Of His cell-Purkinje Myocyte Adhesion Involved In Cell Communication (GO:0086073)	2.539866e-07	2.066604e-04	0	0	inf	inf	DSP;JUP;PKP2;DSG2;DSC2
GO_Biological_Process_2023	Heterotypic Cell-Cell Adhesion (GO:0034113)	1.468569e-06	8.961942e-04	0	0	2.006368e+01	2.694797e+02	DSP;CXADR;JUP;PKP2;ITGA7;DSG2;DSC2
GO_Biological_Process_2023	Regulation Of Ventricular Cardiac Muscle Cell Action Potential (GO:0098911)	1.259757e-05	6.150132e-03	0	0	3.329812e+01	3.756696e+02	DSP;JUP;PKP2;DSG2;DSC2
GO_Biological_Process_2023	Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901)	4.170842e-05	1.696838e-02	0	0	1.334118e+01	1.345432e+02	DSP;CXADR;JUP;PKP2;DSG2;DSC2
GO_Biological_Process_2023	Cardiac Muscle Cell Differentiation (GO:0055007)	7.380400e-05	2.573651e-02	0	0	3.986885e+01	3.793162e+02	AKAP13;CXADR;NRG1;VEGFA
GO_Biological_Process_2023	Homophilic Cell Adhesion Via Plasma Membrane Adhesion Molecules (GO:0007156)	9.722939e-05	2.966712e-02	0	0	8.251804e+00	7.623377e+01	IGSF11;TENM3;CDH2;DSG2;CDH17;NECTIN3;IGSF9
GO_Biological_Process_2023	Regulation Of ERK1 And ERK2 Cascade (GO:0070372)	1.574554e-04	4.208893e-02	0	0	3.337516e+00	2.922452e+01	APP;EPHA4;CCL20;NRG1;PRKCZ;DUSP6;EGFR;TIRAP;SLC9A3R1;MFHAS1;TNIP1;PDGFD;PTPN6;GAS6;FGFR2
GO_Biological_Process_2023	Protein Localization To Plasma Membrane (GO:0072659)	1.724249e-04	4.208893e-02	0	0	3.698329e+00	3.204805e+01	JUP;ANK3;F11R;ATP1B1;TNFRSF1A;SLC9A3R2;SLC9A3R1;TSPAN15;CACNB3;PKP2;GAS6;NECTIN3;CRB3
