Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	KRAS Signaling Up	8.142754e-05	3.827094e-03	0	0	3.777650e+00	3.556958e+01	JUP;PEG3;CCL20;TNFAIP3;PLAT;CROT;DUSP6;CCND2;TSPAN13;HKDC1;CPE;PRKG2;LCP1;SDCCAG8
MSigDB_Hallmark_2020	Estrogen Response Late	3.914021e-04	9.197950e-03	0	0	3.033894e+00	2.380325e+01	KCNK5;CLIC3;LSR;PAPSS2;SULT2B1;SLC9A3R1;TSPAN13;GJB3;AGR2;CPE;CHPT1;PTPN6;HMGCS2;FRK;LLGL2
MSigDB_Hallmark_2020	Hypoxia	1.218253e-03	1.908597e-02	0	0	2.680714e+00	1.798849e+01	CDKN1B;HEXA;TNFAIP3;AMPD3;ENO2;ENO3;EGFR;VEGFA;SULT2B1;PLAC8;ILVBL;STBD1;ALDOB;VHL;TGM2
MSigDB_Hallmark_2020	Estrogen Response Early	2.143807e-03	2.025799e-02	0	0	2.613110e+00	1.605801e+01	KCNK5;LAD1;CLIC3;ZNF185;WWC1;PAPSS2;THSD4;SULT2B1;SLC9A3R1;ESRP2;CHPT1;RAB17;FRK;TGM2
MSigDB_Hallmark_2020	Angiogenesis	2.155105e-03	2.025799e-02	0	0	6.650235e+00	4.083188e+01	APP;CCND2;JAG1;VEGFA;VAV2
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	1.205642e-02	8.587774e-02	0	0	2.345998e+00	1.036499e+01	IFIH1;JAG1;LAMB3;TNIP1;CCL20;TNFAIP3;SERPINB8;PHLDA1;SQSTM1;ETS2;VEGFA
MSigDB_Hallmark_2020	Myogenesis	1.279030e-02	8.587774e-02	0	0	2.442500e+00	1.064703e+01	APP;GABARAPL2;GSN;ITGA7;IGFBP7;KIFC3;AGRN;ENO3;CRYAB;MYLK
MSigDB_Hallmark_2020	heme Metabolism	1.829378e-02	1.074759e-01	0	0	2.037567e+00	8.152703e+00	ALDH1L1;IGSF3;SLC66A2;NCOA4;GDE1;MBOAT2;PDZK1IP1;MFHAS1;ALDH6A1;RNF19A;UCP2;ACP5;SNCA
MSigDB_Hallmark_2020	Xenobiotic Metabolism	2.654605e-02	1.386294e-01	0	0	1.986548e+00	7.208933e+00	ABCC3;GABARAPL1;VNN1;JUP;ACOX1;ENTPD5;EPHX1;CROT;PTGDS;PAPSS2;ETS2;TNFRSF1A
MSigDB_Hallmark_2020	Fatty Acid Metabolism	3.298742e-02	1.550409e-01	0	0	1.982690e+00	6.764202e+00	GABARAPL1;VNN1;ACOX1;EPHX1;ALDH1A1;PCBD1;HMGCS2;ENO2;ENO3;ADIPOR2;CRYZ
