term,fdr,Odds Ratio,Combined Score,Genes,description
KRAS Signaling Up,0.003827094,3.77765,35.56958,JUP;PEG3;CCL20;TNFAIP3;PLAT;CROT;DUSP6;CCND2;TSPAN13;HKDC1;CPE;PRKG2;LCP1;SDCCAG8,KRAS Signaling Up
Estrogen Response Late,0.00919795,3.033894,23.80325,KCNK5;CLIC3;LSR;PAPSS2;SULT2B1;SLC9A3R1;TSPAN13;GJB3;AGR2;CPE;CHPT1;PTPN6;HMGCS2;FRK;LLGL2,Estrogen Response Late
Hypoxia,0.01908597,2.680714,17.98849,CDKN1B;HEXA;TNFAIP3;AMPD3;ENO2;ENO3;EGFR;VEGFA;SULT2B1;PLAC8;ILVBL;STBD1;ALDOB;VHL;TGM2,Hypoxia
Estrogen Response Early,0.02025799,2.61311,16.05801,KCNK5;LAD1;CLIC3;ZNF185;WWC1;PAPSS2;THSD4;SULT2B1;SLC9A3R1;ESRP2;CHPT1;RAB17;FRK;TGM2,Estrogen Response Early
Angiogenesis,0.02025799,6.650235,40.83188,APP;CCND2;JAG1;VEGFA;VAV2,Angiogenesis
TNF-alpha Signaling via NF-kB,0.08587774,2.345998,10.36499,IFIH1;JAG1;LAMB3;TNIP1;CCL20;TNFAIP3;SERPINB8;PHLDA1;SQSTM1;ETS2;VEGFA,TNF-alpha Signaling via NF-kB
Myogenesis,0.08587774,2.4425,10.64703,APP;GABARAPL2;GSN;ITGA7;IGFBP7;KIFC3;AGRN;ENO3;CRYAB;MYLK,Myogenesis
heme Metabolism,0.1074759,2.037567,8.152703,ALDH1L1;IGSF3;SLC66A2;NCOA4;GDE1;MBOAT2;PDZK1IP1;MFHAS1;ALDH6A1;RNF19A;UCP2;ACP5;SNCA,heme Metabolism
Xenobiotic Metabolism,0.1386294,1.986548,7.208933,ABCC3;GABARAPL1;VNN1;JUP;ACOX1;ENTPD5;EPHX1;CROT;PTGDS;PAPSS2;ETS2;TNFRSF1A,Xenobiotic Metabolism
Fatty Acid Metabolism,0.1550409,1.98269,6.764202,GABARAPL1;VNN1;ACOX1;EPHX1;ALDH1A1;PCBD1;HMGCS2;ENO2;ENO3;ADIPOR2;CRYZ,Fatty Acid Metabolism
p53 Pathway,0.1874645,1.863519,5.715928,APP;CCND2;GM2A;ABCC5;EI24;EPHX1;OSGIN1;TXNIP;EPS8L2;PTPN14;PHLDA3,p53 Pathway
IL-2/STAT5 Signaling,0.1874645,1.920793,5.838071,GABARAPL1;CCND2;IFNGR1;ANXA4;ST3GAL4;MAP6;ENO3;DCPS;PHLDA1;TGM2,IL-2/STAT5 Signaling
Interferon Gamma Response,0.1910414,1.952349,5.695907,IFIH1;SAMD9L;AUTS2;TRIM14;TXNIP;ST3GAL5;TNFAIP3;METTL7B;PTPN6,Interferon Gamma Response
Apoptosis,0.1910414,1.931127,5.535296,APP;CCND2;CDKN1B;GSN;IFNGR1;TXNIP;PLAT;ENO2;SQSTM1,Apoptosis
Coagulation,0.1913811,2.113208,5.907653,GSN;CTSH;PLAT;CRIP2;HMGCS2;DUSP6;DUSP14,Coagulation
Complement,0.2333183,1.794455,4.545194,CPM;MMP13;GCA;CTSH;TNFAIP3;PLAT;PLA2G7;DUSP6;CD55,Complement
Apical Surface,0.2400267,3.133915,7.659099,APP;AFAP1L2;ADIPOR2,Apical Surface
Pperoxisome,0.2472338,1.882968,4.438526,SULT2B1;ATXN1;TTR;ACOX1;SLC25A19;ABCC5;ALDH1A1,Pperoxisome
Bile Acid Metabolism,0.2972355,1.863971,3.94964,SULT2B1;ATXN1;TTR;ALDH1A1;PIPOX;CROT,Bile Acid Metabolism
Apical Junction,0.363562,1.575358,2.939965,MAPK11;JUP;LAMB3;NECTIN3;EGFR;VAV2;CRB3;THBS3,Apical Junction
PI3K/AKT/mTOR  Signaling,0.4031651,1.632425,2.798033,CDKN1B;DAPP1;PLCB1;SQSTM1;EGFR;TNFRSF1A,PI3K/AKT/mTOR  Signaling
Hedgehog Signaling,0.4962306,2.33018,3.401642,ETS2;VEGFA,Hedgehog Signaling
Interferon Alpha Response,0.5132824,1.618315,2.235835,IFIH1;SAMD9L;TRIM14;TXNIP,Interferon Alpha Response
Epithelial Mesenchymal Transition,0.5512174,1.367465,1.687727,CDH2;TNFAIP3;ENO2;MYLK;VEGFA;TGM2,Epithelial Mesenchymal Transition
KRAS Signaling Dn,0.5512174,1.605898,1.91727,HNF1A;CDH16;GPRC5C,KRAS Signaling Dn
Wnt-beta Catenin Signaling,0.5512174,1.885448,2.239303,CCND2;JAG1,Wnt-beta Catenin Signaling
IL-6/JAK/STAT3 Signaling,0.5741432,1.523185,1.689497,IFNGR1;LTBR;TNFRSF1A,IL-6/JAK/STAT3 Signaling
Allograft Rejection,0.7681759,1.146523,0.8649683,CCND2;IFNGR1;PTPN6;EGFR,Allograft Rejection
Pancreas Beta Cells,0.7681759,1.647674,1.230134,HNF1A,Pancreas Beta Cells
UV Response Dn,0.8606636,1.018465,0.6100622,ATXN1;CDKN1B;ANXA4;ADGRL2;VAV2,UV Response Dn
Glycolysis,0.8828385,0.973359,0.5263666,PKP2;ALDOB;ENO2;AGRN;EGFR;DSC2;VEGFA,Glycolysis
Protein Secretion,0.9352055,0.8867721,0.3657713,SCRN1;TSPAN8;STX7;EGFR,Protein Secretion
Notch Signaling,0.9352055,0.8976744,0.347129,JAG1,Notch Signaling
Adipogenesis,0.9352055,0.867524,0.3159562,IFNGR1;ACOX1;UCP2;ITGA7;CYP4B1;ADIPOR2;MYLK,Adipogenesis
Spermatogenesis,0.9352055,0.8222611,0.2910463,NPHP1;CDKN3,Spermatogenesis
Androgen Response,0.9352055,0.8104916,0.2703943,ADAMTS1;NCOA4;TMPRSS2,Androgen Response
Reactive Oxygen Species Pathway,0.9985926,0.4926744,0.06941676,HHEX,Reactive Oxygen Species Pathway
Inflammatory Response,0.9985926,0.54662,0.07098071,CCL20;CD55,Inflammatory Response
UV Response Up,0.9985926,0.5897664,0.07549631,EPHX1;ENO2;SQSTM1,UV Response Up
mTORC1 Signaling,0.9985926,0.5830818,0.045411,SLC9A3R1;DAPP1;SQSTM1;ADIPOR2;SYTL2,mTORC1 Signaling
Mitotic Spindle,0.9985926,0.5343262,0.02593985,AKAP13;FGD4;GSN;SORBS2;MARK4,Mitotic Spindle
Cholesterol Homeostasis,0.9985926,0.3170293,0.01428563,JAG1,Cholesterol Homeostasis
Unfolded Protein Response,0.9985926,0.3922611,0.01570785,TATDN2;VEGFA,Unfolded Protein Response
G2-M Checkpoint,0.9985926,0.3301521,0.002220095,CDKN1B;CHEK1;CDKN3,G2-M Checkpoint
Oxidative Phosphorylation,0.9985926,0.3138378,0.00146472,ALDH6A1;BDH2;ATP1B1,Oxidative Phosphorylation
E2F Targets,0.9985926,0.312122,0.001398459,CDKN1B;CHEK1;CDKN3,E2F Targets
DNA Repair,0.9985926,0.1488195,0.0002095925,STX3,DNA Repair
