"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0086042","GO:0086042",1,"GO:0086042",4.52957039695895,7,"cardiac muscle cell-cardiac muscle cell adhesion","cardiac muscle cell-cardiac muscle cell adhesion",0.959272108843537,0.507,0
"GO:0086073","GO:0086073",1,"GO:0086042",3.68474273435052,6,"bundle of His cell-Purkinje myocyte adhesion involved in cell communication","cardiac muscle cell-cardiac muscle cell adhesion",0.834850340136054,0.507,0.986
"GO:0086069","GO:0086069",2,"GO:0086069",3.68474273435052,14,"bundle of His cell to Purkinje myocyte communication","bundle of His cell to Purkinje myocyte communication",0.858639455782313,0.4305,0
"GO:0034113","GO:0034113",3,"GO:0034113",3.04759787108594,57,"heterotypic cell-cell adhesion","heterotypic cell-cell adhesion",0.95591156462585,0.499,0
"GO:0098911","GO:0098911",4,"GO:0098911",2.21111556288208,12,"regulation of ventricular cardiac muscle cell action potential","regulation of ventricular cardiac muscle cell action potential",0.861972789115646,0.534,0
"GO:0098901","GO:0098901",4,"GO:0098911",1.7703596185335,27,"regulation of cardiac muscle cell action potential","regulation of ventricular cardiac muscle cell action potential",0.952755102040816,0.534,0.932
"GO:0055007","GO:0055007",5,"GO:0055007",1.58945034595163,159,"cardiac muscle cell differentiation","cardiac muscle cell differentiation",0.828394557823129,0.2787,0
"GO:0007156","GO:0007156",3,"GO:0034113",1.52772461171539,109,"homophilic cell adhesion via plasma membrane adhesion molecules","heterotypic cell-cell adhesion",0.953605442176871,0.413857142857143,0.599
"GO:0070372","GO:0070372",6,"GO:0070372",1.37583211490302,343,"regulation of ERK1 and ERK2 cascade","regulation of ERK1 and ERK2 cascade",0.873040816326531,0.3834,0
"GO:0072659","GO:0072659",7,"GO:0072659",1.37583211490302,315,"protein localization to plasma membrane","protein localization to plasma membrane",0.955986394557823,0.31025,0
"GO:0086091","GO:0086091",2,"GO:0086069",1.27962443043678,36,"regulation of heart rate by cardiac conduction","bundle of His cell to Purkinje myocyte communication",0.867047619047619,0.4045,0.796
"GO:0001573","GO:0001573",8,"GO:0001573",1.22298388516543,28,"ganglioside metabolic process","ganglioside metabolic process",0.94208843537415,0.3644,0
"GO:0046514","GO:0046514",8,"GO:0001573",1.22298388516543,20,"ceramide catabolic process","ganglioside metabolic process",0.934054421768707,0.3548,0.814
"GO:0016052","GO:0016052",9,"GO:0016052",1.20753791847219,167,"carbohydrate catabolic process","carbohydrate catabolic process",0.954360544217687,0.402,0
"GO:0086004","GO:0086004",2,"GO:0086069",1.18385697439696,40,"regulation of cardiac muscle cell contraction","bundle of His cell to Purkinje myocyte communication",0.862476190476191,0.444166666666667,0.685
"GO:0032103","GO:0032103",10,"GO:0032103",1.18385697439696,668,"positive regulation of response to external stimulus","positive regulation of response to external stimulus",0.861455782312925,0.404714285714286,0
"GO:0098742","GO:0098742",3,"GO:0034113",1.18385697439696,211,"cell-cell adhesion via plasma-membrane adhesion molecules","heterotypic cell-cell adhesion",0.950544217687075,0.378714285714286,0.644
"GO:0055006","GO:0055006",5,"GO:0055007",1.18385697439696,120,"cardiac cell development","cardiac muscle cell differentiation",0.844244897959184,0.3678,0.919
"GO:0055010","GO:0055010",5,"GO:0055007",1.18385697439696,56,"ventricular cardiac muscle tissue morphogenesis","cardiac muscle cell differentiation",0.84212925170068,0.2646,0.808
"GO:0090136","GO:0090136",3,"GO:0034113",1.17160488471804,16,"epithelial cell-cell adhesion","heterotypic cell-cell adhesion",0.961394557823129,0.533,0.53
"GO:0048667","GO:0048667",11,"GO:0048667",1.1293326714256,677,"cell morphogenesis involved in neuron differentiation","cell morphogenesis involved in neuron differentiation",0.841857142857143,0.32375,0
"GO:0061337","GO:0061337",2,"GO:0086069",1.10219153243864,67,"cardiac conduction","bundle of His cell to Purkinje myocyte communication",0.864428571428571,0.368166666666667,0.859
"GO:0070374","GO:0070374",6,"GO:0070372",1.08133379311757,239,"positive regulation of ERK1 and ERK2 cascade","regulation of ERK1 and ERK2 cascade",0.850517006802721,0.3832,0.968
"GO:0002934","GO:0002934",12,"GO:0002934",1.04550813236375,10,"desmosome organization","desmosome organization",0.955843537414966,0.5045,0
"GO:1990778","GO:1990778",7,"GO:0072659",1.04550813236375,400,"protein localization to cell periphery","protein localization to plasma membrane",0.957421768707483,0.383,0.971
"GO:0046479","GO:0046479",8,"GO:0001573",1.04550813236375,14,"glycosphingolipid catabolic process","ganglioside metabolic process",0.93456462585034,0.3392,0.883
"GO:1900273","GO:1900273",13,"GO:1900273",1.04550813236375,32,"positive regulation of long-term synaptic potentiation","positive regulation of long-term synaptic potentiation",0.885741496598639,0.33625,0
"GO:0055013","GO:0055013",5,"GO:0055007",1.04550813236375,111,"cardiac muscle cell development","cardiac muscle cell differentiation",0.830489795918367,0.2923,0.96
"GO:0032680","GO:0032680",14,"GO:0032680",1.0199161890663,216,"regulation of tumor necrosis factor production","regulation of tumor necrosis factor production",0.842183673469388,0.3872,0
"GO:0009913","GO:0009913",15,"GO:0009913",1.00293617935359,252,"epidermal cell differentiation","epidermal cell differentiation",0.878190476190476,0.2862,0
"GO:1900271","GO:1900271",13,"GO:1900273",0.977323825845935,59,"regulation of long-term synaptic potentiation","positive regulation of long-term synaptic potentiation",0.880843537414966,0.317,0.957
"GO:0008544","GO:0008544",15,"GO:0009913",0.939571505731085,397,"epidermis development","epidermal cell differentiation",0.897612244897959,0.3652,0.946
"GO:0072657","GO:0072657",7,"GO:0072659",0.938378661445946,641,"protein localization to membrane","protein localization to plasma membrane",0.957047619047619,0.4085,0.919
"GO:0070293","GO:0070293",16,"GO:0070293",0.891059021077952,34,"renal absorption","renal absorption",0.932136054421769,1,0
"GO:0033138","GO:0033138",18,"GO:0033138",0.891059021077952,127,"positive regulation of peptidyl-serine phosphorylation","positive regulation of peptidyl-serine phosphorylation",0.87391156462585,0.385,0
"GO:0003229","GO:0003229",5,"GO:0055007",0.891059021077952,68,"ventricular cardiac muscle tissue development","cardiac muscle cell differentiation",0.849482993197279,0.3159,0.822
"GO:2000551","GO:2000551",17,"GO:2000551",0.891059021077952,12,"regulation of T-helper 2 cell cytokine production","regulation of T-helper 2 cell cytokine production",0.784374149659864,0.294444444444445,0
"GO:0002428","GO:0002428",19,"GO:0002428",0.891059021077952,46,"antigen processing and presentation of peptide antigen via MHC class Ib","antigen processing and presentation of peptide antigen via MHC class Ib",0.938761904761905,0.292,0
"GO:2000553","GO:2000553",17,"GO:2000551",0.891059021077952,9,"positive regulation of T-helper 2 cell cytokine production","regulation of T-helper 2 cell cytokine production",0.769496598639456,0.287222222222222,0.984
"GO:0007409","GO:0007409",11,"GO:0048667",0.891059021077952,501,"axonogenesis","cell morphogenesis involved in neuron differentiation",0.805530612244898,0.27425,0.967
"GO:0002486","GO:0002486",19,"GO:0002428",0.891059021077952,43,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent","antigen processing and presentation of peptide antigen via MHC class Ib",0.939904761904762,0.2684,0.833
"GO:0002484","GO:0002484",19,"GO:0002428",0.891059021077952,44,"antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway","antigen processing and presentation of peptide antigen via MHC class Ib",0.93969387755102,0.2662,0.836
"GO:0002476","GO:0002476",19,"GO:0002428",0.891059021077952,45,"antigen processing and presentation of endogenous peptide antigen via MHC class Ib","antigen processing and presentation of peptide antigen via MHC class Ib",0.938170068027211,0.2516,0.977
"GO:0001914","GO:0001914",17,"GO:2000551",0.891059021077952,69,"regulation of T cell mediated cytotoxicity","regulation of T-helper 2 cell cytokine production",0.851557823129252,0.248111111111111,0.826
"GO:0043010","GO:0043010",20,"GO:0043010",0.859389837487975,380,"camera-type eye development","camera-type eye development",0.874734693877551,1,0
"GO:0007157","GO:0007157",3,"GO:0034113",0.859389837487975,50,"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","heterotypic cell-cell adhesion",0.955421768707483,0.435571428571429,0.573
"GO:0050806","GO:0050806",13,"GO:1900273",0.859389837487975,348,"positive regulation of synaptic transmission","positive regulation of long-term synaptic potentiation",0.875278911564626,0.3835,0.823
"GO:0030216","GO:0030216",15,"GO:0009913",0.859389837487975,163,"keratinocyte differentiation","epidermal cell differentiation",0.869176870748299,0.3106,0.956
"GO:0031349","GO:0031349",10,"GO:0032103",0.856420359508126,520,"positive regulation of defense response","positive regulation of response to external stimulus",0.85921768707483,0.387571428571429,0.684
"GO:0043588","GO:0043588",25,"GO:0043588",0.843178969739455,340,"skin development","skin development",0.90908843537415,1,0
"GO:0043062","GO:0043062",24,"GO:0043062",0.843178969739455,324,"extracellular structure organization","extracellular structure organization",0.949510204081633,1,0
"GO:0001774","GO:0001774",22,"GO:0001774",0.843178969739455,49,"microglial cell activation","microglial cell activation",0.868204081632653,1,0
"GO:0030198","GO:0030198",23,"GO:0030198",0.843178969739455,322,"extracellular matrix organization","extracellular matrix organization",0.945108843537415,0.5015,0
"GO:0045229","GO:0045229",23,"GO:0030198",0.843178969739455,323,"external encapsulating structure organization","extracellular matrix organization",0.949510204081633,0.5015,0.997
"GO:0048844","GO:0048844",21,"GO:0048844",0.843178969739455,83,"artery morphogenesis","artery morphogenesis",0.865591836734694,0.449625,0
"GO:0050808","GO:0050808",12,"GO:0002934",0.843178969739455,557,"synapse organization","desmosome organization",0.941700680272109,0.4475,0.633
"GO:0006096","GO:0006096",9,"GO:0016052",0.843178969739455,104,"glycolytic process","carbohydrate catabolic process",0.941190476190476,0.412,0.956
"GO:0030323","GO:0030323",21,"GO:0048844",0.843178969739455,246,"respiratory tube development","artery morphogenesis",0.864149659863946,0.38925,0.614
"GO:0060429","GO:0060429",15,"GO:0009913",0.843178969739455,1340,"epithelium development","epidermal cell differentiation",0.883612244897959,0.38,0.781
"GO:0030855","GO:0030855",15,"GO:0009913",0.843178969739455,750,"epithelial cell differentiation","epidermal cell differentiation",0.870278911564626,0.3504,0.886
"GO:0034135","GO:0034135",10,"GO:0032103",0.843178969739455,12,"regulation of toll-like receptor 2 signaling pathway","positive regulation of response to external stimulus",0.843333333333333,0.325142857142857,0.681
"GO:0048812","GO:0048812",11,"GO:0048667",0.843178969739455,731,"neuron projection morphogenesis","cell morphogenesis involved in neuron differentiation",0.800938775510204,0.317,0.916
"GO:0002711","GO:0002711",17,"GO:2000551",0.843178969739455,93,"positive regulation of T cell mediated immunity","regulation of T-helper 2 cell cytokine production",0.837081632653061,0.239,0.838
"GO:0001916","GO:0001916",17,"GO:2000551",0.843178969739455,62,"positive regulation of T cell mediated cytotoxicity","regulation of T-helper 2 cell cytokine production",0.830122448979592,0.235111111111111,0.822
"GO:0009968","GO:0009968",6,"GO:0070372",0.838147056846652,1355,"negative regulation of signal transduction","regulation of ERK1 and ERK2 cascade",0.850285714285714,0.5084,0.613
"GO:0045785","GO:0045785",3,"GO:0034113",0.818840392750194,540,"positive regulation of cell adhesion","heterotypic cell-cell adhesion",0.878551020408163,0.480857142857143,0.595
"GO:0048732","GO:0048732",26,"GO:0048732",0.800001970891966,489,"gland development","gland development",0.908156462585034,1,0
"GO:0001822","GO:0001822",27,"GO:0001822",0.800001970891966,336,"kidney development","kidney development",0.86621768707483,0.431666666666667,0
"GO:0032675","GO:0032675",14,"GO:0032680",0.781160280132494,173,"regulation of interleukin-6 production","regulation of tumor necrosis factor production",0.846,0.4474,0.653
"GO:0003208","GO:0003208",5,"GO:0055007",0.781160280132494,82,"cardiac ventricle morphogenesis","cardiac muscle cell differentiation",0.857625850340136,0.3553,0.637
"GO:0060760","GO:0060760",28,"GO:0060760",0.766669281626089,65,"positive regulation of response to cytokine stimulus","positive regulation of response to cytokine stimulus",0.886836734693878,1,0
"GO:1901890","GO:1901890",12,"GO:0002934",0.766669281626089,129,"positive regulation of cell junction assembly","desmosome organization",0.877931972789116,0.50025,0.552
"GO:0051896","GO:0051896",6,"GO:0070372",0.766669281626089,266,"regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction","regulation of ERK1 and ERK2 cascade",0.878986394557823,0.4946,0.637
"GO:0055008","GO:0055008",5,"GO:0055007",0.766669281626089,73,"cardiac muscle tissue morphogenesis","cardiac muscle cell differentiation",0.841408163265306,0.2993,0.831
"GO:0050729","GO:0050729",10,"GO:0032103",0.761963938478204,167,"positive regulation of inflammatory response","positive regulation of response to external stimulus",0.871272108843537,0.403571428571429,0.836
"GO:0043410","GO:0043410",6,"GO:0070372",0.761963938478204,541,"positive regulation of MAPK cascade","regulation of ERK1 and ERK2 cascade",0.839755102040816,0.3796,0.865
"GO:0002830","GO:0002830",35,"GO:0002830",0.743639984866359,18,"positive regulation of type 2 immune response","positive regulation of type 2 immune response",0.861938775510204,1,0
"GO:0010765","GO:0010765",34,"GO:0010765",0.743639984866359,44,"positive regulation of sodium ion transport","positive regulation of sodium ion transport",0.916986394557823,1,0
"GO:0015886","GO:0015886",32,"GO:0015886",0.743639984866359,9,"heme transport","heme transport",0.982530612244898,1,0
"GO:0035272","GO:0035272",30,"GO:0035272",0.743639984866359,54,"exocrine system development","exocrine system development",0.901578231292517,1,0
"GO:0071801","GO:0071801",29,"GO:0071801",0.743639984866359,16,"regulation of podosome assembly","regulation of podosome assembly",0.925401360544218,1,0
"GO:0043129","GO:0043129",31,"GO:0043129",0.743639984866359,31,"surfactant homeostasis","surfactant homeostasis",0.940054421768707,0.7095,0
"GO:1903589","GO:1903589",21,"GO:0048844",0.743639984866359,10,"positive regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis","artery morphogenesis",0.819755102040816,0.50825,0.581
"GO:0045779","GO:0045779",33,"GO:0045779",0.743639984866359,18,"negative regulation of bone resorption","negative regulation of bone resorption",0.881517006802721,0.5025,0
"GO:0046851","GO:0046851",33,"GO:0045779",0.743639984866359,20,"negative regulation of bone remodeling","negative regulation of bone resorption",0.887108843537415,0.5025,0.995
"GO:0060441","GO:0060441",21,"GO:0048844",0.743639984866359,38,"epithelial tube branching involved in lung morphogenesis","artery morphogenesis",0.847959183673469,0.37775,0.582
"GO:1903078","GO:1903078",7,"GO:0072659",0.743639984866359,63,"positive regulation of protein localization to plasma membrane","protein localization to plasma membrane",0.895959183673469,0.37375,0.869
"GO:0034136","GO:0034136",10,"GO:0032103",0.743639984866359,6,"negative regulation of toll-like receptor 2 signaling pathway","positive regulation of response to external stimulus",0.841897959183673,0.348285714285714,0.647
