,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0086042,cardiac muscle cell-cardiac muscle cell adhesion,GO:0086042,2.95413e-05,inf,inf,DSP;CXADR;JUP;PKP2;DSG2;DSC2,Cardiac Muscle Cell-Cardiac Muscle Cell Adhesion (GO:0086042)
1,GO:0086069,bundle of His cell to Purkinje myocyte communication,GO:0086069,0.0002066604,inf,inf,DSP;JUP;PKP2;DSG2;DSC2,Bundle Of His Cell To Purkinje Myocyte Communication (GO:0086069)
2,GO:0034113,heterotypic cell-cell adhesion,GO:0034113,0.0008961942,20.06368,269.4797,DSP;CXADR;JUP;PKP2;ITGA7;DSG2;DSC2,Heterotypic Cell-Cell Adhesion (GO:0034113)
3,GO:0098911,regulation of ventricular cardiac muscle cell action potential,GO:0098911,0.006150132,33.29812,375.6696,DSP;JUP;PKP2;DSG2;DSC2,Regulation Of Ventricular Cardiac Muscle Cell Action Potential (GO:0098911)
4,GO:0055007,cardiac muscle cell differentiation,GO:0055007,0.02573651,39.86885,379.3162,AKAP13;CXADR;NRG1;VEGFA,Cardiac Muscle Cell Differentiation (GO:0055007)
5,GO:0070372,regulation of ERK1 and ERK2 cascade,GO:0070372,0.04208893,3.337516,29.22452,APP;EPHA4;CCL20;NRG1;PRKCZ;DUSP6;EGFR;TIRAP;SLC9A3R1;MFHAS1;TNIP1;PDGFD;PTPN6;GAS6;FGFR2,Regulation Of ERK1 And ERK2 Cascade (GO:0070372)
6,GO:0072659,protein localization to plasma membrane,GO:0072659,0.04208893,3.698329,32.04805,JUP;ANK3;F11R;ATP1B1;TNFRSF1A;SLC9A3R2;SLC9A3R1;TSPAN15;CACNB3;PKP2;GAS6;NECTIN3;CRB3,Protein Localization To Plasma Membrane (GO:0072659)
7,GO:0001573,ganglioside metabolic process,GO:0001573,0.05984338,19.92974,160.4591,GM2A;HEXA;NEU1;ST3GAL5,Ganglioside Metabolic Process (GO:0001573)
8,GO:0016052,carbohydrate catabolic process,GO:0016052,0.06201005,6.372642,50.60874,MANBA;HKDC1;NEU1;UCP2;ALDOB;ENO2;ENO3,Carbohydrate Catabolic Process (GO:0016052)
9,GO:0032103,positive regulation of response to external stimulus,GO:0032103,0.06548518,3.753228,28.74652,APP;AIM2;TNIP1;PLAT;NRG1;LCP1;STX3;PLA2G7;TIRAP;TNFRSF1A;SNCA,Positive Regulation Of Response To External Stimulus (GO:0032103)
10,GO:0048667,cell morphogenesis involved in neuron differentiation,GO:0048667,0.07424502,4.86052,35.75411,APP;SHTN1;MAP2;ATL1;MAP6;ANK3;PAX2;FGFR2,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667)
11,GO:0002934,desmosome organization,GO:0002934,0.09005169,29.83178,205.1033,DSP;JUP;PKP2,Desmosome Organization (GO:0002934)
12,GO:1900273,positive regulation of long-term synaptic potentiation,GO:1900273,0.09005169,29.83178,205.1033,APP;AKAP5;SQSTM1,Positive Regulation Of Long-Term Synaptic Potentiation (GO:1900273)
13,GO:0032680,regulation of tumor necrosis factor production,GO:0032680,0.09551769,3.926025,26.6236,IFIH1;APP;IFNGR1;NFKBIL1;TNFAIP3;PTPN6;LCP1;GAS6;TIRAP,Regulation Of Tumor Necrosis Factor Production (GO:0032680)
14,GO:0009913,epidermal cell differentiation,GO:0009913,0.0993262,5.995765,40.22146,DSP;SCEL;JAG1;GATA6;TXNIP;EVPL,Epidermal Cell Differentiation (GO:0009913)
15,GO:0070293,renal absorption,GO:0070293,0.1285112,19.88551,123.6592,SLC9A3R1;GSN;HNF1A,Renal Absorption (GO:0070293)
16,GO:0033138,positive regulation of peptidyl-serine phosphorylation,GO:0033138,0.1285112,4.376032,26.56225,MAD2L2;APP;CAPRIN2;GAS6;EGFR;SNCA;VEGFA,Positive Regulation Of Peptidyl-Serine Phosphorylation (GO:0033138)
17,GO:2000551,regulation of T-helper 2 cell cytokine production,GO:2000551,0.1285112,inf,inf,DENND1B;PRKCZ,Regulation Of T-helper 2 Cell Cytokine Production (GO:2000551)
18,GO:0002428,antigen processing and presentation of peptide antigen via MHC class Ib,GO:0002428,0.1285112,inf,inf,RAET1E;ULBP1,Antigen Processing And Presentation Of Peptide Antigen Via MHC Class Ib (GO:0002428)
19,GO:0043010,camera-type eye development,GO:0043010,0.1382325,8.852459,52.40924,TENM3;PAX2;STRA6;VEGFA,Camera-Type Eye Development (GO:0043010)
20,GO:0043588,skin development,GO:0043588,0.1434898,4.608869,25.73026,DSP;SCEL;JAG1;GATA6;TXNIP;EVPL,Skin Development (GO:0043588)
21,GO:0043062,extracellular structure organization,GO:0043062,0.1434898,5.866473,33.37846,APP;CCDC80;MMP13;ADAMTS1;THSD4,Extracellular Structure Organization (GO:0043062)
22,GO:0001774,microglial cell activation,GO:0001774,0.1434898,14.91238,84.92942,APP;IFNGR1;SNCA,Microglial Cell Activation (GO:0001774)
23,GO:0030198,extracellular matrix organization,GO:0030198,0.1434898,3.559338,20.05159,APP;CCDC80;MMP13;GSN;ADAMTS1;LCP1;GAS6;THSD4,Extracellular Matrix Organization (GO:0030198)
24,GO:0048844,artery morphogenesis,GO:0048844,0.1434898,7.966276,44.78804,JAG1;LRP2;STRA6;VEGFA,Artery Morphogenesis (GO:0048844)
25,GO:0048732,gland development,GO:0048732,0.1584886,4.437647,24.06415,SLC9A3R1;IGSF3;LSR;NRG1;FGFR2;STRA6,Gland Development (GO:0048732)
26,GO:0001822,kidney development,GO:0001822,0.1584886,4.437647,24.06415,C1GALT1;CTSH;HNF1B;PAX2;STRA6;VEGFA,Kidney Development (GO:0001822)
27,GO:0060760,positive regulation of response to cytokine stimulus,GO:0060760,0.1711318,11.9285,62.76086,IFIH1;GAS6;TRIM44,Positive Regulation Of Response To Cytokine Stimulus (GO:0060760)
28,GO:0002830,positive regulation of type 2 immune response,GO:0002830,0.1804513,39.68765,198.5016,DENND1B;PRKCZ,Positive Regulation Of Type 2 Immune Response (GO:0002830)
29,GO:0010765,positive regulation of sodium ion transport,GO:0010765,0.1804513,39.68765,198.5016,PKP2;ANK3,Positive Regulation Of Sodium Ion Transport (GO:0010765)
30,GO:0015886,heme transport,GO:0015886,0.1804513,39.68765,198.5016,ABCC5;NRG1,Heme Transport (GO:0015886)
31,GO:0035272,exocrine system development,GO:0035272,0.1804513,39.68765,198.5016,IGSF3;FGFR2,Exocrine System Development (GO:0035272)
32,GO:0071801,regulation of podosome assembly,GO:0071801,0.1804513,39.68765,198.5016,GSN;LCP1,Regulation Of Podosome Assembly (GO:0071801)
33,GO:0043129,surfactant homeostasis,GO:0043129,0.1804513,39.68765,198.5016,CTSH;VEGFA,Surfactant Homeostasis (GO:0043129)
34,GO:0045779,negative regulation of bone resorption,GO:0045779,0.1804513,39.68765,198.5016,UBASH3B;TNFAIP3,Negative Regulation Of Bone Resorption (GO:0045779)
35,GO:1903140,regulation of establishment of endothelial barrier,GO:1903140,0.1928638,9.939252,48.62339,F11R;TNFRSF1A;VEGFA,Regulation Of Establishment Of Endothelial Barrier (GO:1903140)
36,GO:0120031,plasma membrane bounded cell projection assembly,GO:0120031,0.1928638,2.106875,10.33676,DYNC2H1;GSN;ARL6;RAB3IP;ARMC9;RFX3;WDR54;MYLK;TMEM231;SHTN1;FGD4;SLC9A3R1;IFT43;SPATA13;HYLS1;RAB17,Plasma Membrane Bounded Cell Projection Assembly (GO:0120031)
37,GO:0071331,cellular response to hexose stimulus,GO:0071331,0.1949516,6.125743,29.83739,UCP2;ZBTB20;GAS6;PAX2,Cellular Response To Hexose Stimulus (GO:0071331)
38,GO:0035088,establishment or maintenance of apical/basal cell polarity,GO:0035088,0.2281112,5.687521,26.49023,PATJ;PRKCZ;CRB3;LLGL2,Establishment Or Maintenance Of Apical/Basal Cell Polarity (GO:0035088)
39,GO:0048639,positive regulation of developmental growth,GO:0048639,0.2281112,5.687521,26.49023,SHTN1;AGR2;PLCB1;AGRN,Positive Regulation Of Developmental Growth (GO:0048639)
40,GO:0018149,peptide cross-linking,GO:0018149,0.2309796,7.452687,31.9635,DSP;EVPL;TGM2,Peptide Cross-Linking (GO:0018149)
41,GO:0060541,respiratory system development,GO:0060541,0.2309796,7.452687,31.9635,FGFR2;STRA6;VEGFA,Respiratory System Development (GO:0060541)
42,GO:1900746,regulation of vascular endothelial growth factor signaling pathway,GO:1900746,0.2309796,7.452687,31.9635,NRG1;JCAD;VEGFA,Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900746)
43,GO:0071466,cellular response to xenobiotic stimulus,GO:0071466,0.2309796,7.452687,31.9635,AIM2;GAS6;VAV2,Cellular Response To Xenobiotic Stimulus (GO:0071466)
44,GO:1904352,positive regulation of protein catabolic process in the vacuole,GO:1904352,0.2309796,19.84149,86.12829,RNF128;LRP2,Positive Regulation Of Protein Catabolic Process In The Vacuole (GO:1904352)
45,GO:2000343,positive regulation of chemokine (C-X-C motif) ligand 2 production,GO:2000343,0.2309796,19.84149,86.12829,LCP1;TIRAP,Positive Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production (GO:2000343)
