Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Carbohydrate Catabolic Process (GO:0016052)	2.827986e-06	6.340344e-03	0	0	9.864139e+00	1.260237e+02	PFKFB2;PFKFB1;MANBA;PKLR;HKDC1;NEU1;ENO2;ENO3;GAPDH
GO_Biological_Process_2023	Lymphocyte Chemotaxis (GO:0048247)	8.523728e-06	9.555099e-03	0	0	3.623410e+01	4.229482e+02	SLC12A2;HSD3B7;CCL20;CCL2;GAS6
GO_Biological_Process_2023	Glycolytic Process (GO:0006096)	3.123640e-05	2.334400e-02	0	0	1.018312e+01	1.056389e+02	PFKFB2;PFKFB1;PKLR;HKDC1;ENO2;ENO3;GAPDH
GO_Biological_Process_2023	Amino Sugar Catabolic Process (GO:0046348)	5.393317e-05	3.022954e-02	0	0	4.337563e+01	4.262855e+02	GNPDA1;GNPDA2;AMDHD2;RENBP
GO_Biological_Process_2023	N-acetylglucosamine Metabolic Process (GO:0006044)	2.343197e-04	1.050690e-01	0	0	2.168274e+01	1.812422e+02	GNPDA1;GNPDA2;OGA;RENBP
GO_Biological_Process_2023	Positive Regulation Of MAPK Cascade (GO:0043410)	2.924435e-04	1.083242e-01	0	0	3.118750e+00	2.537801e+01	BCAR3;ARHGAP8;FLT1;KSR1;CCL20;INAVA;TIRAP;MFHAS1;DSTYK;PDGFD;CCL2;PTK2B;GAS6;FGFR2;GSDME
GO_Biological_Process_2023	Regulation Of NMDA Receptor Activity (GO:2000310)	3.382111e-04	1.083242e-01	0	0	6.490633e+01	5.187210e+02	CCL2;PTK2B;CAPN1
GO_Biological_Process_2023	Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)	4.188324e-04	1.173778e-01	0	0	4.130519e+00	3.212734e+01	MFHAS1;DSTYK;ARHGAP8;CCL20;PDGFD;CCL2;PTK2B;GAS6;FGFR2;TIRAP
GO_Biological_Process_2023	Pyruvate Metabolic Process (GO:0006090)	6.203765e-04	1.545427e-01	0	0	5.649332e+00	4.172136e+01	PFKFB2;PFKFB1;PKLR;HKDC1;ENO2;ENO3;GAPDH
GO_Biological_Process_2023	N-acetylneuraminate Catabolic Process (GO:0019262)	8.175818e-04	1.666380e-01	0	0	3.244937e+01	2.306877e+02	GNPDA1;GNPDA2;RENBP
GO_Biological_Process_2023	Intracellular Potassium Ion Homeostasis (GO:0030007)	8.175818e-04	1.666380e-01	0	0	3.244937e+01	2.306877e+02	SLC12A2;ATP1A4;ATP1B1
GO_Biological_Process_2023	Inorganic Cation Import Across Plasma Membrane (GO:0098659)	1.514052e-03	1.796726e-01	0	0	7.236641e+00	4.698726e+01	SLC12A2;CACNA2D1;ATP1A4;ATP2B4;ATP1B1
GO_Biological_Process_2023	Sodium Ion Homeostasis (GO:0055078)	1.581236e-03	1.796726e-01	0	0	2.163038e+01	1.395062e+02	SLC12A2;ATP1A4;ATP1B1
GO_Biological_Process_2023	Intracellular Sodium Ion Homeostasis (GO:0006883)	1.581236e-03	1.796726e-01	0	0	2.163038e+01	1.395062e+02	SLC12A2;ATP1A4;ATP1B1
GO_Biological_Process_2023	Monocyte Chemotaxis (GO:0002548)	1.581236e-03	1.796726e-01	0	0	2.163038e+01	1.395062e+02	FLT1;CCL20;CCL2
GO_Biological_Process_2023	Negative Regulation Of Monoatomic Ion Transport (GO:0043271)	1.581236e-03	1.796726e-01	0	0	2.163038e+01	1.395062e+02	PXK;WNK4;PTK2B
GO_Biological_Process_2023	Neuropeptide Signaling Pathway (GO:0007218)	1.581236e-03	1.796726e-01	0	0	2.163038e+01	1.395062e+02	SORT1;CPE;SORL1
GO_Biological_Process_2023	Negative Regulation Of Programmed Cell Death (GO:0043069)	1.705129e-03	1.796726e-01	0	0	2.179475e+00	1.389222e+01	TFAP2A;XBP1;GPX4;PRKDC;ANXA4;PAX2;MALT1;AQP1;PTMS;DSTYK;CCND2;MIEN1;TCIM;PDPN;CTSH;PTK2B;VHL;GAS6;CRYAB;HTATIP2;SNCA
GO_Biological_Process_2023	B Cell Chemotaxis (GO:0035754)	1.974938e-03	1.796726e-01	0	0	inf	inf	HSD3B7;GAS6
GO_Biological_Process_2023	Regulation Of Inositol Phosphate Biosynthetic Process (GO:0010919)	1.974938e-03	1.796726e-01	0	0	inf	inf	PTK2B;SNCA
GO_Biological_Process_2023	Endothelin Receptor Signaling Pathway (GO:0086100)	1.974938e-03	1.796726e-01	0	0	inf	inf	BCAR3;PTK2B
GO_Biological_Process_2023	Positive Regulation Of Epithelial Cell Differentiation Involved In Kidney Development (GO:2000698)	1.974938e-03	1.796726e-01	0	0	inf	inf	PROM1;PAX2
GO_Biological_Process_2023	Positive Regulation Of Synaptic Transmission, Glutamatergic (GO:0051968)	1.974938e-03	1.796726e-01	0	0	inf	inf	CCL2;PTK2B
GO_Biological_Process_2023	Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667)	1.982824e-03	1.796726e-01	0	0	4.482549e+00	2.789594e+01	OPHN1;TBCD;MAP6;ANK3;APBB1;PAX2;FGFR2
GO_Biological_Process_2023	Carboxylic Acid Catabolic Process (GO:0046395)	2.003486e-03	1.796726e-01	0	0	9.631134e+00	5.983695e+01	GNPDA1;GNPDA2;AMDHD2;RENBP
GO_Biological_Process_2023	Regulation Of GTPase Activity (GO:0043087)	2.547391e-03	1.896817e-01	0	0	2.663430e+00	1.590783e+01	BCAR3;CCL20;RASGRF2;OCRL;ARAP1;GMIP;RGP1;FGD4;FLCN;ALS2;PLXNA2;CCL2;AGRN
GO_Biological_Process_2023	Regulation Of ERK1 And ERK2 Cascade (GO:0070372)	2.548248e-03	1.896817e-01	0	0	2.795612e+00	1.669637e+01	DUSP4;MFHAS1;FLCN;DSTYK;ARHGAP8;CCL20;PDGFD;CCL2;PTK2B;GAS6;FGFR2;TIRAP
GO_Biological_Process_2023	Positive Regulation Of Cell Adhesion (GO:0045785)	2.633096e-03	1.896817e-01	0	0	4.232523e+00	2.513948e+01	MAGI1;FLCN;TMEM102;CCDC80;LAMB2;STX3;PLPP3
GO_Biological_Process_2023	UDP-N-acetylglucosamine Biosynthetic Process (GO:0006048)	2.676103e-03	1.896817e-01	0	0	1.622089e+01	9.608270e+01	GNPDA1;GNPDA2;UAP1L1
GO_Biological_Process_2023	Ear Morphogenesis (GO:0042471)	2.676103e-03	1.896817e-01	0	0	1.622089e+01	9.608270e+01	TFAP2A;PAX2;FGFR2
GO_Biological_Process_2023	Inner Ear Morphogenesis (GO:0042472)	2.676103e-03	1.896817e-01	0	0	1.622089e+01	9.608270e+01	TFAP2A;PAX2;FGFR2
GO_Biological_Process_2023	Nucleotide-Sugar Biosynthetic Process (GO:0009226)	2.707321e-03	1.896817e-01	0	0	8.667005e+00	5.123756e+01	UGDH;GNPDA1;GNPDA2;UAP1L1
GO_Biological_Process_2023	Regulation Of MAPK Cascade (GO:0043408)	3.746802e-03	2.487562e-01	0	0	2.796437e+00	1.562328e+01	DUSP4;BCAR3;FLT1;KSR1;PIK3R2;DUSP16;WDR54;INAVA;FGFR2;TIRAP;GSDME
