term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0016052,0.006340344,9.864139,126.0237,PFKFB2;PFKFB1;MANBA;PKLR;HKDC1;NEU1;ENO2;ENO3;GAPDH,Carbohydrate Catabolic Process (GO:0016052)
GO:0048247,0.009555099,36.2341,422.9482,SLC12A2;HSD3B7;CCL20;CCL2;GAS6,Lymphocyte Chemotaxis (GO:0048247)
GO:0006096,0.023344,10.18312,105.6389,PFKFB2;PFKFB1;PKLR;HKDC1;ENO2;ENO3;GAPDH,Glycolytic Process (GO:0006096)
GO:0046348,0.03022954,43.37563,426.2855,GNPDA1;GNPDA2;AMDHD2;RENBP,Amino Sugar Catabolic Process (GO:0046348)
GO:0006044,0.105069,21.68274,181.2422,GNPDA1;GNPDA2;OGA;RENBP,N-acetylglucosamine Metabolic Process (GO:0006044)
GO:0043410,0.1083242,3.11875,25.37801,BCAR3;ARHGAP8;FLT1;KSR1;CCL20;INAVA;TIRAP;MFHAS1;DSTYK;PDGFD;CCL2;PTK2B;GAS6;FGFR2;GSDME,Positive Regulation Of MAPK Cascade (GO:0043410)
GO:2000310,0.1083242,64.90633,518.721,CCL2;PTK2B;CAPN1,Regulation Of NMDA Receptor Activity (GO:2000310)
GO:0070374,0.1173778,4.130519,32.12734,MFHAS1;DSTYK;ARHGAP8;CCL20;PDGFD;CCL2;PTK2B;GAS6;FGFR2;TIRAP,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)
GO:0006090,0.1545427,5.649332,41.72136,PFKFB2;PFKFB1;PKLR;HKDC1;ENO2;ENO3;GAPDH,Pyruvate Metabolic Process (GO:0006090)
GO:0019262,0.166638,32.44937,230.6877,GNPDA1;GNPDA2;RENBP,N-acetylneuraminate Catabolic Process (GO:0019262)
GO:0030007,0.166638,32.44937,230.6877,SLC12A2;ATP1A4;ATP1B1,Intracellular Potassium Ion Homeostasis (GO:0030007)
GO:0098659,0.1796726,7.236641,46.98726,SLC12A2;CACNA2D1;ATP1A4;ATP2B4;ATP1B1,Inorganic Cation Import Across Plasma Membrane (GO:0098659)
GO:0055078,0.1796726,21.63038,139.5062,SLC12A2;ATP1A4;ATP1B1,Sodium Ion Homeostasis (GO:0055078)
GO:0006883,0.1796726,21.63038,139.5062,SLC12A2;ATP1A4;ATP1B1,Intracellular Sodium Ion Homeostasis (GO:0006883)
GO:0002548,0.1796726,21.63038,139.5062,FLT1;CCL20;CCL2,Monocyte Chemotaxis (GO:0002548)
GO:0043271,0.1796726,21.63038,139.5062,PXK;WNK4;PTK2B,Negative Regulation Of Monoatomic Ion Transport (GO:0043271)
GO:0007218,0.1796726,21.63038,139.5062,SORT1;CPE;SORL1,Neuropeptide Signaling Pathway (GO:0007218)
GO:0043069,0.1796726,2.179475,13.89222,TFAP2A;XBP1;GPX4;PRKDC;ANXA4;PAX2;MALT1;AQP1;PTMS;DSTYK;CCND2;MIEN1;TCIM;PDPN;CTSH;PTK2B;VHL;GAS6;CRYAB;HTATIP2;SNCA,Negative Regulation Of Programmed Cell Death (GO:0043069)
GO:0035754,0.1796726,inf,inf,HSD3B7;GAS6,B Cell Chemotaxis (GO:0035754)
GO:0010919,0.1796726,inf,inf,PTK2B;SNCA,Regulation Of Inositol Phosphate Biosynthetic Process (GO:0010919)
GO:0086100,0.1796726,inf,inf,BCAR3;PTK2B,Endothelin Receptor Signaling Pathway (GO:0086100)
GO:2000698,0.1796726,inf,inf,PROM1;PAX2,Positive Regulation Of Epithelial Cell Differentiation Involved In Kidney Development (GO:2000698)
GO:0051968,0.1796726,inf,inf,CCL2;PTK2B,"Positive Regulation Of Synaptic Transmission, Glutamatergic (GO:0051968)"
GO:0048667,0.1796726,4.482549,27.89594,OPHN1;TBCD;MAP6;ANK3;APBB1;PAX2;FGFR2,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667)
GO:0046395,0.1796726,9.631134,59.83695,GNPDA1;GNPDA2;AMDHD2;RENBP,Carboxylic Acid Catabolic Process (GO:0046395)
GO:0043087,0.1896817,2.66343,15.90783,BCAR3;CCL20;RASGRF2;OCRL;ARAP1;GMIP;RGP1;FGD4;FLCN;ALS2;PLXNA2;CCL2;AGRN,Regulation Of GTPase Activity (GO:0043087)
GO:0070372,0.1896817,2.795612,16.69637,DUSP4;MFHAS1;FLCN;DSTYK;ARHGAP8;CCL20;PDGFD;CCL2;PTK2B;GAS6;FGFR2;TIRAP,Regulation Of ERK1 And ERK2 Cascade (GO:0070372)
GO:0045785,0.1896817,4.232523,25.13948,MAGI1;FLCN;TMEM102;CCDC80;LAMB2;STX3;PLPP3,Positive Regulation Of Cell Adhesion (GO:0045785)
GO:0006048,0.1896817,16.22089,96.0827,GNPDA1;GNPDA2;UAP1L1,UDP-N-acetylglucosamine Biosynthetic Process (GO:0006048)
GO:0042471,0.1896817,16.22089,96.0827,TFAP2A;PAX2;FGFR2,Ear Morphogenesis (GO:0042471)
GO:0042472,0.1896817,16.22089,96.0827,TFAP2A;PAX2;FGFR2,Inner Ear Morphogenesis (GO:0042472)
GO:0009226,0.1896817,8.667005,51.23756,UGDH;GNPDA1;GNPDA2;UAP1L1,Nucleotide-Sugar Biosynthetic Process (GO:0009226)
