Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	1.602776e-03	7.693324e-02	0	0	2.823660e+00	1.817312e+01	XBP1;GPX4;SERPINC1;S100A1;ANXA4;ENO3;ARL4A;CCND2;ST3GAL4;MAP6;GALM;DCPS;PHLDA1
MSigDB_Hallmark_2020	Pancreas Beta Cells	1.791917e-02	2.724606e-01	0	0	6.483797e+00	2.607708e+01	PKLR;AKT3;HNF1A
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	1.817292e-02	2.724606e-01	0	0	2.293001e+00	9.189940e+00	DUSP4;EFNA1;JAG1;CCND1;LAMB3;CCL20;CCL2;PLPP3;PHLDA1;RELB
MSigDB_Hallmark_2020	Spermatogenesis	2.270505e-02	2.724606e-01	0	0	2.957908e+00	1.119618e+01	SLC12A2;ARL4A;HSPA4L;NPHP1;HSPA2;CHFR
MSigDB_Hallmark_2020	Estrogen Response Late	3.187135e-02	2.768907e-01	0	0	2.072165e+00	7.140779e+00	KCNK5;UGDH;XBP1;CCND1;HSPA4L;ATP2B4;CPE;LAMC2;PAPSS2;FRK
MSigDB_Hallmark_2020	Xenobiotic Metabolism	3.461134e-02	2.768907e-01	0	0	1.962871e+00	6.602263e+00	ABCC3;UGDH;MAOA;IDH1;DHPS;AOX1;SPINT2;CROT;BCAT1;ESR1;PAPSS2
MSigDB_Hallmark_2020	Estrogen Response Early	4.498962e-02	3.085002e-01	0	0	1.941044e+00	6.019805e+00	KCNK5;SVIL;XBP1;ZNF185;MLPH;CCND1;RAB17;PAPSS2;FRK;TTC39A
MSigDB_Hallmark_2020	Apical Junction	5.338146e-02	3.202887e-01	0	0	1.954319e+00	5.726724e+00	GAMT;MAPK11;LAMB3;ITGB4;AKT3;WNK4;LAMC2;RHOF;THBS3
MSigDB_Hallmark_2020	p53 Pathway	6.135815e-02	3.272435e-01	0	0	1.825349e+00	5.094598e+00	CDKN2B;CCND2;ABHD4;ITGB4;ABCC5;EI24;HSPA4L;IRAG2;RCHY1;SERPINB5
MSigDB_Hallmark_2020	Apoptosis	8.387421e-02	3.718989e-01	0	0	1.844626e+00	4.571790e+00	CCND2;CDKN1B;CASP8;CCND1;GPX4;CASP4;PEA15;ENO2
MSigDB_Hallmark_2020	Bile Acid Metabolism	9.041594e-02	3.718989e-01	0	0	2.028779e+00	4.875834e+00	BCAR3;HSD3B7;ATXN1;SOAT2;IDH1;CROT
MSigDB_Hallmark_2020	KRAS Signaling Dn	1.005688e-01	3.718989e-01	0	0	2.400169e+00	5.512981e+00	GAMT;HNF1A;CDH16;SLC29A3
MSigDB_Hallmark_2020	KRAS Signaling Up	1.007226e-01	3.718989e-01	0	0	1.848138e+00	4.242188e+00	CCND2;PEG3;CCL20;HKDC1;TSPAN7;CPE;CROT
MSigDB_Hallmark_2020	Myogenesis	1.147755e-01	3.728549e-01	0	0	1.782278e+00	3.858234e+00	SVIL;ITGB4;ITGA7;PDE4DIP;AGRN;ENO3;CRYAB
MSigDB_Hallmark_2020	Hypoxia	1.165172e-01	3.728549e-01	0	0	1.638591e+00	3.522506e+00	PLAC8;EFNA1;CDKN1B;PKLR;STBD1;VHL;ENO2;ENO3;GAPDH
MSigDB_Hallmark_2020	Interferon Gamma Response	1.625946e-01	4.451643e-01	0	0	1.609920e+00	2.924412e+00	LGALS3BP;ARL4A;CASP8;CASP4;CCL2;METTL7B;LY6E
MSigDB_Hallmark_2020	UV Response Dn	1.683950e-01	4.451643e-01	0	0	1.592785e+00	2.837455e+00	PIAS3;ATXN1;CDKN1B;ANXA4;AKT3;ATP2B4;PLPP3
MSigDB_Hallmark_2020	Fatty Acid Metabolism	1.760079e-01	4.451643e-01	0	0	1.517409e+00	2.636083e+00	UGDH;MAOA;IDH1;PCBD1;ENO2;ENO3;ADIPOR2;CRYZ
MSigDB_Hallmark_2020	heme Metabolism	1.762109e-01	4.451643e-01	0	0	1.474936e+00	2.560597e+00	MFHAS1;ALDH1L1;NCOA4;MOCOS;ACP5;PDZK1IP1;HTATIP2;ADD2;SNCA
MSigDB_Hallmark_2020	Angiogenesis	2.227547e-01	5.346113e-01	0	0	2.393098e+00	3.593677e+00	CCND2;JAG1
MSigDB_Hallmark_2020	Apical Surface	2.561937e-01	5.696568e-01	0	0	2.153283e+00	2.932386e+00	PCSK9;ADIPOR2
MSigDB_Hallmark_2020	Wnt-beta Catenin Signaling	2.729605e-01	5.696568e-01	0	0	2.050505e+00	2.662433e+00	CCND2;JAG1
MSigDB_Hallmark_2020	Notch Signaling	2.729605e-01	5.696568e-01	0	0	2.050505e+00	2.662433e+00	JAG1;CCND1
MSigDB_Hallmark_2020	UV Response Up	3.091315e-01	6.182631e-01	0	0	1.333368e+00	1.565359e+00	CDKN2B;MAOA;GGH;HSPA2;ENO2;E2F5
MSigDB_Hallmark_2020	Coagulation	4.095833e-01	7.229279e-01	0	0	1.247407e+00	1.113454e+00	S100A1;SERPINC1;CTSH;DUSP14
MSigDB_Hallmark_2020	Allograft Rejection	4.095833e-01	7.229279e-01	0	0	1.247407e+00	1.113454e+00	CCND2;CCL2;APBB1;BCAT1
MSigDB_Hallmark_2020	Inflammatory Response	4.197036e-01	7.229279e-01	0	0	1.229442e+00	1.067409e+00	CCL20;PDPN;CCL2;LY6E
MSigDB_Hallmark_2020	Interferon Alpha Response	4.217079e-01	7.229279e-01	0	0	1.290684e+00	1.114431e+00	LGALS3BP;CASP8;LY6E
MSigDB_Hallmark_2020	Androgen Response	4.398161e-01	7.279714e-01	0	0	1.195008e+00	9.815784e-01	CCND1;NCOA4;PTK2B;DBI
MSigDB_Hallmark_2020	Pperoxisome	4.891074e-01	7.825718e-01	0	0	1.116751e+00	7.986706e-01	HSD3B7;ATXN1;IDH1;ABCC5
MSigDB_Hallmark_2020	Complement	5.371868e-01	8.177328e-01	0	0	1.032859e+00	6.418281e-01	CPM;SERPINC1;CASP4;PCSK9;CTSH
MSigDB_Hallmark_2020	Reactive Oxygen Species Pathway	5.504046e-01	8.177328e-01	0	0	1.101787e+00	6.578789e-01	MSRA;GPX4
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	5.635812e-01	8.177328e-01	0	0	1.074116e+00	6.159453e-01	TYK2;LTBR
MSigDB_Hallmark_2020	Hedgehog Signaling	5.792274e-01	8.177328e-01	0	0	1.193535e+00	6.517418e-01	OPHN1
MSigDB_Hallmark_2020	Adipogenesis	6.123053e-01	8.397330e-01	0	0	9.444578e-01	4.632795e-01	ESRRA;ARL4A;GPX4;IDH1;ITGA7;DRAM2;ADIPOR2
MSigDB_Hallmark_2020	Glycolysis	6.566700e-01	8.755600e-01	0	0	8.995290e-01	3.783183e-01	PFKFB1;GNPDA1;IDH1;ENO2;AGRN;GUSB
MSigDB_Hallmark_2020	PI3K/AKT/mTOR  Signaling	6.894756e-01	8.944548e-01	0	0	8.465356e-01	3.147623e-01	CDKN1B;IRAK4;MAP2K6
MSigDB_Hallmark_2020	Cholesterol Homeostasis	7.774514e-01	9.474473e-01	0	0	7.025998e-01	1.768684e-01	JAG1;GUSB
MSigDB_Hallmark_2020	mTORC1 Signaling	7.883824e-01	9.474473e-01	0	0	7.680557e-01	1.826222e-01	XBP1;IDH1;BCAT1;ADIPOR2;ATP6V1D;GAPDH
MSigDB_Hallmark_2020	Protein Secretion	7.895394e-01	9.474473e-01	0	0	7.136709e-01	1.686444e-01	TOM1L1;SCRN1;OCRL
MSigDB_Hallmark_2020	Mitotic Spindle	8.487899e-01	9.746502e-01	0	0	7.034929e-01	1.153332e-01	AKAP13;FGD4;OPHN1;ALS2;TBCD;RHOF
MSigDB_Hallmark_2020	TGF-beta Signaling	8.528189e-01	9.746502e-01	0	0	5.225779e-01	8.319859e-02	BCAR3
MSigDB_Hallmark_2020	Epithelial Mesenchymal Transition	9.236912e-01	9.866606e-01	0	0	4.693085e-01	3.725250e-02	LAMC2;ENO2
MSigDB_Hallmark_2020	Oxidative Phosphorylation	9.282065e-01	9.866606e-01	0	0	5.782581e-01	4.308084e-02	BDH2;GPX4;IDH1;ATP1B1;ATP6V1D
