term,fdr,Odds Ratio,Combined Score,Genes,description
IL-2/STAT5 Signaling,0.07693324,2.82366,18.17312,XBP1;GPX4;SERPINC1;S100A1;ANXA4;ENO3;ARL4A;CCND2;ST3GAL4;MAP6;GALM;DCPS;PHLDA1,IL-2/STAT5 Signaling
Pancreas Beta Cells,0.2724606,6.483797,26.07708,PKLR;AKT3;HNF1A,Pancreas Beta Cells
TNF-alpha Signaling via NF-kB,0.2724606,2.293001,9.18994,DUSP4;EFNA1;JAG1;CCND1;LAMB3;CCL20;CCL2;PLPP3;PHLDA1;RELB,TNF-alpha Signaling via NF-kB
Spermatogenesis,0.2724606,2.957908,11.19618,SLC12A2;ARL4A;HSPA4L;NPHP1;HSPA2;CHFR,Spermatogenesis
Estrogen Response Late,0.2768907,2.072165,7.140779,KCNK5;UGDH;XBP1;CCND1;HSPA4L;ATP2B4;CPE;LAMC2;PAPSS2;FRK,Estrogen Response Late
Xenobiotic Metabolism,0.2768907,1.962871,6.602263,ABCC3;UGDH;MAOA;IDH1;DHPS;AOX1;SPINT2;CROT;BCAT1;ESR1;PAPSS2,Xenobiotic Metabolism
Estrogen Response Early,0.3085002,1.941044,6.019805,KCNK5;SVIL;XBP1;ZNF185;MLPH;CCND1;RAB17;PAPSS2;FRK;TTC39A,Estrogen Response Early
Apical Junction,0.3202887,1.954319,5.726724,GAMT;MAPK11;LAMB3;ITGB4;AKT3;WNK4;LAMC2;RHOF;THBS3,Apical Junction
p53 Pathway,0.3272435,1.825349,5.094598,CDKN2B;CCND2;ABHD4;ITGB4;ABCC5;EI24;HSPA4L;IRAG2;RCHY1;SERPINB5,p53 Pathway
Apoptosis,0.3718989,1.844626,4.57179,CCND2;CDKN1B;CASP8;CCND1;GPX4;CASP4;PEA15;ENO2,Apoptosis
Bile Acid Metabolism,0.3718989,2.028779,4.875834,BCAR3;HSD3B7;ATXN1;SOAT2;IDH1;CROT,Bile Acid Metabolism
KRAS Signaling Dn,0.3718989,2.400169,5.512981,GAMT;HNF1A;CDH16;SLC29A3,KRAS Signaling Dn
KRAS Signaling Up,0.3718989,1.848138,4.242188,CCND2;PEG3;CCL20;HKDC1;TSPAN7;CPE;CROT,KRAS Signaling Up
Myogenesis,0.3728549,1.782278,3.858234,SVIL;ITGB4;ITGA7;PDE4DIP;AGRN;ENO3;CRYAB,Myogenesis
Hypoxia,0.3728549,1.638591,3.522506,PLAC8;EFNA1;CDKN1B;PKLR;STBD1;VHL;ENO2;ENO3;GAPDH,Hypoxia
Interferon Gamma Response,0.4451643,1.60992,2.924412,LGALS3BP;ARL4A;CASP8;CASP4;CCL2;METTL7B;LY6E,Interferon Gamma Response
UV Response Dn,0.4451643,1.592785,2.837455,PIAS3;ATXN1;CDKN1B;ANXA4;AKT3;ATP2B4;PLPP3,UV Response Dn
Fatty Acid Metabolism,0.4451643,1.517409,2.636083,UGDH;MAOA;IDH1;PCBD1;ENO2;ENO3;ADIPOR2;CRYZ,Fatty Acid Metabolism
heme Metabolism,0.4451643,1.474936,2.560597,MFHAS1;ALDH1L1;NCOA4;MOCOS;ACP5;PDZK1IP1;HTATIP2;ADD2;SNCA,heme Metabolism
Angiogenesis,0.5346113,2.393098,3.593677,CCND2;JAG1,Angiogenesis
Apical Surface,0.5696568,2.153283,2.932386,PCSK9;ADIPOR2,Apical Surface
Wnt-beta Catenin Signaling,0.5696568,2.050505,2.662433,CCND2;JAG1,Wnt-beta Catenin Signaling
Notch Signaling,0.5696568,2.050505,2.662433,JAG1;CCND1,Notch Signaling
UV Response Up,0.6182631,1.333368,1.565359,CDKN2B;MAOA;GGH;HSPA2;ENO2;E2F5,UV Response Up
Coagulation,0.7229279,1.247407,1.113454,S100A1;SERPINC1;CTSH;DUSP14,Coagulation
Allograft Rejection,0.7229279,1.247407,1.113454,CCND2;CCL2;APBB1;BCAT1,Allograft Rejection
Inflammatory Response,0.7229279,1.229442,1.067409,CCL20;PDPN;CCL2;LY6E,Inflammatory Response
Interferon Alpha Response,0.7229279,1.290684,1.114431,LGALS3BP;CASP8;LY6E,Interferon Alpha Response
Androgen Response,0.7279714,1.195008,0.9815784,CCND1;NCOA4;PTK2B;DBI,Androgen Response
Pperoxisome,0.7825718,1.116751,0.7986706,HSD3B7;ATXN1;IDH1;ABCC5,Pperoxisome
Complement,0.8177328,1.032859,0.6418281,CPM;SERPINC1;CASP4;PCSK9;CTSH,Complement
Reactive Oxygen Species Pathway,0.8177328,1.101787,0.6578789,MSRA;GPX4,Reactive Oxygen Species Pathway
IL-6/JAK/STAT3 Signaling,0.8177328,1.074116,0.6159453,TYK2;LTBR,IL-6/JAK/STAT3 Signaling
Hedgehog Signaling,0.8177328,1.193535,0.6517418,OPHN1,Hedgehog Signaling
Adipogenesis,0.839733,0.9444578,0.4632795,ESRRA;ARL4A;GPX4;IDH1;ITGA7;DRAM2;ADIPOR2,Adipogenesis
Glycolysis,0.87556,0.899529,0.3783183,PFKFB1;GNPDA1;IDH1;ENO2;AGRN;GUSB,Glycolysis
PI3K/AKT/mTOR  Signaling,0.8944548,0.8465356,0.3147623,CDKN1B;IRAK4;MAP2K6,PI3K/AKT/mTOR  Signaling
Cholesterol Homeostasis,0.9474473,0.7025998,0.1768684,JAG1;GUSB,Cholesterol Homeostasis
