"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0016052","GO:0016052",1,"GO:0016052",2.19788717851434,167,"carbohydrate catabolic process","carbohydrate catabolic process",0.923927272727273,0.6785,0
"GO:0048247","GO:0048247",2,"GO:0048247",2.01976480887784,54,"lymphocyte chemotaxis","lymphocyte chemotaxis",0.905581818181818,0.440666666666667,0
"GO:0006096","GO:0006096",3,"GO:0006096",1.63182472545062,104,"glycolytic process","glycolytic process",0.876854545454545,0.459,0
"GO:0046348","GO:0046348",4,"GO:0046348",1.51956846138922,19,"amino sugar catabolic process","amino sugar catabolic process",0.866654545454545,0.286333333333333,0
"GO:0006044","GO:0006044",4,"GO:0046348",0.978525401144477,16,"N-acetylglucosamine metabolic process","amino sugar catabolic process",0.888454545454545,0.311833333333333,0.868
"GO:2000310","GO:2000310",6,"GO:2000310",0.965274509649862,28,"regulation of NMDA receptor activity","regulation of NMDA receptor activity",0.816454545454545,1,0
"GO:0043410","GO:0043410",5,"GO:0043410",0.965274509649862,541,"positive regulation of MAPK cascade","positive regulation of MAPK cascade",0.832545454545454,0.3214,0
"GO:0070374","GO:0070374",5,"GO:0043410",0.930414034682848,239,"positive regulation of ERK1 and ERK2 cascade","positive regulation of MAPK cascade",0.841381818181818,0.3298,0.905
"GO:0006090","GO:0006090",3,"GO:0006096",0.810951504509406,137,"pyruvate metabolic process","glycolytic process",0.899218181818182,0.453333333333333,0.975
"GO:0030007","GO:0030007",7,"GO:0030007",0.778225955459352,15,"intracellular potassium ion homeostasis","intracellular potassium ion homeostasis",0.960745454545455,0.46025,0
"GO:0019262","GO:0019262",4,"GO:0046348",0.778225955459352,7,"N-acetylneuraminate catabolic process","amino sugar catabolic process",0.845163636363636,0.292166666666667,0.927
"GO:0048667","GO:0048667",15,"GO:0048667",0.7455181475772,677,"cell morphogenesis involved in neuron differentiation","cell morphogenesis involved in neuron differentiation",0.944854545454546,1,0
"GO:0051968","GO:0051968",14,"GO:0051968",0.7455181475772,42,"positive regulation of synaptic transmission, glutamatergic","positive regulation of synaptic transmission, glutamatergic",0.902018181818182,1,0
"GO:2000698","GO:2000698",13,"GO:2000698",0.7455181475772,7,"positive regulation of epithelial cell differentiation involved in kidney development","positive regulation of epithelial cell differentiation involved in kidney development",0.911945454545455,1,0
"GO:0086100","GO:0086100",12,"GO:0086100",0.7455181475772,11,"endothelin receptor signaling pathway","endothelin receptor signaling pathway",0.909418181818182,1,0
"GO:0007218","GO:0007218",10,"GO:0007218",0.7455181475772,92,"neuropeptide signaling pathway","neuropeptide signaling pathway",0.8976,1,0
"GO:0010919","GO:0010919",1,"GO:0016052",0.7455181475772,18,"regulation of inositol phosphate biosynthetic process","carbohydrate catabolic process",0.876745454545454,0.6785,0.643
"GO:0046395","GO:0046395",3,"GO:0006096",0.7455181475772,241,"carboxylic acid catabolic process","glycolytic process",0.883945454545455,0.562333333333333,0.648
"GO:0098659","GO:0098659",8,"GO:0098659",0.7455181475772,125,"inorganic cation import across plasma membrane","inorganic cation import across plasma membrane",0.920890909090909,0.534,0
"GO:0043069","GO:0043069",11,"GO:0043069",0.7455181475772,1042,"negative regulation of programmed cell death","negative regulation of programmed cell death",0.904036363636364,0.5065,0
"GO:0002548","GO:0002548",2,"GO:0048247",0.7455181475772,65,"monocyte chemotaxis","lymphocyte chemotaxis",0.908890909090909,0.498,0.803
"GO:0035754","GO:0035754",2,"GO:0048247",0.7455181475772,7,"B cell chemotaxis","lymphocyte chemotaxis",0.915727272727273,0.474,0.875
"GO:0043271","GO:0043271",9,"GO:0043271",0.7455181475772,157,"negative regulation of monoatomic ion transport","negative regulation of monoatomic ion transport",0.863963636363636,0.46625,0
"GO:0006883","GO:0006883",7,"GO:0030007",0.7455181475772,27,"intracellular sodium ion homeostasis","intracellular potassium ion homeostasis",0.960436363636364,0.456,0.597
"GO:0055078","GO:0055078",7,"GO:0030007",0.7455181475772,42,"sodium ion homeostasis","intracellular potassium ion homeostasis",0.959981818181818,0.44975,0.603
"GO:0045785","GO:0045785",17,"GO:0045785",0.721974566699044,540,"positive regulation of cell adhesion","positive regulation of cell adhesion",0.924545454545455,1,0
"GO:0043087","GO:0043087",16,"GO:0043087",0.721974566699044,345,"regulation of GTPase activity","regulation of GTPase activity",0.9424,0.652,0
"GO:0009226","GO:0009226",19,"GO:0009226",0.721974566699044,17,"nucleotide-sugar biosynthetic process","nucleotide-sugar biosynthetic process",0.8792,0.552,0
"GO:0042472","GO:0042472",18,"GO:0042472",0.721974566699044,122,"inner ear morphogenesis","inner ear morphogenesis",0.950727272727273,0.490333333333333,0
"GO:0042471","GO:0042471",18,"GO:0042472",0.721974566699044,146,"ear morphogenesis","inner ear morphogenesis",0.950272727272727,0.488,0.985
"GO:0070372","GO:0070372",5,"GO:0043410",0.721974566699044,343,"regulation of ERK1 and ERK2 cascade","positive regulation of MAPK cascade",0.848836363636364,0.3282,0.865
"GO:0006048","GO:0006048",4,"GO:0046348",0.721974566699044,7,"UDP-N-acetylglucosamine biosynthetic process","amino sugar catabolic process",0.848527272727273,0.3065,0.82
"GO:2000318","GO:2000318",25,"GO:2000318",0.604226086090852,15,"positive regulation of T-helper 17 type immune response","positive regulation of T-helper 17 type immune response",0.900509090909091,1,0
"GO:0071248","GO:0071248",23,"GO:0071248",0.604226086090852,187,"cellular response to metal ion","cellular response to metal ion",0.920272727272727,1,0
"GO:1990869","GO:1990869",22,"GO:1990869",0.604226086090852,80,"cellular response to chemokine","cellular response to chemokine",0.9234,1,0
