,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0016052,carbohydrate catabolic process,GO:0016052,0.006340344,9.864139,126.0237,PFKFB2;PFKFB1;MANBA;PKLR;HKDC1;NEU1;ENO2;ENO3;GAPDH,Carbohydrate Catabolic Process (GO:0016052)
1,GO:0048247,lymphocyte chemotaxis,GO:0048247,0.009555099,36.2341,422.9482,SLC12A2;HSD3B7;CCL20;CCL2;GAS6,Lymphocyte Chemotaxis (GO:0048247)
2,GO:0006096,glycolytic process,GO:0006096,0.023344,10.18312,105.6389,PFKFB2;PFKFB1;PKLR;HKDC1;ENO2;ENO3;GAPDH,Glycolytic Process (GO:0006096)
3,GO:0046348,amino sugar catabolic process,GO:0046348,0.03022954,43.37563,426.2855,GNPDA1;GNPDA2;AMDHD2;RENBP,Amino Sugar Catabolic Process (GO:0046348)
4,GO:2000310,regulation of NMDA receptor activity,GO:2000310,0.1083242,64.90633,518.721,CCL2;PTK2B;CAPN1,Regulation Of NMDA Receptor Activity (GO:2000310)
5,GO:0043410,positive regulation of MAPK cascade,GO:0043410,0.1083242,3.11875,25.37801,BCAR3;ARHGAP8;FLT1;KSR1;CCL20;INAVA;TIRAP;MFHAS1;DSTYK;PDGFD;CCL2;PTK2B;GAS6;FGFR2;GSDME,Positive Regulation Of MAPK Cascade (GO:0043410)
6,GO:0030007,intracellular potassium ion homeostasis,GO:0030007,0.166638,32.44937,230.6877,SLC12A2;ATP1A4;ATP1B1,Intracellular Potassium Ion Homeostasis (GO:0030007)
7,GO:0048667,cell morphogenesis involved in neuron differentiation,GO:0048667,0.1796726,4.482549,27.89594,OPHN1;TBCD;MAP6;ANK3;APBB1;PAX2;FGFR2,Cell Morphogenesis Involved In Neuron Differentiation (GO:0048667)
8,GO:0051968,"positive regulation of synaptic transmission, glutamatergic",GO:0051968,0.1796726,inf,inf,CCL2;PTK2B,"Positive Regulation Of Synaptic Transmission, Glutamatergic (GO:0051968)"
9,GO:2000698,positive regulation of epithelial cell differentiation involved in kidney development,GO:2000698,0.1796726,inf,inf,PROM1;PAX2,Positive Regulation Of Epithelial Cell Differentiation Involved In Kidney Development (GO:2000698)
10,GO:0086100,endothelin receptor signaling pathway,GO:0086100,0.1796726,inf,inf,BCAR3;PTK2B,Endothelin Receptor Signaling Pathway (GO:0086100)
11,GO:0007218,neuropeptide signaling pathway,GO:0007218,0.1796726,21.63038,139.5062,SORT1;CPE;SORL1,Neuropeptide Signaling Pathway (GO:0007218)
12,GO:0098659,inorganic cation import across plasma membrane,GO:0098659,0.1796726,7.236641,46.98726,SLC12A2;CACNA2D1;ATP1A4;ATP2B4;ATP1B1,Inorganic Cation Import Across Plasma Membrane (GO:0098659)
13,GO:0043069,negative regulation of programmed cell death,GO:0043069,0.1796726,2.179475,13.89222,TFAP2A;XBP1;GPX4;PRKDC;ANXA4;PAX2;MALT1;AQP1;PTMS;DSTYK;CCND2;MIEN1;TCIM;PDPN;CTSH;PTK2B;VHL;GAS6;CRYAB;HTATIP2;SNCA,Negative Regulation Of Programmed Cell Death (GO:0043069)
14,GO:0043271,negative regulation of monoatomic ion transport,GO:0043271,0.1796726,21.63038,139.5062,PXK;WNK4;PTK2B,Negative Regulation Of Monoatomic Ion Transport (GO:0043271)
15,GO:0045785,positive regulation of cell adhesion,GO:0045785,0.1896817,4.232523,25.13948,MAGI1;FLCN;TMEM102;CCDC80;LAMB2;STX3;PLPP3,Positive Regulation Of Cell Adhesion (GO:0045785)
16,GO:0043087,regulation of GTPase activity,GO:0043087,0.1896817,2.66343,15.90783,BCAR3;CCL20;RASGRF2;OCRL;ARAP1;GMIP;RGP1;FGD4;FLCN;ALS2;PLXNA2;CCL2;AGRN,Regulation Of GTPase Activity (GO:0043087)
17,GO:0009226,nucleotide-sugar biosynthetic process,GO:0009226,0.1896817,8.667005,51.23756,UGDH;GNPDA1;GNPDA2;UAP1L1,Nucleotide-Sugar Biosynthetic Process (GO:0009226)
18,GO:0042472,inner ear morphogenesis,GO:0042472,0.1896817,16.22089,96.0827,TFAP2A;PAX2;FGFR2,Inner Ear Morphogenesis (GO:0042472)
19,GO:2000318,positive regulation of T-helper 17 type immune response,GO:2000318,0.2487562,43.16162,222.652,TYK2;MALT1,Positive Regulation Of T-helper 17 Type Immune Response (GO:2000318)
20,GO:0071248,cellular response to metal ion,GO:0071248,0.2487562,3.62532,18.80643,TFAP2A;SLC12A2;CAMK2D;CDKN1B;ANK3;AQP1;SNCA,Cellular Response To Metal Ion (GO:0071248)
21,GO:1990869,cellular response to chemokine,GO:1990869,0.2487562,7.220812,38.88113,SLC12A2;CCL20;CCL2;PTK2B,Cellular Response To Chemokine (GO:1990869)
22,GO:1905562,regulation of vascular endothelial cell proliferation,GO:1905562,0.2487562,12.97519,71.19194,FLT1;AKT3;CCL2,Regulation Of Vascular Endothelial Cell Proliferation (GO:1905562)
23,GO:0007605,sensory perception of sound,GO:0007605,0.2487562,4.930025,25.13856,TFAP2A;MARVELD2;MYO7B;CCDC50;GSDME,Sensory Perception Of Sound (GO:0007605)
24,GO:2001135,regulation of endocytic recycling,GO:2001135,0.2487562,10.81139,55.29613,ARHGAP8;OCRL;SORL1,Regulation Of Endocytic Recycling (GO:2001135)
25,GO:0051016,barbed-end actin filament capping,GO:0051016,0.2487562,7.220812,38.88113,VIL1;SVIL;AVIL;ADD2,Barbed-End Actin Filament Capping (GO:0051016)
