Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Positive Regulation Of MAPK Cascade (GO:0043410)	7.270287e-06	1.487501e-02	0	0	3.993266e+00	4.724719e+01	BCAR3;TGFB2;KSR1;CCL20;NRG1;MID1;TGFBR1;TIRAP;IGF1R;MFHAS1;PDGFD;PDGFC;CCL2;ACKR3;GAS6;TMEM106A;FGFR2
GO_Biological_Process_2023	Ganglioside Catabolic Process (GO:0006689)	6.685010e-05	6.355616e-02	0	0	inf	inf	HEXB;HEXA;NEU1
GO_Biological_Process_2023	Regulation Of ERK1 And ERK2 Cascade (GO:0070372)	9.319086e-05	6.355616e-02	0	0	3.690870e+00	3.425445e+01	EPHA4;EPHA7;CCL20;NRG1;DUSP6;TIRAP;MFHAS1;PDGFD;PDGFC;CCL2;ACKR3;SPRY1;GAS6;FGFR2
GO_Biological_Process_2023	Ceramide Catabolic Process (GO:0046514)	1.657718e-04	6.796053e-02	0	0	2.382500e+01	2.073942e+02	ASAH2;HEXB;HEXA;NEU1
GO_Biological_Process_2023	Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)	2.045644e-04	6.796053e-02	0	0	4.545358e+00	3.861112e+01	MFHAS1;CCL20;PDGFD;PDGFC;CCL2;ACKR3;NRG1;GAS6;FGFR2;TIRAP
GO_Biological_Process_2023	Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010)	2.325140e-04	6.796053e-02	0	0	1.193733e+01	9.987435e+01	TGFB2;NRG1;LRP2;TGFBR1;FGFR2
GO_Biological_Process_2023	Intraciliary Anterograde Transport (GO:0035720)	2.325140e-04	6.796053e-02	0	0	1.193733e+01	9.987435e+01	TRAF3IP1;IFT81;IFT172;IFT27;IFT57
GO_Biological_Process_2023	Glycosphingolipid Catabolic Process (GO:0046479)	6.286815e-04	1.286282e-01	0	0	3.564681e+01	2.627842e+02	HEXB;HEXA;NEU1
GO_Biological_Process_2023	Ventricular Trabecula Myocardium Morphogenesis (GO:0003222)	6.286815e-04	1.286282e-01	0	0	3.564681e+01	2.627842e+02	TGFB2;NRG1;TGFBR1
GO_Biological_Process_2023	Positive Regulation Of Cardiac Epithelial To Mesenchymal Transition (GO:0062043)	6.286815e-04	1.286282e-01	0	0	3.564681e+01	2.627842e+02	TGFB2;JAG1;TGFBR1
