term,fdr,Odds Ratio,Combined Score,Genes,description
GO:0043410,0.01487501,3.993266,47.24719,BCAR3;TGFB2;KSR1;CCL20;NRG1;MID1;TGFBR1;TIRAP;IGF1R;MFHAS1;PDGFD;PDGFC;CCL2;ACKR3;GAS6;TMEM106A;FGFR2,Positive Regulation Of MAPK Cascade (GO:0043410)
GO:0006689,0.06355616,inf,inf,HEXB;HEXA;NEU1,Ganglioside Catabolic Process (GO:0006689)
GO:0070372,0.06355616,3.69087,34.25445,EPHA4;EPHA7;CCL20;NRG1;DUSP6;TIRAP;MFHAS1;PDGFD;PDGFC;CCL2;ACKR3;SPRY1;GAS6;FGFR2,Regulation Of ERK1 And ERK2 Cascade (GO:0070372)
GO:0046514,0.06796053,23.825,207.3942,ASAH2;HEXB;HEXA;NEU1,Ceramide Catabolic Process (GO:0046514)
GO:0070374,0.06796053,4.545358,38.61112,MFHAS1;CCL20;PDGFD;PDGFC;CCL2;ACKR3;NRG1;GAS6;FGFR2;TIRAP,Positive Regulation Of ERK1 And ERK2 Cascade (GO:0070374)
GO:0055010,0.06796053,11.93733,99.87435,TGFB2;NRG1;LRP2;TGFBR1;FGFR2,Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010)
GO:0035720,0.06796053,11.93733,99.87435,TRAF3IP1;IFT81;IFT172;IFT27;IFT57,Intraciliary Anterograde Transport (GO:0035720)
GO:0046479,0.1286282,35.64681,262.7842,HEXB;HEXA;NEU1,Glycosphingolipid Catabolic Process (GO:0046479)
GO:0003222,0.1286282,35.64681,262.7842,TGFB2;NRG1;TGFBR1,Ventricular Trabecula Myocardium Morphogenesis (GO:0003222)
GO:0062043,0.1286282,35.64681,262.7842,TGFB2;JAG1;TGFBR1,Positive Regulation Of Cardiac Epithelial To Mesenchymal Transition (GO:0062043)
GO:2000181,0.1341667,5.40797,38.99642,HHEX;TGFB2;SPARC;PDE3B;ATP2B4;NRG1;HSPG2,Negative Regulation Of Blood Vessel Morphogenesis (GO:2000181)
GO:0001961,0.1341667,8.522682,60.91508,CSF1;CASP4;IGF2BP1;PARP9;GAS6,Positive Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001961)
