Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
MSigDB_Hallmark_2020	Interferon Gamma Response	2.753059e-06	1.266407e-04	0	0	4.595538e+00	5.883574e+01	VCAM1;DDX58;NCOA3;STAT2;TNFAIP2;IFI35;NMI;IFIH1;CASP7;ARL4A;RNF213;CASP4;TRIM14;TXNIP;CCL2;METTL7B
MSigDB_Hallmark_2020	Interferon Alpha Response	4.483687e-05	1.031248e-03	0	0	5.608987e+00	5.615987e+01	IFIH1;MOV10;CSF1;STAT2;TRIM14;TXNIP;GMPR;IFI35;NMI;PARP9
MSigDB_Hallmark_2020	TNF-alpha Signaling via NF-kB	8.392226e-05	1.286808e-03	0	0	3.731868e+00	3.502590e+01	JAG1;CSF1;CCL20;DDX58;TNFAIP2;F3;IFIH1;BCL6;BCL3;CCL2;ACKR3;CCN1;PHLDA2;TLR2
MSigDB_Hallmark_2020	IL-6/JAK/STAT3 Signaling	1.372756e-03	1.578670e-02	0	0	4.787675e+00	3.155525e+01	CSF1;IFNGR1;STAT2;PDGFC;LTBR;TNFRSF1A;TLR2
MSigDB_Hallmark_2020	IL-2/STAT5 Signaling	6.575494e-03	6.049455e-02	0	0	2.564922e+00	1.288721e+01	ARL4A;CCND2;CSF1;IFNGR1;NCOA3;COL6A1;ST3GAL4;LRIG1;DCPS;WLS;IGF1R
MSigDB_Hallmark_2020	Allograft Rejection	9.307112e-03	6.621994e-02	0	0	2.944166e+00	1.376979e+01	TGFB2;CCND2;CSF1;IFNGR1;BCL3;CCL2;BCAT1;TLR2
MSigDB_Hallmark_2020	Inflammatory Response	1.007695e-02	6.621994e-02	0	0	2.899217e+00	1.332916e+01	CSF1;CCL20;PDPN;CCL2;NMI;F3;CD55;TLR2
MSigDB_Hallmark_2020	KRAS Signaling Up	2.803499e-02	1.612012e-01	0	0	2.358163e+00	8.428788e+00	AKAP12;ST6GAL1;CCND2;PEG3;CCL20;HKDC1;CPE;DUSP6
MSigDB_Hallmark_2020	Hypoxia	3.563132e-02	1.821156e-01	0	0	2.025998e+00	6.755753e+00	SULT2B1;AKAP12;CDKN1B;STBD1;HEXA;ACKR3;AMPD3;ALDOB;CCN1;F3
MSigDB_Hallmark_2020	Bile Acid Metabolism	6.461390e-02	2.972240e-01	0	0	2.230360e+00	6.109681e+00	SULT2B1;BCAR3;GSTK1;TTR;ALDH1A1;FADS1
MSigDB_Hallmark_2020	Complement	7.590020e-02	3.082423e-01	0	0	1.886750e+00	4.864677e+00	CPM;CASP7;GCA;CASP4;LIPA;F3;DUSP6;CD55
MSigDB_Hallmark_2020	Myogenesis	8.041104e-02	3.082423e-01	0	0	1.959862e+00	4.940034e+00	EIF4A2;SPARC;ITGA7;IGFBP7;NCAM1;AGRN;MYLK
MSigDB_Hallmark_2020	Pperoxisome	1.114265e-01	3.490731e-01	0	0	1.900782e+00	4.171057e+00	SULT2B1;GSTK1;TTR;ABCC5;ALDH1A1;FADS1
MSigDB_Hallmark_2020	heme Metabolism	1.207466e-01	3.490731e-01	0	0	1.622727e+00	3.430545e+00	MFHAS1;IGSF3;SLC66A2;UCP2;MARCHF8;MBOAT2;PDZK1IP1;ABCG2;SNCA
MSigDB_Hallmark_2020	Apoptosis	1.214167e-01	3.490731e-01	0	0	1.751496e+00	3.693077e+00	TGFB2;CASP7;CCND2;CDKN1B;IFNGR1;CASP4;TXNIP
MSigDB_Hallmark_2020	UV Response Dn	1.214167e-01	3.490731e-01	0	0	1.751496e+00	3.693077e+00	CDKN1B;DDAH1;ATP2B4;CCN1;F3;ADGRL2;IGF1R
MSigDB_Hallmark_2020	Coagulation	1.754667e-01	4.712145e-01	0	0	1.743610e+00	3.034415e+00	SPARC;HMGCS2;F3;DUSP6;DUSP14
