term,fdr,Odds Ratio,Combined Score,Genes,description
Interferon Gamma Response,0.0001266407,4.595538,58.83574,VCAM1;DDX58;NCOA3;STAT2;TNFAIP2;IFI35;NMI;IFIH1;CASP7;ARL4A;RNF213;CASP4;TRIM14;TXNIP;CCL2;METTL7B,Interferon Gamma Response
Interferon Alpha Response,0.001031248,5.608987,56.15987,IFIH1;MOV10;CSF1;STAT2;TRIM14;TXNIP;GMPR;IFI35;NMI;PARP9,Interferon Alpha Response
TNF-alpha Signaling via NF-kB,0.001286808,3.731868,35.0259,JAG1;CSF1;CCL20;DDX58;TNFAIP2;F3;IFIH1;BCL6;BCL3;CCL2;ACKR3;CCN1;PHLDA2;TLR2,TNF-alpha Signaling via NF-kB
IL-6/JAK/STAT3 Signaling,0.0157867,4.787675,31.55525,CSF1;IFNGR1;STAT2;PDGFC;LTBR;TNFRSF1A;TLR2,IL-6/JAK/STAT3 Signaling
IL-2/STAT5 Signaling,0.06049455,2.564922,12.88721,ARL4A;CCND2;CSF1;IFNGR1;NCOA3;COL6A1;ST3GAL4;LRIG1;DCPS;WLS;IGF1R,IL-2/STAT5 Signaling
Allograft Rejection,0.06621994,2.944166,13.76979,TGFB2;CCND2;CSF1;IFNGR1;BCL3;CCL2;BCAT1;TLR2,Allograft Rejection
Inflammatory Response,0.06621994,2.899217,13.32916,CSF1;CCL20;PDPN;CCL2;NMI;F3;CD55;TLR2,Inflammatory Response
KRAS Signaling Up,0.1612012,2.358163,8.428788,AKAP12;ST6GAL1;CCND2;PEG3;CCL20;HKDC1;CPE;DUSP6,KRAS Signaling Up
Hypoxia,0.1821156,2.025998,6.755753,SULT2B1;AKAP12;CDKN1B;STBD1;HEXA;ACKR3;AMPD3;ALDOB;CCN1;F3,Hypoxia
Bile Acid Metabolism,0.297224,2.23036,6.109681,SULT2B1;BCAR3;GSTK1;TTR;ALDH1A1;FADS1,Bile Acid Metabolism
Complement,0.3082423,1.88675,4.864677,CPM;CASP7;GCA;CASP4;LIPA;F3;DUSP6;CD55,Complement
Myogenesis,0.3082423,1.959862,4.940034,EIF4A2;SPARC;ITGA7;IGFBP7;NCAM1;AGRN;MYLK,Myogenesis
Pperoxisome,0.3490731,1.900782,4.171057,SULT2B1;GSTK1;TTR;ABCC5;ALDH1A1;FADS1,Pperoxisome
heme Metabolism,0.3490731,1.622727,3.430545,MFHAS1;IGSF3;SLC66A2;UCP2;MARCHF8;MBOAT2;PDZK1IP1;ABCG2;SNCA,heme Metabolism
Apoptosis,0.3490731,1.751496,3.693077,TGFB2;CASP7;CCND2;CDKN1B;IFNGR1;CASP4;TXNIP,Apoptosis
UV Response Dn,0.3490731,1.751496,3.693077,CDKN1B;DDAH1;ATP2B4;CCN1;F3;ADGRL2;IGF1R,UV Response Dn
Coagulation,0.4712145,1.74361,3.034415,SPARC;HMGCS2;F3;DUSP6;DUSP14,Coagulation
Estrogen Response Late,0.4712145,1.538308,2.573716,SULT2B1;FABP5;AGR2;ATP2B4;CPE;HMGCS2;PAPSS2,Estrogen Response Late
Angiogenesis,0.4712145,2.6283,4.301592,CCND2;JAG1,Angiogenesis
Apical Surface,0.500274,2.364917,3.529229,AFAP1L2;SULF2,Apical Surface
Estrogen Response Early,0.500274,1.443478,2.131611,SULT2B1;LRIG1;UNC119;RAB17;PAPSS2;TTC39A;IGF1R,Estrogen Response Early
Wnt-beta Catenin Signaling,0.5020077,2.252039,3.213071,CCND2;JAG1,Wnt-beta Catenin Signaling
Cholesterol Homeostasis,0.5074526,1.604896,2.201114,NIBAN1;JAG1;FABP5;ANXA13,Cholesterol Homeostasis
Xenobiotic Metabolism,0.5702597,1.315749,1.595017,TGFB2;DDC;ENTPD5;EPHX1;BCAT1;PAPSS2;TNFRSF1A,Xenobiotic Metabolism
Epithelial Mesenchymal Transition,0.6034477,1.344169,1.498563,SPARC;VCAM1;CCN1;MYLK;LOXL2,Epithelial Mesenchymal Transition
Adipogenesis,0.6433722,1.19798,1.211849,ARL4A;BCL6;IFNGR1;APLP2;UCP2;ITGA7;ADCY6;MYLK,Adipogenesis
p53 Pathway,0.7306688,1.152473,0.9756833,CCND2;ABCC5;EI24;EPHX1;TXNIP;PTPN14,p53 Pathway
KRAS Signaling Dn,0.8026592,1.242076,0.8896519,TGFB2;CDH16,KRAS Signaling Dn
TGF-beta Signaling,0.8163164,1.179696,0.7836707,BCAR3;TGFBR1,TGF-beta Signaling
Fatty Acid Metabolism,0.8516886,1.007547,0.5878752,EPHX1;ALDH1A1;ACOT2;HMGCS2;CRYZ,Fatty Acid Metabolism
Androgen Response,0.8516886,0.9685425,0.489647,AKAP12;ADAMTS1;FADS1,Androgen Response
Spermatogenesis,0.8516886,0.9821593,0.4858576,ARL4A;NPHP1,Spermatogenesis
Notch Signaling,0.8516886,1.071751,0.519536,JAG1,Notch Signaling
PI3K/AKT/mTOR  Signaling,0.8516886,0.9299825,0.43041,CDKN1B;STAT2;TNFRSF1A,PI3K/AKT/mTOR  Signaling
Apical Junction,0.8586984,0.8969312,0.3817616,MAP4K2;MAPK11;VCAM1;THBS3,Apical Junction
Reactive Oxygen Species Pathway,0.9996399,0.5882231,0.1177179,HHEX,Reactive Oxygen Species Pathway
Protein Secretion,0.9996399,0.5154514,0.05579193,GALC;CLN5,Protein Secretion
Unfolded Protein Response,0.9996399,0.4685635,0.0369324,EIF4A2;CCL2,Unfolded Protein Response
G2-M Checkpoint,0.9996399,0.5306187,0.03322946,CDKN1B;CHEK1;BCL3;MEIS2,G2-M Checkpoint
Glycolysis,0.9996399,0.4801161,0.02679006,ALDOB;AGRN;HS6ST2,Glycolysis
Mitotic Spindle,0.9996399,0.5070652,0.0252242,CDC42EP2;TBCD;WASF1;MID1,Mitotic Spindle
