"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0043410","GO:0043410",1,"GO:0043410",1.82754273363683,541,"positive regulation of MAPK cascade","positive regulation of MAPK cascade",0.814808510638298,0.275428571428571,0
"GO:0070372","GO:0070372",1,"GO:0043410",1.19684235031283,343,"regulation of ERK1 and ERK2 cascade","positive regulation of MAPK cascade",0.848670212765957,0.318714285714286,0.865
"GO:0006689","GO:0006689",2,"GO:0006689",1.19684235031283,7,"ganglioside catabolic process","ganglioside catabolic process",0.925787234042553,0.2885,0
"GO:0035720","GO:0035720",4,"GO:0035720",1.1677432428816,20,"intraciliary anterograde transport","intraciliary anterograde transport",0.930393617021277,0.583,0
"GO:0055010","GO:0055010",3,"GO:0055010",1.1677432428816,56,"ventricular cardiac muscle tissue morphogenesis","ventricular cardiac muscle tissue morphogenesis",0.840553191489362,0.344,0
"GO:0046514","GO:0046514",2,"GO:0006689",1.1677432428816,20,"ceramide catabolic process","ganglioside catabolic process",0.9245,0.3285,0.94
"GO:0070374","GO:0070374",1,"GO:0043410",1.1677432428816,239,"positive regulation of ERK1 and ERK2 cascade","positive regulation of MAPK cascade",0.827606382978723,0.302,0.905
"GO:0003222","GO:0003222",5,"GO:0003222",0.890663807758723,17,"ventricular trabecula myocardium morphogenesis","ventricular trabecula myocardium morphogenesis",0.845914893617021,0.5255,0
"GO:0062043","GO:0062043",6,"GO:0062043",0.890663807758723,9,"positive regulation of cardiac epithelial to mesenchymal transition","positive regulation of cardiac epithelial to mesenchymal transition",0.784255319148936,0.307166666666667,0
"GO:0046479","GO:0046479",2,"GO:0006689",0.890663807758723,14,"glycosphingolipid catabolic process","ganglioside catabolic process",0.924659574468085,0.3055,0.963
"GO:0001961","GO:0001961",8,"GO:0001961",0.872355262116538,59,"positive regulation of cytokine-mediated signaling pathway","positive regulation of cytokine-mediated signaling pathway",0.828297872340426,0.583333333333333,0
"GO:2000181","GO:2000181",7,"GO:2000181",0.872355262116538,111,"negative regulation of blood vessel morphogenesis","negative regulation of blood vessel morphogenesis",0.818127659574468,0.4055,0
"GO:0042127","GO:0042127",9,"GO:0042127",0.86569122103391,2415,"regulation of cell population proliferation","regulation of cell population proliferation",0.899989361702128,0.515,0
"GO:0031349","GO:0031349",10,"GO:0031349",0.86569122103391,520,"positive regulation of defense response","positive regulation of defense response",0.827042553191489,0.399,0
"GO:0060271","GO:0060271",9,"GO:0042127",0.86569122103391,387,"cilium assembly","regulation of cell population proliferation",0.926446808510638,0.3565,0.634
"GO:0032330","GO:0032330",11,"GO:0032330",0.833379572475406,55,"regulation of chondrocyte differentiation","regulation of chondrocyte differentiation",0.837351063829787,1,0
"GO:0060317","GO:0060317",6,"GO:0062043",0.833379572475406,32,"cardiac epithelial to mesenchymal transition","positive regulation of cardiac epithelial to mesenchymal transition",0.826606382978723,0.294333333333333,0.92
"GO:0071221","GO:0071221",13,"GO:0071221",0.802435519898206,6,"cellular response to bacterial lipopeptide","cellular response to bacterial lipopeptide",0.90963829787234,1,0
"GO:0032103","GO:0032103",15,"GO:0032103",0.802435519898206,668,"positive regulation of response to external stimulus","positive regulation of response to external stimulus",0.820234042553192,0.542666666666667,0
"GO:0010738","GO:0010738",1,"GO:0043410",0.802435519898206,24,"regulation of protein kinase A signaling","positive regulation of MAPK cascade",0.881712765957447,0.529142857142857,0.562
"GO:0001822","GO:0001822",14,"GO:0001822",0.802435519898206,336,"kidney development","kidney development",0.880606382978723,0.505,0
"GO:0034143","GO:0034143",15,"GO:0032103",0.802435519898206,26,"regulation of toll-like receptor 4 signaling pathway","positive regulation of response to external stimulus",0.826393617021277,0.495666666666667,0.72
"GO:0048844","GO:0048844",7,"GO:2000181",0.802435519898206,83,"artery morphogenesis","negative regulation of blood vessel morphogenesis",0.873457446808511,0.48775,0.684
"GO:0007157","GO:0007157",12,"GO:0007157",0.802435519898206,50,"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules","heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules",0.966223404255319,0.467,0
"GO:0016525","GO:0016525",7,"GO:2000181",0.802435519898206,109,"negative regulation of angiogenesis","negative regulation of blood vessel morphogenesis",0.818308510638298,0.406,0.998
"GO:0050729","GO:0050729",10,"GO:0031349",0.802435519898206,167,"positive regulation of inflammatory response","positive regulation of defense response",0.82886170212766,0.34775,0.862
"GO:0043408","GO:0043408",1,"GO:0043410",0.802435519898206,751,"regulation of MAPK cascade","positive regulation of MAPK cascade",0.837212765957447,0.292428571428571,0.956
"GO:0042476","GO:0042476",20,"GO:0042476",0.796649671596883,132,"odontogenesis","odontogenesis",0.883702127659574,1,0
"GO:0042116","GO:0042116",18,"GO:0042116",0.796649671596883,113,"macrophage activation","macrophage activation",0.915808510638298,1,0
"GO:0051180","GO:0051180",17,"GO:0051180",0.796649671596883,45,"vitamin transport","vitamin transport",0.984797872340425,1,0
"GO:0120162","GO:0120162",16,"GO:0120162",0.796649671596883,101,"positive regulation of cold-induced thermogenesis","positive regulation of cold-induced thermogenesis",0.859808510638298,0.5145,0
