,parent,parentTerm,term,fdr,Odds Ratio,Combined Score,Genes,description
0,GO:0043410,positive regulation of MAPK cascade,GO:0043410,0.01487501,3.993266,47.24719,BCAR3;TGFB2;KSR1;CCL20;NRG1;MID1;TGFBR1;TIRAP;IGF1R;MFHAS1;PDGFD;PDGFC;CCL2;ACKR3;GAS6;TMEM106A;FGFR2,Positive Regulation Of MAPK Cascade (GO:0043410)
1,GO:0006689,ganglioside catabolic process,GO:0006689,0.06355616,inf,inf,HEXB;HEXA;NEU1,Ganglioside Catabolic Process (GO:0006689)
2,GO:0035720,intraciliary anterograde transport,GO:0035720,0.06796053,11.93733,99.87435,TRAF3IP1;IFT81;IFT172;IFT27;IFT57,Intraciliary Anterograde Transport (GO:0035720)
3,GO:0055010,ventricular cardiac muscle tissue morphogenesis,GO:0055010,0.06796053,11.93733,99.87435,TGFB2;NRG1;LRP2;TGFBR1;FGFR2,Ventricular Cardiac Muscle Tissue Morphogenesis (GO:0055010)
4,GO:0003222,ventricular trabecula myocardium morphogenesis,GO:0003222,0.1286282,35.64681,262.7842,TGFB2;NRG1;TGFBR1,Ventricular Trabecula Myocardium Morphogenesis (GO:0003222)
5,GO:0062043,positive regulation of cardiac epithelial to mesenchymal transition,GO:0062043,0.1286282,35.64681,262.7842,TGFB2;JAG1;TGFBR1,Positive Regulation Of Cardiac Epithelial To Mesenchymal Transition (GO:0062043)
6,GO:0001961,positive regulation of cytokine-mediated signaling pathway,GO:0001961,0.1341667,8.522682,60.91508,CSF1;CASP4;IGF2BP1;PARP9;GAS6,Positive Regulation Of Cytokine-Mediated Signaling Pathway (GO:0001961)
7,GO:2000181,negative regulation of blood vessel morphogenesis,GO:2000181,0.1341667,5.40797,38.99642,HHEX;TGFB2;SPARC;PDE3B;ATP2B4;NRG1;HSPG2,Negative Regulation Of Blood Vessel Morphogenesis (GO:2000181)
8,GO:0042127,regulation of cell population proliferation,GO:0042127,0.1362413,2.00592,13.98289,PTPRU;CDKN1B;CSF1;IFI35;IGF1R;HHEX;CCND2;ADAMTS1;PDGFD;PDPN;PDGFC;IGFBP7;EPHA4;TGFB2;JAG1;KSR1;STAT2;ITGA1;P3H2;NRG1;MEIS2;PTPN14;TGFBR1;SULT2B1;ACE2;BCL6;DDAH1;SGK3;FGFR2,Regulation Of Cell Population Proliferation (GO:0042127)
9,GO:0031349,positive regulation of defense response,GO:0031349,0.1362413,4.461981,31.02366,LGALS2;CASP4;IGF2BP1;IFI35;TIRAP;TNFRSF1A;TLR2;SNCA,Positive Regulation Of Defense Response (GO:0031349)
10,GO:0032330,regulation of chondrocyte differentiation,GO:0032330,0.1467643,23.76177,159.4262,MBOAT2;TGFBR1;LOXL2,Regulation Of Chondrocyte Differentiation (GO:0032330)
11,GO:0071221,cellular response to bacterial lipopeptide,GO:0071221,0.157603,inf,inf,TIRAP;TLR2,Cellular Response To Bacterial Lipopeptide (GO:0071221)
12,GO:0032103,positive regulation of response to external stimulus,GO:0032103,0.157603,3.540984,21.99619,LGALS2;CASP4;IGF2BP1;NRG1;IFI35;TIRAP;TNFRSF1A;TLR2;SNCA,Positive Regulation Of Response To External Stimulus (GO:0032103)
13,GO:0001822,kidney development,GO:0001822,0.157603,5.309745,33.27516,TGFB2;VANGL2;TRAF3IP1;IFT27;TGFBR1;SULF2,Kidney Development (GO:0001822)
14,GO:0007157,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,GO:0007157,0.157603,10.58272,69.24782,TENM3;CXADR;VCAM1;SCARF2,Heterophilic Cell-Cell Adhesion Via Plasma Membrane Cell Adhesion Molecules (GO:0007157)
15,GO:0042476,odontogenesis,GO:0042476,0.1597167,8.656566,51.60601,TGFB2;TUFT1;BCOR;FGFR2,Odontogenesis (GO:0042476)
16,GO:0042116,macrophage activation,GO:0042116,0.1597167,8.656566,51.60601,IFNGR1;IFI35;TMEM106A;SNCA,Macrophage Activation (GO:0042116)
17,GO:0051180,vitamin transport,GO:0051180,0.1597167,8.656566,51.60601,CUBN;PDPN;LRP2;ABCG2,Vitamin Transport (GO:0051180)
18,GO:0120162,positive regulation of cold-induced thermogenesis,GO:0120162,0.1597167,4.29462,25.9619,PRKAB2;FABP5;APLP2;PDGFC;ZNF516;UCP2;IGF1R,Positive Regulation Of Cold-Induced Thermogenesis (GO:0120162)
19,GO:0030593,neutrophil chemotaxis,GO:0030593,0.1597167,8.656566,51.60601,TGFB2;CXADR;CCL20;CCL2,Neutrophil Chemotaxis (GO:0030593)
20,GO:0009893,positive regulation of metabolic process,GO:0009893,0.1685196,4.08417,23.67133,PRKAB2;FABP5;APLP2;PDGFC;ZNF516;UCP2;IGF1R,Positive Regulation Of Metabolic Process (GO:0009893)
21,GO:0022604,regulation of cell morphogenesis,GO:0022604,0.1685196,5.961699,34.75091,VIL1;MOV10;SPARC;FMNL2;PDPN,Regulation Of Cell Morphogenesis (GO:0022604)
22,GO:0150104,transport across blood-brain barrier,GO:0150104,0.1692831,4.622454,26.17305,FABP5;ABCC5;ATP1A4;ATP2B4;LRP2;ABCG2,Transport Across Blood-Brain Barrier (GO:0150104)
23,GO:0045787,positive regulation of cell cycle,GO:0045787,0.1882025,4.213112,22.17375,TGFB2;CCND2;CHEK1;MEIS2;FGFR2;LRP6,Positive Regulation Of Cell Cycle (GO:0045787)
24,GO:0015886,heme transport,GO:0015886,0.1882025,47.40331,252.8867,ABCC5;NRG1,Heme Transport (GO:0015886)
25,GO:0035272,exocrine system development,GO:0035272,0.1882025,47.40331,252.8867,IGSF3;FGFR2,Exocrine System Development (GO:0035272)
26,GO:0001736,establishment of planar polarity,GO:0001736,0.1882025,47.40331,252.8867,VANGL2;NPHP1,Establishment Of Planar Polarity (GO:0001736)
27,GO:0042423,catecholamine biosynthetic process,GO:0042423,0.1882025,47.40331,252.8867,TGFB2;SNCA,Catecholamine Biosynthetic Process (GO:0042423)
28,GO:0007193,adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway,GO:0007193,0.1882025,11.87673,63.72754,AKAP12;AKAP5;ADCY6,Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193)
29,GO:0071870,cellular response to catecholamine stimulus,GO:0071870,0.1882025,11.87673,63.72754,ATP2B4;ADCY6;SNCA,Cellular Response To Catecholamine Stimulus (GO:0071870)
30,GO:0030199,collagen fibril organization,GO:0030199,0.1882025,6.799206,35.70146,TGFB2;PXDN;TGFBR1;LOXL2,Collagen Fibril Organization (GO:0030199)
31,GO:0016052,carbohydrate catabolic process,GO:0016052,0.1961922,4.965761,25.61319,MANBA;HKDC1;NEU1;UCP2;ALDOB,Carbohydrate Catabolic Process (GO:0016052)
32,GO:0070934,CRD-mediated mRNA stabilization,GO:0070934,0.2103611,10.17887,51.29576,IGF2BP1;IGF2BP3;IGF2BP2,CRD-mediated mRNA Stabilization (GO:0070934)
33,GO:0007169,transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007169,0.2334931,2.403693,11.78737,BCAR3;EPHA4;EPHA7;UBASH3B;CSF1;SORT1;PDGFD;PDGFC;NRG1;FGFR2;SULF2;IGF1R,Transmembrane Receptor Protein Tyrosine Kinase Signaling Pathway (GO:0007169)
