Protein_Group	Genes	TaggedPOI_Treatment1_vs_TaggedPOI_Treatment2_logFC	TaggedPOI_Treatment1_vs_TaggedPOI_Treatment2_pval	Removed?	Contaminant?
CONT_P01044	KNG1	7.18390915413783	0.000173890846472	No	No
D6VTK4	STE2	6.23717841787991	1.02723056300913e-08	No	No
P07249	ARG80	6.62334274111452	0.0008968466872812	No	No
P0CY11	HMRA1	1.8280919803921	0.0002210780259429	No	No
P12630	BAR1	8.53417652345064	1.52558925268581e-06	No	No
P12689	REV1	5.58335083833419	7.99894910339355e-06	No	No
P12866	STE6	8.38210368972901	2.015018425101e-08	No	No
P13090	ATR1	6.04505358773404	7.30441082648852e-08	No	No
P24870	CLB3	5.55421609231041	5.46255857168989e-08	No	No
P26309	CDC20	5.50196198192197	3.92778758878254e-06	No	No
P30620	PSO2	3.46627576446197	0.0032790497505197	No	No
P32383	PLC1	2.99241829601684	1.39214092320249e-06	No	No
P32448	ASF2	3.01977711038836	0.0016298157902351	No	No
P32781	AGA2	7.50726562692966	7.90597076082366e-08	No	No
P32791	FRE1	6.24115919141488	3.1752554231582e-07	No	No
P35209	SPT21	3.57692456001067	0.0019818756053059	No	No
P36025	YOR062C	7.86455488693361	1.2430112113916801e-09	No	No
P36155	YKR075C	4.83379154422835	5.6823688638145e-07	No	No
P38204	RRN10	4.45917538089164	0.0008916171675531	No	No
P38280	YSW1	4.39075720729123	2.73655281440221e-06	No	No
P38324	SLX1	2.67276526611493	5.85689314152037e-05	No	No
P38740	YHL026C	3.1562069385222	0.0013781314707563	No	No
P38994	MSS4	2.38509979533979	2.10014455150815e-06	No	No
P39997	NPP2	5.55297458600071	1.14493434956547e-05	No	No
P40077	DSE1	3.12131654305185	0.0002597787924417	No	No
P40085	EMP65	3.62634401294653	0.0004369971135249	No	No
P40441	HXT12	4.5966129605332	4.80485349869049e-08	No	No
P43602	ROG3	5.65057119409969	4.5102530252444e-05	No	No
P46993	ASG7	5.27566791166271	4.05313761324796e-07	No	No
P47043	ZAP1	4.45158094119068	0.0017764424485917	No	No
P47180	PGU1	6.908201752369	0.0001894196575346	No	No
P50091	PEX21	6.53532803026604	4.30615279948153e-06	No	No
P53286	BTN2	6.1810999228036	2.77940843653178e-06	No	No
P53874	UBP10	5.39028872668391	9.29023738153807e-10	No	No
Q03002	FRK1	7.56208637750264	4.09983653779712e-09	No	No
Q03018	ESP1	5.7996787895784	0.0002016719101752	No	No
Q04005	ATC1	5.46547961229689	4.73268297720112e-06	No	No
Q05164	HPF1	5.27322792758109	4.97373242372577e-08	No	No
Q06098	ISR1	5.92739174664101	3.75481972848091e-07	No	No
Q06163	EST2	5.87925315917635	6.49018379145169e-09	No	No
Q06164	MMS22	3.49654353579995	0.0026440061048813	No	No
Q06244	PUS5	2.61970539132002	0.0001442659780205	No	No
Q08490	SGO1	7.40559522166292	4.32007232849579e-07	No	No
Q08964	YPL216W	1.78514329791729	0.0003800639178861	No	No
Q12110	YLR049C	6.09734991490511	9.98365093570992e-08	No	No
Q12167	RRG1	2.27504440469864	2.14026024848467e-05	No	No
Q12248	DAD1	3.68157714879431	0.0061915293659061	No	No
Q12507	SFG1	5.91811540790253	1.36262694919828e-07	No	No
Q12512	ZPS1	2.05264956783704	0.0024036472688525	No	No
Q12748	CTF3	3.78747481009048	0.0035019375907089	No	No
Q8TGU7	YBR126W-A	4.25943961626764	1.69259231292974e-08	No	No
Q99299	AIM44	6.41351171478937	6.4256748096999604e-09	No	No
P0CD91	AQY1	-2.76837641118669	3.10963904831095e-05	No	No
P32385	RNP1	-2.4040740984	0.0005685812536074	No	No
P34251	YKL107W	-7.31234931246499	5.07351922467432e-07	No	No
P35736	YKL050C	-10.5330747674677	7.190358889277401e-10	No	No
P40167	SLZ1	-5.56639399791931	2.46986030242511e-05	No	No
Q04487	SHH3	-7.46277935525878	2.63955990865838e-07	No	No
Q06236	SHH4	-7.350726631133	2.17783426301515e-05	No	No
Q07629	YDL218W	-7.03233814087555	5.621485074096891e-09	No	No
Q12276	HER1	-1.31657877842388	0.0015581792070243	No	No
Q12443	RTN2	-2.20658809534595	5.86057050510035e-06	No	No
Q2V2P2	YKL065W-A	-5.49970871699199	1.09405675575319e-07	No	No
Q99248	YOR019W	-3.49418724798396	1.74459106027531e-06	No	No
