Protein_Group	Genes	TaggedPOI_Treatment2_vs_WT_Treatment2_logFC	TaggedPOI_Treatment2_vs_WT_Treatment2_pval	Removed?	Contaminant?
CONT_P02976	spa	4.43903628882828	1.72311735076099e-07	No	No
P0CD91	AQY1	4.05054718540887	7.72621616037799e-07	No	No
P12689	REV1	3.0740109267014	0.0098435406427389	No	No
P12866	STE6	3.04467039936936	0.0030349818859846	No	No
P23250	RPI1	3.17478080084648	1.68486057242689e-07	No	No
P29295	HRR25	3.32777602656011	2.93815931315023e-13	No	No
P31111	ZIP1	6.0776189789732	0.0013278928107205	No	No
P32385	RNP1	3.01054687604838	3.30086801367914e-07	No	No
P34251	YKL107W	3.38799267912327	1.06513480095035e-05	No	No
P35736	YKL050C	4.43978383642416	4.40741703327739e-06	No	No
P36168	ESL2	3.81213205164306	1.53172054823297e-12	No	No
P38287	CSH1	4.3899526280759	0.0002274782669166	No	No
P38742	NPR3	9.04175671110859	2.20313010771709e-16	No	No
P38835	YHR131C	3.71441834329988	0.0009337383987545	No	No
P39923	NPR2	8.92568557045569	1.28443929156619e-16	No	No
P40167	SLZ1	4.84412099425441	0.0024511575956019	No	No
P40456	ESL1	5.3433181704308	1.3927732849828101e-14	No	No
P49960	PRP24	3.44522059516394	3.0347122850507503e-09	No	No
P53011	SEH1	8.78670192757219	2.58894784368116e-14	No	No
Q00947	STP1	4.21693698537756	0.0068459147369554	No	No
Q03897	MTC5	9.1405409172927	3.4457813228813697e-16	No	No
Q04487	SHH3	5.87264985054067	1.35230624552198e-06	No	No
Q04491	SEC13	6.44280905277824	1.1245924955089399e-16	No	No
Q06236	SHH4	3.00572132343515	0.0009208706167941	No	No
Q07629	YDL218W	4.3159447195267	3.49039218432008e-05	No	No
Q08281	RTC1	9.53623060000184	1.23841283237335e-16	No	No
Q12276	HER1	3.15596367465025	1.64954863142174e-09	No	No
Q12411	SPO21	4.54942187360983	0.0003761702945141	No	No
Q12443	RTN2	3.01075065723757	6.12075950115467e-07	No	No
Q2V2P2	YKL065W-A	3.23246908636452	0.0001685367123235	No	No
Q99248	YOR019W	3.68083940514186	6.09862283800651e-07	No	No
Q99326	YOR338W	4.39862132372355	1.72225759125147e-05	No	No
SEA1	SEA1	9.42919213605179	1.5589404266654502e-15	No	No
SEA4	SEA4	9.52251141395733	8.98546657495894e-16	No	No
