Protein_Group	Genes	KMS-11_CM-3496_vs_KMS-11_DMSO_logFC	KMS-11_CM-3496_vs_KMS-11_DMSO_pval	Removed?	Contaminant?
O15394	NCAM2	5.08848664951525	4.18005868563708e-08	No	No
O95876	WDPCP	2.47209339697283	0.0082794251136394	No	No
P05120	SERPINB2	2.96931219484335	0.007303119034535	No	No
P23471	PTPRZ1	2.83630097212644	0.0063736202338954	No	No
P35321	SPRR1A	6.13910697474938	2.01161854636009e-11	No	No
Q15406	NR6A1	4.44207647154447	0.0063764880630534	No	No
Q3B820	FAM161A	2.27199458961	0.005373992666105	No	No
Q5U623	ATF7IP2	3.19966249397018	0.0024405048664032	No	No
Q63HM1	AFMID	1.89903101289095	0.0037270436777907	No	No
Q641Q3	METRNL	3.12406474192338	5.4692561481522305e-15	No	No
Q6P161	MRPL54	1.92295616748334	0.0064502157529635	No	No
Q70EL4	USP43	3.18663646803647	0.0004285663696644	No	No
Q8N3Y7	SDR16C5	3.51556490246247	0.0061765854167433	No	No
Q8WWL7	CCNB3	4.23846824105149	1.11224517720228e-08	No	No
Q92874	DNASE1L2	7.9376176115435	8.40126673769244e-21	No	No
Q96FA3	PELI1	2.19204998060246	0.0015857502299995	No	No
Q9BPW9	DHRS9	6.12505509190815	8.04396782104849e-06	No	No
Q9H2Z4	NKX2-4	2.81936411131794	0.0056839163054777	No	No
Q9NV58	RNF19A	4.20551830065568	8.57586070566349e-06	No	No
Q9Y2G7	ZFP30	2.21906855381098	0.0034543322210174	No	No
A2RRD8	ZNF320	-4.58418632029723	7.32854294386294e-06	No	No
O95073	FSBP	-2.40434844504697	0.004757199335034	No	No
P02763	ORM1	-3.9983060152583	0.0033236686508713	No	No
P03973	SLPI	-2.17052062473333	2.50218111128679e-09	No	No
P19526	FUT1	-3.07569590760261	0.0001320681298853	No	No
P24592	IGFBP6	-4.94307148383544	2.78924531833021e-09	No	No
P85299	PRR5	-2.74877345583831	0.0024968925547434	No	No
Q02383	SEMG2	-4.1970721234438	0.0060539924957811	No	No
Q06828	FMOD	-6.19273338063425	1.13855309845309e-05	No	No
Q13470	TNK1	-2.41957967377305	0.0071102367766599	No	No
Q13976	PRKG1	-2.31174693611317	3.63134803062946e-08	No	No
Q15777	MPPED2	-2.42638842738006	0.0009271731133565	No	No
Q8N7C3	TRIML2	-5.89494259288239	2.9303200753115e-21	No	No
Q8TF20	ZNF721	-4.84930261972089	0.0009701532780048	No	No
Q8WV83	SLC35F5	-6.50723382357446	0.0084481874816414	No	No
Q96AP7	ESAM	-2.53053529468479	0.0007873191487343	No	No
Q96I34	PPP1R16A	-2.95571918935746	0.0021184181566921	No	No
Q9BPU9	B9D2	-2.4204334549025	0.0074667559495969	No	No
Q9H8M5	CNNM2	-2.69897772065873	0.0038092951408461	No	No
Q9NYJ1	COA4	-2.10793915629724	0.0045847266825981	No	No
Q9P241	ATP10D	-2.77718752687483	0.0024293718841289	No	No
Q9UPU9	SAMD4A	-3.37910873048416	6.70963476556052e-05	No	No
Q9Y365	STARD10	-4.63118241899505	0.0083882798621063	No	No
