Protein_Group	Genes	HIM-ST_vs_FMC29_logFC	HIM-ST_vs_FMC29_pval	Removed?	Contaminant?
A1L170	C1orf226	2.74251341992644	0.0019765557817744	No	No
A3KMH1	VWA8	1.99739773880218	0.0028150020702838	No	No
A6NDB9	PALM3	6.46586276745658	8.71343672263038e-05	No	No
A6NHR9	SMCHD1	2.12782686466462	4.95844037601835e-05	No	No
A8MQ03	CYSRT1	2.68329968645094	0.0039967459552318	No	No
A8MXV4	NUDT19	3.73461138161832	0.0024321171169165	No	No
E9PRG8	C11orf98	3.00990690855492	2.38550359766493e-08	No	No
O00151	PDLIM1	1.98721733263271	3.5668864526046996e-12	No	No
O00165	HAX1	2.44670776072476	0.0003191094250751	No	No
O00219	HAS3	10.8210937613341	1.4233686542133701e-15	No	No
O00238	BMPR1B	2.23896270217204	1.5800463217423e-08	No	No
O00268	TAF4	2.77418021872974	0.0013073508200482	No	No
O00300	TNFRSF11B	4.71901437626722	1.00790207179378e-10	No	No
O00330	PDHX	3.90513302710543	4.42709850058245e-06	No	No
O00425	IGF2BP3	1.9239918469771	3.78983075970114e-17	No	No
O00458	IFRD1	2.9463382266829	4.18565840129437e-05	No	No
O00468	AGRN	2.49308412845308	5.77201263643027e-08	No	No
O00469	PLOD2	4.76248641538912	1.4503657515689599e-12	No	No
O00541	PES1	2.59294277068298	1.76915186867449e-06	No	No
O00592	PODXL	3.38056889836682	1.47041810609931e-12	No	No
O00622	CCN1	7.4678307892373	8.24678637430521e-18	No	No
O00746	NME4	1.87521261556101	4.28490851705524e-06	No	No
O14523	C2CD2L	4.15112413052023	0.0008792575897809	No	No
O14657	TOR1B	2.15953259112386	2.72692667907146e-07	No	No
O14686	KMT2D	3.3115476150302	3.80858241202866e-06	No	No
O14786	NRP1	3.88107101346418	2.52861089782359e-18	No	No
O14874	BCKDK	1.8423867994975	0.0014458019965363	No	No
O14879	IFIT3	2.87058040219622	2.95296831596594e-13	No	No
O14944	EREG	2.40755678954319	4.20157207695815e-11	No	No
O15091	PRORP	3.35083341600045	8.77656915011787e-09	No	No
O15213	WDR46	3.19546143727224	2.94628943773202e-05	No	No
O15226	NKRF	4.83070242407946	3.45011390110316e-06	No	No
O15235	MRPS12	1.94064545347857	0.0002239195910467	No	No
O15269	SPTLC1	2.0879057292553	1.55093500212911e-10	No	No
O15270	SPTLC2	3.72021685618809	9.8530266047976e-05	No	No
O15381	NVL	2.23943714702101	0.0016307821298418	No	No
O15382	BCAT2	2.69406085764643	0.0002661033351182	No	No
O15403	SLC16A6	1.90675817891565	0.0008460080377115	No	No
O15427	SLC16A3	2.40315753636818	8.41996106388097e-20	No	No
O15446	POLR1G	2.95678158393039	6.58159094537847e-07	No	No
O15460	P4HA2	2.19735630413663	2.99754545561627e-08	No	No
O15550	KDM6A	2.48627390473586	0.0020610417982876	No	No
O15554	KCNN4	3.01137044474011	1.22937777287293e-06	No	No
O43156	TTI1	2.31965857988416	0.0019121284302978	No	No
O43159	RRP8	2.3970355682366	0.0006135619375528	No	No
O43169	CYB5B	2.43043491980368	1.84552953411929e-07	No	No
O43194	GPR39	3.64479922507869	7.045520220764021e-20	No	No
O43281	EFS	2.77926824056764	1.26319924880021e-05	No	No
O43451	MGAM	4.50318206367483	7.87531837761687e-23	No	No
O43464	HTRA2	2.45211502188616	7.63794544771512e-07	No	No
O43490	PROM1	2.43252172227741	3.61761817207389e-07	No	No
O43520	ATP8B1	4.51017629947768	8.38284407461499e-11	No	No
O43610	SPRY3	2.2134854856773	2.75757566273238e-05	No	No
O43615	TIMM44	2.21812455207513	3.12952863507979e-06	No	No
O43688	PLPP2	2.78469724890507	5.09585830318481e-13	No	No
O43736	ITM2A	1.84884386283244	6.52738144901241e-09	No	No
O43826	SLC37A4	2.51640534275711	0.002718150139753	No	No
O43854	EDIL3	4.45071480450811	2.43607801366582e-17	No	No
O60287	URB1	3.83691262438493	0.0013073312776302	No	No
O60427	FADS1	2.4119978658551	7.77479217067024e-12	No	No
O60565	GREM1	7.13312901912134	1.2476636605070401e-15	No	No
O60687	SRPX2	5.82244214353605	9.033796104534161e-14	No	No
O60934	NBN	1.77646954500552	0.0001830228664136	No	No
