Protein_Group	Genes	SK-Mel-147_vs_HIM-ST_logFC	SK-Mel-147_vs_HIM-ST_pval	Removed?	Contaminant?
A1A4S6	ARHGAP10	2.60011030198903	2.90952907097448e-07	No	No
A1L020	MEX3A	6.78489506982089	3.54057297221087e-23	No	No
A1L170	C1orf226	6.57593764386919	4.750216170954031e-09	No	No
A5YM72	CARNS1	5.38080362400246	2.83674768565566e-07	No	No
A6ND36	FAM83G	3.41484023178298	0.0040544684728047	No	No
A6NMK8	INSYN2B	5.11801804481542	3.50109608829615e-13	No	No
A6NMZ7	COL6A6	6.71357435177712	7.220917357181411e-20	No	No
A8K2U0	A2ML1	7.86030297958775	2.25967859693887e-06	No	No
A8K7I4	CLCA1	5.652902057401	5.7251742298163705e-15	No	No
A8TX70	COL6A5	6.44401271705672	2.45020185814551e-19	No	No
B0I1T2	MYO1G	5.02251900866101	1.86011296159218e-10	No	No
B3KNS4	ERVK3-1	4.35895297551914	9.036046253964901e-11	No	No
B9A064	IGLL5	4.0523026828953	7.786923756635639e-18	No	No
C9JLW8	MCRIP1	6.27501591786109	2.16484533700993e-23	No	No
G3V523	LOC730098	3.50419710247531	1.2773633730280201e-14	No	No
H3BS89	TMEM178B	4.71150968128967	1.41107694935348e-14	No	No
H7BZ55	CROCC2	2.89175961089897	2.44575516950393e-05	No	No
O00187	MASP2	5.07330967247199	5.1787054404775e-15	No	No
O00192	ARVCF	3.05609475044776	6.55845980348654e-18	No	No
O00206	TLR4	8.90471500683641	7.37189812363639e-21	No	No
O00214	LGALS8	2.69822923046609	1.2820691381084002e-16	No	No
O00308	WWP2	3.04298285583586	3.6378938353156196e-22	No	No
O00338	SULT1C2	3.52602764595052	1.58238418563724e-12	No	No
O00401	WASL	2.71847968536022	3.58897082320872e-23	No	No
O00421	CCRL2	7.48123138230498	5.57852831003348e-28	No	No
O00425	IGF2BP3	4.18912315182708	9.845357531282001e-27	No	No
O00461	GOLIM4	3.00069330332526	1.15832947266785e-21	No	No
O00499	BIN1	3.58911365583907	3.92270354317329e-27	No	No
O00571	DDX3X	2.99723911423015	1.26693241593767e-23	No	No
O00592	PODXL	5.10191592871255	3.34829791787955e-17	No	No
O00762	UBE2C	3.36684433580172	2.4680282332801103e-19	No	No
O14493	CLDN4	8.29591271351492	2.1781764205144102e-35	No	No
O14524	NEMP1	2.90293403361002	1.46806933102626e-10	No	No
O14545	TRAFD1	4.96007425262394	1.4423904353806002e-24	No	No
O14559	ARHGAP33	7.3173757131186	2.5223252798722e-20	No	No
O14613	CDC42EP2	5.03746678736547	1.69068911815298e-07	No	No
O14668	PRRG1	3.45891622202569	2.05957249231754e-12	No	No
O14717	TRDMT1	4.52142616054372	1.70786832660481e-05	No	No
O14757	CHEK1	3.39805395666052	3.65810766677205e-20	No	No
O14786	NRP1	5.20748095026824	6.5917112769785395e-22	No	No
O14917	PCDH17	5.89631771794498	7.2190529565734e-12	No	No
O15027	SEC16A	2.98415733192932	5.38088422159432e-18	No	No
O15037	KHNYN	2.96519012852984	8.4181228475368e-21	No	No
O15056	SYNJ2	6.39905827333548	6.82046276090727e-27	No	No
O15063	GARRE1	5.4328465345431	1.37218299253095e-17	No	No
O15198	SMAD9	2.64244577828126	5.75362864164275e-08	No	No
O15231	ZNF185	7.07277776123773	3.79484157850577e-14	No	No
O15234	CASC3	8.40149636310622	9.62460525768756e-18	No	No
O15344	MID1	2.855460286303	1.91739012070364e-23	No	No
O15504	NUP42	7.49005032970353	1.04725248031471e-14	No	No
O15514	POLR2D	6.04639382293143	3.03864291114304e-07	No	No
O15554	KCNN4	5.60066117579914	2.99474326671193e-12	No	No
O43164	PJA2	3.06521567953864	1.0749718052763601e-14	No	No
O43184	ADAM12	3.76904169387769	7.14473244000661e-15	No	No
O43194	GPR39	5.53552166917157	4.62969517683239e-25	No	No
O43300	LRRTM2	5.20299091381209	3.95998181264183e-08	No	No
O43482	OIP5	2.73260759645728	0.0003660354929422	No	No
O43490	PROM1	2.77920460914213	2.98001277667945e-08	No	No
O43516	WIPF1	3.61007143550361	1.0686707675437201e-14	No	No
O43561	LAT	7.24272110926399	3.6689555345195603e-19	No	No
