Protein_Group	Genes	WM793_vs_FMC29_logFC	WM793_vs_FMC29_pval	Removed?	Contaminant?
A0FGR8	ESYT2	2.62032359395487	3.39511123580574e-20	No	No
A1L170	C1orf226	8.49728423724715	1.58026920530013e-11	No	No
A1L429;A6NDE8;A6NER3;O76087;P0CL80;P0CL81;P0CL82;P0DSO3;P0DTW1;Q4V321;Q4V326;Q13069;Q13070	GAGE1;GAGE12B;GAGE12F;GAGE12G;GAGE12H;GAGE12I;GAGE12J;GAGE13;GAGE2E;GAGE4;GAGE5;GAGE6;GAGE7	11.0065007637755	3.69638504636356e-40	No	No
A1L4H1	SSC5D	4.70535443431145	0.0002648509655158	No	No
A5PLL7	PEDS1	3.72606258550944	0.0031243177423044	No	No
A5YM72	CARNS1	4.65052103112134	3.37646809603338e-06	No	No
A6NCL7	ANKRD33B	5.83822089298004	2.2912088178666198e-12	No	No
A6NE02	BTBD17	2.86574792969954	0.0033177224108757	No	No
A6NFQ2	TCAF2	7.14204554407932	9.22833381052928e-16	No	No
A6NMZ7	COL6A6	6.31902585051722	3.91983848793795e-19	No	No
A8CG34	POM121C	3.73523480758401	9.73652789489341e-06	No	No
A8K7I4	CLCA1	4.43683984595082	2.60386125660669e-12	No	No
A8MQ03	CYSRT1	6.55396860223211	1.79321078604767e-08	No	No
A8MXV4	NUDT19	3.83799752412112	0.0019136844190252	No	No
A8TX70	COL6A5	6.30889776224121	4.42075275972309e-19	No	No
B0FP48;E5RIL1	UPK3BL1;UPK3BL2	3.42730950819305	1.00648986979962e-07	No	No
B0I1T2	MYO1G	4.15290719109092	1.09429176206466e-08	No	No
B2RBV5	MRFAP1L2	3.81636101226535	0.0048172073755691	No	No
B3KNS4	ERVK3-1	2.45605413406812	5.93868940807597e-06	No	No
B3KU38;P0DPB3	IQCJ-SCHIP1;SCHIP1	3.822977200109	0.0009300293518906	No	No
B4DS77	SHISA9	9.25603733787941	4.66361828692288e-32	No	No
B9A064	IGLL5	3.7750594226492	5.37178350500232e-17	No	No
E9PRG8	C11orf98	3.79249835443206	1.77454612064061e-10	No	No
F5H4A9	C3orf80	5.8844377639499	3.0830485534335003e-15	No	No
H7BZ55	CROCC2	3.8170312258627	2.85753945440747e-07	No	No
O00144	FZD9	2.68394623366037	3.4863496569606e-06	No	No
O00187	MASP2	2.88169414969613	3.6962457609801305e-09	No	No
O00206	TLR4	4.66989773300477	2.63115839009407e-13	No	No
O00219	HAS3	6.9878919365282	7.50154806244896e-11	No	No
O00254	F2RL2	9.97432280088052	1.99891743618492e-32	No	No
O00300	TNFRSF11B	2.79345418729887	2.94460272426719e-06	No	No
O00330	PDHX	6.29188734700589	5.18145080381727e-10	No	No
O00338	SULT1C2	2.58692766153233	1.95046471711047e-09	No	No
O00458	IFRD1	4.985187367499	4.918405600794791e-09	No	No
O00461	GOLIM4	2.64261241741698	4.20774066694769e-20	No	No
O00468	AGRN	3.38650964282472	9.01938616368199e-11	No	No
O00469	PLOD2	4.95588579797495	5.43032341849352e-13	No	No
O00512	BCL9	3.36461124940503	0.0006623277393822	No	No
O00541	PES1	3.28295688022748	2.43441397075624e-08	No	No
O00592	PODXL	9.86618252410365	2.70701682428121e-25	No	No
O00762	UBE2C	2.35166295424132	4.1651379253332204e-15	No	No
O14495	PLPP3	2.37854812010415	1.0938452964183e-15	No	No
O14523	C2CD2L	3.23396987361656	0.0072954291881768	No	No
O14524	NEMP1	2.80850218395733	3.08503606056007e-10	No	No
O14569	CYB561D2	2.38675073458553	3.7208725188760597e-13	No	No
O14613	CDC42EP2	4.23499850296425	3.33580951469821e-06	No	No
O14657	TOR1B	3.10147907911618	1.69224376966777e-10	No	No
O14734	ACOT8	2.81732572265021	0.0026335723318121	No	No
O14786	NRP1	6.05003889613829	8.97853236261663e-24	No	No
O14917	PCDH17	6.3987832339283	9.903388622296e-13	No	No
O15056	SYNJ2	3.84403339629804	1.56968763394108e-20	No	No
O15061	SYNM	6.95833160195869	1.34668352314659e-15	No	No
O15068	MCF2L	2.70888030936532	9.90798032729987e-08	No	No
O15105	SMAD7	5.6718909000165	1.16987404467768e-11	No	No
O15165	LDLRAD4	3.26586047270071	4.14821052282703e-10	No	No
O15226	NKRF	3.33743455814663	0.0004682172050538	No	No
O15240	VGF	2.98430505576708	2.20504654575269e-07	No	No
O15269	SPTLC1	4.04324158105138	8.13043563637163e-18	No	No
O15270	SPTLC2	3.33602820232071	0.0003562972371801	No	No
O15354	GPR37	3.59376685524393	1.13337110853377e-12	No	No
O15427	SLC16A3	3.56410592750501	1.1066614116472e-24	No	No
O15466	ST8SIA5	3.93410592979635	5.71089692078102e-08	No	No
