Protein_Group	Genes	Protein_Names	HEK293T_WT_Avg_Peptide_Count	HEK293T_KI_Avg_Peptide_Count	U2OS_WT_Avg_Peptide_Count	U2OS_KI_Avg_Peptide_Count	Species	Intensity_HEK293T_WT_BR1_TR1	Intensity_HEK293T_KI_BR1_TR1	Intensity_U2OS_WT_BR1_TR1	Intensity_U2OS_KI_BR1_TR1
A0A075B5P5;A0A1Y7VJN6	Ighg3	A0A075B5P5_MOUSE;A0A1Y7VJN6_MOUSE	3.0	0.0	3.0	0.0	MOUSE	763114.25		889657.44	
A0A075B5U6;A0A075B5U7;A0A075B5V1;A0A075B5V2;A0A075B5V6;A0A075B5V7;A0A0A6YX66;A0A0A6YXN5;A0A0A6YY38	Ighv1-20	A0A075B5U6_MOUSE;A0A075B5U7_MOUSE;A0A075B5V1_MOUSE;A0A075B5V2_MOUSE;A0A075B5V6_MOUSE;A0A075B5V7_MOUSE;A0A0A6YX66_MOUSE;A0A0A6YXN5_MOUSE;A0A0A6YY38_MOUSE	2.0	2.0	2.0	2.0	MOUSE	3164332.0	2372817.5	4090820.5	2888816.2
A0A096LP01	SMIM26	SIM26_HUMAN	2.0	2.0	2.0	2.0	HUMAN	116559.06	152132.6	122521.32	78804.3
A0A0B4J1I0;A0A140T8M0	Igkv1-110	A0A0B4J1I0_MOUSE;A0A140T8M0_MOUSE	7.0	7.0	6.0	4.0	MOUSE	43562136.0	19126898.0	9198071.0	5659389.0
A0A0B4J2D5;P0DPI2	GATD3A	GAL3A_HUMAN;GAL3B_HUMAN	3.0	3.0	3.0	2.0	HUMAN	214488.08	298894.72	65619.08	120519.79
A0A0C4DH68	IGKV2-24	KV224_HUMAN	0.0	0.0	2.0	0.0	HUMAN			62712720.0	
A0A140T8M5	Igkv6-15	A0A140T8M5_MOUSE	3.0	3.0	3.0	3.0	MOUSE	2574681.2	2719535.5	2086058.9	2912268.8
A0A140T8M9	Igkv1-122	A0A140T8M9_MOUSE	4.0	5.0	5.0	5.0	MOUSE	52090296.0	36267920.0	48840336.0	51662420.0
A0A140TA62	gene	A0A140TA62_HUMAN	6.0	0.0	10.0	16.0	HUMAN	385230.53		704867.44	1317620.6
A0A3B3IRV3	MCTS2P	A0A3B3IRV3_HUMAN	2.0	2.0	2.0	2.0	HUMAN	148029.22	164667.28	329316.84	170250.19
A0A494C030	LOC114841035	A0A494C030_HUMAN	0.0	0.0	2.0	2.0	HUMAN			673538.56	1042500.6
A0AVF1	TTC26	IFT56_HUMAN	13.0	13.0	11.0	9.0	HUMAN	631199.06	549571.1	456900.9	354747.75
A0AVT1	UBA6	UBA6_HUMAN	14.0	11.0	14.0	13.0	HUMAN	230243.67	217884.52	224996.64	195514.75
A0FGR8	ESYT2	ESYT2_HUMAN	21.0	22.0	18.0	19.0	HUMAN	578764.94	560524.0	495195.5	530995.94
A0JNW5	UHRF1BP1L	UH1BL_HUMAN	4.0	3.0	4.0	3.0	HUMAN	75200.82	19144.104	36152.15	60377.582
A0MZ66	SHTN1	SHOT1_HUMAN	8.0	9.0	6.0	8.0	HUMAN	160913.77	154219.55	160233.58	158441.38
A0PK00	TMEM120B	T120B_HUMAN	0.0	0.0	2.0	2.0	HUMAN			34074.99	61403.1
A1A4S6	ARHGAP10	RHG10_HUMAN	0.0	0.0	3.0	3.0	HUMAN			81102.06	138102.48
A1L0T0	ILVBL	HACL2_HUMAN	12.0	13.0	14.0	13.0	HUMAN	528228.44	465241.53	830910.3	684187.1
A1L390	PLEKHG3	PKHG3_HUMAN	13.0	5.0	39.0	47.0	HUMAN	148485.7	188694.1	1496602.1	6695920.5
A1X283	SH3PXD2B	SPD2B_HUMAN	18.0	16.0	18.0	18.0	HUMAN	768512.56	738206.7	1309232.0	1578140.2
A2RRP1	NBAS	NBAS_HUMAN	4.0	2.0	3.0	2.0	HUMAN	45266.688	42544.87	46116.45	46556.645
A2RTX5	TARS3	SYTC2_HUMAN	4.0	5.0	4.0	2.0	HUMAN	73048.45	122867.734	57404.44	86283.78
A2RUB6	CCDC66	CCD66_HUMAN	5.0	5.0	3.0	3.0	HUMAN	131415.28	95227.97	59320.55	84336.25
A3KMH1	VWA8	VWA8_HUMAN	27.0	25.0	28.0	26.0	HUMAN	220622.73	230368.14	267126.3	278073.78
A3KN83	SBNO1	SBNO1_HUMAN	21.0	20.0	16.0	11.0	HUMAN	321656.9	373918.25	211365.19	185724.33
A4D1E9	GTPBP10	GTPBA_HUMAN	10.0	11.0	10.0	9.0	HUMAN	290304.1	396362.97	207637.1	239791.28
A4D1P6	WDR91	WDR91_HUMAN	4.0	5.0	3.0	3.0	HUMAN	267602.38	288291.12	185118.36	147371.94
A5PLN9	TRAPPC13	TPC13_HUMAN	3.0	3.0	2.0	3.0	HUMAN	740731.0	468864.12	403928.5	505390.4
A5YKK6	CNOT1	CNOT1_HUMAN	48.0	46.0	44.0	44.0	HUMAN	822677.06	928454.2	573511.1	714604.94
A6H8Y1	BDP1	BDP1_HUMAN	2.0	0.0	2.0	0.0	HUMAN	25686.451		50238.277	
A6NCE7;Q9GZQ8	MAP1LC3B2	MLP3B_HUMAN;MP3B2_HUMAN	4.0	4.0	4.0	4.0	HUMAN	2728067.0	1636872.8	3555274.8	3298454.0
A6ND36	FAM83G	FA83G_HUMAN	7.0	2.0	16.0	16.0	HUMAN	295836.3	367703.16	4224106.0	3561455.8
A6NDG6	PGP	PGP_HUMAN	5.0	6.0	3.0	4.0	HUMAN	387818.88	375892.38	133354.28	147414.61
A6NDU8	C5orf51	CE051_HUMAN	2.0	2.0	2.0	2.0	HUMAN	287690.88	332343.62	239152.16	217243.52
A6NGN9	IGLON5	IGLO5_HUMAN	0.0	0.0	2.0	2.0	HUMAN			153043.22	282120.9
A6NHR9	SMCHD1	SMHD1_HUMAN	21.0	23.0	33.0	30.0	HUMAN	425486.34	425014.44	793643.8	961487.4
A6NI28	ARHGAP42	RHG42_HUMAN	6.0	3.0	7.0	7.0	HUMAN	89417.0	57631.324	187132.67	199584.97
A6NIH7	UNC119B	U119B_HUMAN	3.0	3.0	3.0	3.0	HUMAN	208111.42	143849.31	139742.55	134937.05
A6NIX2	WTIP	WTIP_HUMAN	0.0	0.0	0.0	2.0	HUMAN				108435.23
A6NJ78	METTL15	MET15_HUMAN	11.0	11.0	11.0	10.0	HUMAN	448547.78	352349.6	410993.6	323134.9
A6NK58	LIPT2	LIPT2_HUMAN	2.0	0.0	0.0	0.0	HUMAN	114145.836			
A6NKD9	CCDC85C	CC85C_HUMAN	5.0	4.0	5.0	4.0	HUMAN	711097.0	767714.94	568138.5	814992.25
A6NKF1	SAC3D1	SAC31_HUMAN	0.0	2.0	3.0	3.0	HUMAN		183831.1	425993.84	324828.88
A6NLU0	RFPL4A	RFPLA_HUMAN	0.0	0.0	4.0	5.0	HUMAN			313304.9	534127.25
A7E2V4	ZSWIM8	ZSWM8_HUMAN	2.0	2.0	6.0	12.0	HUMAN	113286.75	120779.19	175970.67	373098.97
A8K2U0	A2ML1	A2ML1_HUMAN	4.0	23.0	15.0	3.0	HUMAN	137813.11	1310264.0	193473.2	129199.336
A8MTT3	CEBPZOS	CEBOS_HUMAN	2.0	2.0	2.0	3.0	HUMAN	239736.52	204726.05	296367.97	236590.92
A8MU93	C17orf100	CQ100_HUMAN	3.0	2.0	3.0	3.0	HUMAN	171534.52	162744.42	142115.47	213136.42
A8MVW0	FAM171A2	F1712_HUMAN	0.0	0.0	2.0	0.0	HUMAN			39473.562	
A8MW92	PHF20L1	P20L1_HUMAN	6.0	5.0	5.0	6.0	HUMAN	187143.56	141129.66	565621.9	339380.97
A8MWD9;P62308	SNRPGP15	RUXGL_HUMAN;RUXG_HUMAN	5.0	5.0	5.0	6.0	HUMAN	12633477.0	12204771.0	11290831.0	11838043.0
A8MXV4	NUDT19	NUD19_HUMAN	2.0	0.0	0.0	0.0	HUMAN	86324.98			
A9UHW6	MIF4GD	MI4GD_HUMAN	6.0	5.0	7.0	7.0	HUMAN	242571.48	212741.3	540881.0	551509.25
B0YJ81	HACD1	HACD1_HUMAN	0.0	0.0	3.0	2.0	HUMAN			50320.785	23673.293
B2RBV5	gene	MRUPP_HUMAN	2.0	2.0	0.0	0.0	HUMAN	369078.25	449170.0		
B2RTY4	MYO9A	MYO9A_HUMAN	3.0	0.0	8.0	8.0	HUMAN	171852.2		189004.55	213054.94
