Protein_Group	Genes	WT_vs_Chr9TERRA_KO_logFC	WT_vs_Chr9TERRA_KO_pval	Removed?	Contaminant?
A0A1L1SSL7;A0A1L1SQN1	Zbtb44	1.16403123493422	0.0019618576894535	No	No
A0A5H1ZRM6	Mitf	3.4054885366517	0.0029280412257494	No	No
D3Z1C6	Dennd2a	3.26693248620243	0.0001627732065249	No	No
D6RI51	Treh	1.76277619062489	7.54993742471251e-08	No	No
E9Q2S7	Zfp266	3.56334509986972	0.0079346813947875	No	No
E9Q5Y1;F8WHX0	Clk2	2.04660283644836	0.0004162384101299	No	No
F6Q1R4	Cul7	1.18873970891778	0.0026162006867235	No	No
F6RQ10	Ttf2	3.09817668691596	0.0031781988658935	No	No
F6W741	Mtmr14	2.13749516588254	0.0046828676249284	No	No
F8VPJ7;U5KVR9	Cep63	5.81456596324821	0.0052213853663255	No	No
Q3TWH3	Pnrc1	4.82677500943877	0.003110285242864	No	No
Q4V9V3	Elovl1	1.64787745307348	0.0087437374726842	No	No
Q8VGB9	Or1f19	1.79504164090211	0.000743201712643	No	No
A0A0M3HEP7	Atp8a1	-2.12544423933063	0.0025223611065549	No	No
A0A0R4J1V6	Hipk1	-4.57857280537387	0.0077317199920162	No	No
A0A1B0GT62	Polb	-1.22679380943902	0.004077193836797	No	No
A0A1N9PTV1	Fbrs	-1.77947937251813	0.0056954353337953	No	No
A0A1W2P7C1	Ncoa1	-1.82117565839222	0.0067441838473305	No	No
D3Z482	Ankrd26	-5.99097240996008	0.0052134175892983	No	No
E9Q4D0;F6XJP7	Pcsk6	-1.34178133800335	0.0039557424925084	No	No
F6UD16	Itga3	-1.26755440525528	0.008548977781241	No	No
F6YR29	Nisch	-3.52940468367831	1.02706390991334e-07	No	No
G3UZB0;F6V0H0	Pagr1a;Pagr1b	-2.06902405809499	0.0055760907602116	No	No
Q5ND05	Mtmr4	-1.27665716523767	0.0018830390119401	No	No
