Protein_Group	Genes	AURKA_dox+_vs_AURKA_dox-_logFC	AURKA_dox+_vs_AURKA_dox-_pval	Removed?	Contaminant?
O43427	FIBP	-10.2086557617153	1.87257388926306e-07	No	No
P00450	CP	-8.0131772674105	5.95121437809594e-10	No	No
P01009	SERPINA1	-8.86279847212684	6.630860879624849e-11	No	No
P01011	SERPINA3	-5.85487213451049	8.399494285773031e-09	No	No
P01024	C3	-7.53246539984701	1.78063037116587e-07	No	No
P01833	PIGR	-6.98378146826393	3.05603500159653e-08	No	No
P01859	IGHG2	-7.06617157204547	6.183296164307261e-09	No	No
P01871	IGHM	-8.01682649366075	4.6945577159816204e-09	No	No
P01876	IGHA1	-7.48316049178727	1.42892531092754e-13	No	No
P02671	FGA	-7.19447922346421	5.93834502527111e-07	No	No
P02675	FGB	-6.95772951953764	1.66965270108192e-07	No	No
P05155	SERPING1	-7.32307629814774	2.2327287402908203e-09	No	No
P22352	GPX3	-5.6304730423566	5.43077534537052e-09	No	No
P32754	HPD	-12.5779679867133	2.52270677909868e-26	No	No
P62330	ARF6	-5.99163959519889	3.54662077525608e-14	No	No
Q02383	SEMG2	-6.58651669119461	2.58761453580094e-10	No	No
Q5TA45	INTS11	-6.93159487257898	1.81778044245756e-06	No	No
Q6PEY2	TUBA3E	-5.8676700441764	2.00655327374204e-10	No	No
Q7Z3J2	VPS35L	-6.51945156919541	1.73754626927483e-07	No	No
Q86UW9	DTX2	-6.72725514692862	5.726134702572131e-09	No	No
Q8NI60	COQ8A	-7.70047824770247	5.50548967250909e-12	No	No
Q8TEQ0	SNX29	-7.17794365175089	1.50544834352117e-07	No	No
Q96DA0	ZG16B	-5.64152616978492	2.0862398981440997e-12	No	No
Q96S15	WDR24	-5.8009021904894	5.51914057590181e-10	No	No
Q9BVL4	SELENOO	-7.44869270726485	1.7251157418824902e-09	No	No
Q9H845	ACAD9	-5.96747991687753	2.99601007403743e-09	No	No
Q9UGM3	DMBT1	-6.3833323628152	2.98806260015672e-12	No	No
Q9UHJ6	SHPK	-7.94515332985597	5.80044217916587e-05	No	No
Q9ULA0	DNPEP	-7.84954617997332	1.28251685801857e-07	No	No
Q9ULH0	KIDINS220	-6.611450936744	3.17407018490387e-10	No	No
