Protein_Group	Genes	AURKA_dox+_vs_IgG_dox+_logFC	AURKA_dox+_vs_IgG_dox+_pval	Removed?	Contaminant?
A2AJT9	BCLAF3	2.48352935946401	9.21113004860266e-05	No	No
A6NFI3	ZNF316	2.70533834102395	5.17090064504944e-05	No	No
A7E2V4	ZSWIM8	4.07145043784856	5.19190091833553e-06	No	No
E9PRG8	C11orf98	2.6570076306354	6.64384425400947e-07	No	No
O00178	GTPBP1	2.20813959559428	2.63207063566976e-06	No	No
O00257	CBX4	3.5621044671045	1.80897910020207e-13	No	No
O00411	POLRMT	2.31447929602957	0.0002678198211782	No	No
O00423	EML1	4.29013374764804	1.13075486478176e-06	No	No
O00468	AGRN	3.52170588554949	0.0010600469551914	No	No
O00541	PES1	2.15959395319906	8.58047933132558e-06	No	No
O00562	PITPNM1	4.26103179865034	2.86818137836796e-11	No	No
O00566	MPHOSPH10	3.98271357709585	6.47983698872084e-08	No	No
O00567	NOP56	2.02045025759345	2.7776265075149e-05	No	No
O00622	CCN1	3.16810653404173	9.86320494656513e-06	No	No
O00743	PPP6C	2.1828863161518	4.44346910973049e-08	No	No
O14523	C2CD2L	4.11520577090583	4.85387082912373e-08	No	No
O14640	DVL1	2.86936577409557	0.0001834956103191	No	No
O14646	CHD1	1.99178875666545	0.0040175026019649	No	No
O14647	CHD2	1.91004086228639	0.0001632528043486	No	No
O14802	POLR3A	3.33619162155287	4.57789716764396e-08	No	No
O14924	RGS12	5.4315848084173	0.0005536611854539	No	No
O14965	AURKA	6.41270777981696	4.77814990182345e-19	No	No
O15040	TECPR2	4.0458844595716	6.164974391305809e-11	No	No
O15042	U2SURP	3.8327535958656	4.8468906133893105e-14	No	No
O15116	LSM1	1.96838620098166	0.0007725521069186	No	No
O15160	POLR1C	2.58247696194041	2.55446680454757e-10	No	No
O15169	AXIN1	2.44091851180228	0.0001033420280213	No	No
O15213	WDR46	3.52270244200821	7.29154867700045e-08	No	No
O15234	CASC3	3.65796386957434	6.71602908938775e-07	No	No
O15235	MRPS12	3.55840169484891	1.7184617030540899e-12	No	No
