Protein_Group	Genes	AURKA_dox-_vs_IgG_dox-_logFC	AURKA_dox-_vs_IgG_dox-_pval	Removed?	Contaminant?
A1L020	MEX3A	2.89207503739901	2.61174609987443e-06	No	No
A2AJT9	BCLAF3	2.00822988209546	0.0010030406129712	No	No
A8K2U0	A2ML1	2.84766997918409	0.0005362713132662	No	No
A8K855	EFCAB7	1.80570685347826	2.65132668225472e-07	No	No
C9JLW8	MCRIP1	1.99536238598441	9.46180327595496e-05	No	No
E9PRG8	C11orf98	2.9844821260926	7.84741596401113e-08	No	No
O00178	GTPBP1	2.05753566095294	8.03701644539027e-06	No	No
O00257	CBX4	3.97094806205241	1.05682156495286e-14	No	No
O00268	TAF4	2.13559237970868	0.0008988919854462	No	No
O00391	QSOX1	2.74186081820907	0.0001913087655225	No	No
O00400	SLC33A1	2.20540019861425	0.0099496459557121	No	No
O00411	POLRMT	2.47951428490099	0.0001175939565348	No	No
O00423	EML1	6.97660449453407	5.424584142614179e-11	No	No
O00488	ZNF593	3.32885670465126	0.0001855025825416	No	No
O00562	PITPNM1	4.63917399864778	3.65698301186554e-12	No	No
O00566	MPHOSPH10	3.16574039589107	3.76331880288441e-06	No	No
O00622	CCN1	2.35077441687048	0.0004631238559205	No	No
O14497	ARID1A	2.37061088654824	0.0003599080580674	No	No
O14523	C2CD2L	4.31404275516669	1.89919402837654e-08	No	No
O14640	DVL1	2.58511589478698	0.0005904648210598	No	No
O14647	CHD2	1.79730618935663	0.0003312846445454	No	No
O14757	CHEK1	2.50369180900141	7.28416196676144e-05	No	No
O14802	POLR3A	2.78091400194837	1.2810368245528e-06	No	No
O14924	RGS12	4.66922428728732	0.0023718451386103	No	No
O14965	AURKA	6.5560187686325	2.5417515523401303e-19	No	No
O15014	ZNF609	2.95326747274966	8.27767125999848e-05	No	No
O15040	TECPR2	4.47427338615076	5.52328127861866e-12	No	No
O15042	U2SURP	3.68153196654058	1.37812826970721e-13	No	No
O15116	LSM1	3.36265927773224	4.43169154849271e-07	No	No
O15118	NPC1	1.67554202814736	0.0001076543305182	No	No
O15160	POLR1C	2.31803093357545	2.77922896203218e-09	No	No
O15169	AXIN1	3.84729767634619	7.3597758680764e-08	No	No
O15213	WDR46	2.49823111974747	2.31138743870136e-05	No	No
O15230	LAMA5	5.0564596509945	3.66216782512791e-05	No	No
O15234	CASC3	3.51534739563507	1.33267066439248e-06	No	No
O15235	MRPS12	3.83859466754121	2.53052380950474e-13	No	No
O15360	FANCA	2.43185156509786	0.0089255420735139	No	No
O15392	BIRC5	3.5641324938539	2.44227857373971e-06	No	No
O15446	POLR1G	2.80196923238014	8.22515403633317e-07	No	No
O15516	CLOCK	3.26319422281284	4.39326222660799e-08	No	No
O15550	KDM6A	4.21162982249582	9.10664714121037e-06	No	No
O43143	DHX15	2.57881068194519	3.8104858882555806e-09	No	No
O43159	RRP8	1.99922920697355	0.000321528284922	No	No
O43379	WDR62	2.4266793712473	5.1502183145655e-08	No	No
O43432	EIF4G3	1.65639761041797	4.08359679348067e-06	No	No
O43463	SUV39H1	4.17440800299451	0.0024519827460572	No	No
O43660	PLRG1	2.52674856402593	1.50361019807444e-10	No	No
O43683	BUB1	2.18537431335282	4.49884070674493e-07	No	No
O43791	SPOP	4.04547099635438	5.2334615565218397e-11	No	No
O43818	RRP9	2.5798530580762	2.56504653512198e-07	No	No
O60281	ZNF292	2.32204264038176	0.0032246040013964	No	No
O60293	ZFC3H1	5.18842381967496	4.8027098334209e-08	No	No
O60336	MAPKBP1	1.96581114387692	1.33415003406349e-06	No	No
O60524	NEMF	1.81348480504889	3.4095101902903e-05	No	No
O60832	DKC1	1.92003618420149	9.97481655007311e-05	No	No
O60870	KIN	2.54749218748804	7.54158717284981e-06	No	No
O60927	PPP1R11	3.50416354105076	0.001190427285509	No	No
O60930	RNASEH1	3.4266951046399	0.0016359964579663	No	No
O75122	CLASP2	2.29057172133387	6.06924938160039e-10	No	No
O75127	PTCD1	3.55275591904061	1.0440667888022301e-09	No	No
O75152	ZC3H11A	2.39560929166208	2.74427355777189e-06	No	No
O75153	CLUH	5.45926613003322	4.1518211970760703e-20	No	No
O75167	PHACTR2	5.43661579191	2.93764054972922e-10	No	No
O75342	ALOX12B	3.60606725039829	4.0209107624114e-06	No	No
O75410	TACC1	2.04073102003093	2.62242795584348e-05	No	No
O75529	TAF5L	1.89522291696755	0.002891317015282	No	No
O75530	EED	3.18514379610017	0.0059458005570059	No	No
O75533	SF3B1	3.53145453260023	1.4039662264443299e-11	No	No
O75554	WBP4	3.61005807953359	0.0022169773479712	No	No
O75575	CRCP	4.92573432486816	3.11857801528819e-11	No	No
O75683	SURF6	2.19504261222542	1.95336742282113e-06	No	No
O75691	UTP20	1.78881026369323	0.0032263056938124	No	No
O75817	POP7	2.83452721589541	7.55881602138311e-06	No	No
O75909	CCNK	2.63699028052119	0.0011838188792122	No	No
O75934	BCAS2	3.4766424690297	4.80702119073816e-12	No	No
O75940	SMNDC1	2.7991226010568	2.85046674986928e-07	No	No
O76021	RSL1D1	1.7379004961245	0.0001845835288516	No	No
O94915	FRYL	2.18984248741336	4.96098675077735e-09	No	No
O95067	CCNB2	4.22726690622472	6.58640399511253e-07	No	No
O95084	PRSS23	3.08273126439709	0.0005282067073283	No	No
O95229	ZWINT	2.58486367208658	0.0013277524670698	No	No
O95232	LUC7L3	2.69220592522322	1.59107081088236e-06	No	No
O95243	MBD4	2.34516518927109	0.0013503333985302	No	No
O95295	SNAPIN	2.69194508910065	0.0001067816161537	No	No
O95363	FARS2	2.32650563225953	5.72723790050933e-06	No	No
O95391	SLU7	2.09747271964692	6.03564053557697e-05	No	No
O95445	APOM	3.18647551435934	1.92278913871509e-07	No	No
O95453	PARN	1.89208467085964	5.07288884157601e-05	No	No
O95478	NSA2	2.49784773459343	7.67620198847085e-05	No	No
O95503	CBX6	6.8173259296633	1.02310176592623e-14	No	No
O95625	ZBTB11	2.97944993916051	0.0013824812335685	No	No
O95793	STAU1	1.98736550173231	2.07315532832318e-11	No	No
O95900	TRUB2	2.98450215347929	1.18681969159147e-05	No	No
O95985	TOP3B	3.11065197740222	1.8404258760953002e-10	No	No
O96013	PAK4	3.70328493450244	3.15899453463954e-13	No	No
O96028	NSD2	2.11124898071137	0.0024577001782927	No	No
P00734	F2	5.19604649143718	2.31294599154615e-06	No	No
P00747	PLG	4.94765889616741	4.17174450308227e-11	No	No
P01011	SERPINA3	2.60624258238812	0.0006634064515828	No	No
P01031	C5	4.80363948778247	1.14136173649421e-07	No	No
P01034	CST3	2.40620763629012	9.53725351694943e-05	No	No
P02748	C9	2.40835795719234	0.0034395845136813	No	No
P04040	CAT	4.63782900941691	2.15533228395331e-14	No	No
