Protein_Group	Genes	AURKA_dox+_vs_AURKA_dox-_logFC	AURKA_dox+_vs_AURKA_dox-_pval	Removed?	Contaminant?
O14924	RGS12	5.4315848084173	0.0005536610619368	No	No
O14965	AURKA	6.41270777981696	4.778140519476431e-19	No	No
O15392	BIRC5	5.21119978512583	1.7040921933385701e-09	No	No
O43164	PJA2	4.55429269065233	0.0002815289575908	No	No
O60293	ZFC3H1	4.45468585615876	8.03956324373396e-07	No	No
O75167	PHACTR2	6.73775305588432	1.7631735173006599e-12	No	No
O75362	ZNF217	4.85311322616929	2.20678230618404e-06	No	No
O75530	EED	4.42146173983127	0.000278155441019	No	No
O75554	WBP4	6.40666880473147	1.57841445502201e-06	No	No
O95229	ZWINT	5.95203591006771	3.767721224979121e-09	No	No
P07358	C8B	7.51922994984942	1.4248306101143199e-18	No	No
P10643	C7	5.15661803766187	1.00485524877643e-13	No	No
P32519	ELF1	6.94559917095734	1.89081760462101e-05	No	No
P35226	BMI1	6.94940041652964	5.3755113699715595e-18	No	No
P35556	FBN2	6.47591279220335	1.20607737303108e-10	No	No
P41440	SLC19A1	7.53552177951466	7.940603524537551e-17	No	No
P52741	ZNF134	4.54904994751225	9.8905462939194e-08	No	No
P54253	ATXN1	4.45713650028172	3.22558234933554e-10	No	No
P78312	FAM193A	6.00854040077774	6.354001289161761e-09	No	No
P78316	NOP14	4.59297661451622	1.2642526878456e-08	No	No
P78364	PHC1	5.3344049465586	6.265444184325171e-17	No	No
P98175	RBM10	8.10184292219429	1.9310842012348e-21	No	No
Q01201	RELB	5.44423526169858	3.6690142942430895e-12	No	No
Q02086	SP2	5.43044551788531	1.85007085067682e-18	No	No
Q08AD1	CAMSAP2	5.59354775504163	2.36876607967758e-19	No	No
Q12857	NFIA	4.55305803841073	4.48676996948887e-06	No	No
Q12872	SFSWAP	5.32770645591086	6.75943335584636e-13	No	No
Q13275	SEMA3F	5.45099003682968	6.80714806275583e-05	No	No
Q13415	ORC1	5.92006902785134	3.36267725781213e-07	No	No
Q14135	VGLL4	5.57375612424422	1.29094641273397e-10	No	No
Q14444	CAPRIN1	6.08164770996614	9.84794293025323e-21	No	No
Q14CB8	ARHGAP19	5.09789149753166	1.34111446671897e-07	No	No
Q2TAL8	QRICH1	6.42182471616091	4.25823053103131e-19	No	No
Q5PRF9	SAMD4B	4.70833212186895	2.01992047475223e-10	No	No
Q5TAT6	COL13A1	5.21400091474422	3.1579746800101704e-09	No	No
Q6IQ16	SPOPL	6.38867537911343	1.44040402446573e-13	No	No
Q6T4R5	NHS	4.69438912295837	5.3835933179824796e-11	No	No
Q6UB99	ANKRD11	4.76804350680599	0.0003663907581881	No	No
Q70CQ4	USP31	4.47448680739118	1.53723168888526e-07	No	No
Q7KZ85	SUPT6H	4.40609446469112	7.41097663089421e-11	No	No
Q7Z589	EMSY	6.60104008166595	0.0011101478505884	No	No
Q86TS9	MRPL52	6.32598708383	5.92368527352942e-17	No	No
Q86UT8	CENATAC	7.67870235604606	4.0246188000885904e-17	No	No
Q86VZ6	JAZF1	8.82388134324561	2.73100939441051e-06	No	No
Q86X76	NIT1	7.04022622303744	9.0570993421789e-16	No	No
Q86YH2	ZNF280B	4.57875535585007	0.0009019262570653	No	No
Q86Z20	CCDC125	5.55184265828145	6.0441909715040295e-18	No	No
Q8IWB9	TEX2	6.37735255721666	8.903830289839501e-11	No	No
Q8IWY9	CDAN1	6.03052175022044	7.945823252059641e-15	No	No
Q8IWZ8	SUGP1	4.56640319672944	1.2925433898612701e-10	No	No
Q8IX12	CCAR1	6.20828496808226	4.86920511035676e-21	No	No
Q8IY57	YAF2	4.63388884739525	3.5441680436016096e-12	No	No
Q8N567	ZCCHC9	6.86079843355617	3.35492785811694e-13	No	No
Q8N5I2	ARRDC1	4.77828054797536	4.74510344038365e-08	No	No
Q8N954	GPATCH11	5.49470105171312	4.458153609659891e-15	No	No
Q8N983	MRPL43	4.42189271032668	1.77270162963737e-18	No	No
Q8N9N5	BANP	6.23530878188373	3.3226157131995203e-19	No	No
Q8NEF9	SRFBP1	4.97348072930585	6.08345053712339e-10	No	No
Q8TAD8	SNIP1	5.11464594674599	1.83815136211365e-15	No	No
Q8TEW8	PARD3B	5.74676539665469	8.92432409474114e-06	No	No
Q92794	KAT6A	5.2240620425469	2.57900404942946e-08	No	No
Q92870	APBB2	5.28910554354286	3.9083016161242296e-12	No	No
Q96C92	ENTR1	4.69215917899054	6.59511980504192e-14	No	No
Q96CG3	TIFA	6.54444559854185	1.0068638520977399e-11	No	No
Q96DU7	ITPKC	5.74420967815676	4.6023073310202006e-10	No	No
Q96E29	MTERF3	4.46458746390717	9.89225531023787e-11	No	No
