Protein_Group	Genes	IgG_dox+_vs_IgG_dox-_logFC	IgG_dox+_vs_IgG_dox-_pval	Removed?	Contaminant?
O00257	CBX4	3.97094806205241	1.05681971077427e-14	No	No
O00423	EML1	6.97660449453407	5.424579628550959e-11	No	No
O00562	PITPNM1	4.63917399864778	3.65697885996872e-12	No	No
O14523	C2CD2L	4.31404275516669	1.89919273765889e-08	No	No
O14924	RGS12	4.66922428728732	0.0023718447205908	No	No
O14965	AURKA	6.5560187686325	2.54174650457785e-19	No	No
O15040	TECPR2	4.47427338615076	5.5232750220477e-12	No	No
O15230	LAMA5	5.05048995104308	3.77406615217145e-05	No	No
O15550	KDM6A	4.21162982249582	9.10664353884463e-06	No	No
O43463	SUV39H1	4.17440800299451	0.0024519823104342	No	No
O43791	SPOP	4.04547099635438	5.233456051836649e-11	No	No
O60293	ZFC3H1	5.18842381967496	4.80270698335079e-08	No	No
O75153	CLUH	5.45926613003321	4.15181096798535e-20	No	No
O75167	PHACTR2	5.43661579191	2.93763814384835e-10	No	No
O75575	CRCP	4.92573432486816	3.1185749786191195e-11	No	No
O95067	CCNB2	4.22726690622472	6.58640062402297e-07	No	No
O95503	CBX6	6.8173259296633	1.0231004812192601e-14	No	No
P00734	F2	5.19604649143717	2.31294499654219e-06	No	No
P00747	PLG	4.94765889616742	4.1717405171897696e-11	No	No
P01031	C5	4.80363948778247	1.14136108742805e-07	No	No
P04040	CAT	4.63782900941691	2.15532905890404e-14	No	No
P04196	HRG	6.72811366336357	2.6107134412318898e-11	No	No
P07357	C8A	5.26337958213532	1.2225695850812601e-09	No	No
P07358	C8B	8.56341388794986	3.45000114885012e-20	No	No
P08842	STS	3.9857189838756	0.0015037513760771	No	No
P0C0L4	C4A	4.84067197016802	4.74740402235456e-11	No	No
P0CG12	DERPC	5.12323182599492	2.13919542020867e-12	No	No
P10253	GAA	4.28986254268292	0.0001212653668066	No	No
P10588	NR2F6	6.20340962297722	1.25133996399945e-10	No	No
P10589	NR2F1	4.29617358532472	1.32969885650336e-13	No	No
P10643	C7	6.20894694586788	7.21691462490442e-16	No	No
P13671	C6	4.88766215429004	1.57554744243573e-09	No	No
P23025	XPA	4.4499557143726	0.0020793490808282	No	No
P27169	PON1	7.7518750865601	7.954690005606791e-20	No	No
P30414	NKTR	4.61850006975165	0.0002270193582069	No	No
P35221	CTNNA1	4.14571307110918	3.03720296592211e-14	No	No
P35227	PCGF2	4.05050818308556	2.46767939479332e-12	No	No
P35542	SAA4	5.75160819053363	1.99722301558053e-16	No	No
