Protein_Group	Genes	IgG_dox+_vs_IgG_dox-_logFC	IgG_dox+_vs_IgG_dox-_pval	Removed?	Contaminant?
O00257	CBX4	3.97094806205241	1.05681489841138e-14	No	No
O00423	EML1	6.97660449453407	5.4245343302590694e-11	No	No
O00562	PITPNM1	4.63917399864778	3.65695322393587e-12	No	No
O14523	C2CD2L	4.31404275516669	1.89918238709559e-08	No	No
O14924	RGS12	4.66922428728732	0.0023718397612306	No	No
O14965	AURKA	6.5560187686325	2.5417200372189e-19	No	No
O15040	TECPR2	4.47427338615076	5.5232379576897996e-12	No	No
O15230	LAMA5	5.05584699436372	3.67368689722795e-05	No	No
O15550	KDM6A	4.21162982249582	9.10660841336254e-06	No	No
O43463	SUV39H1	4.17440800299451	0.0024519772851873	No	No
O43791	SPOP	4.04547099635438	5.233425441471509e-11	No	No
O60293	ZFC3H1	5.18842381967496	4.80267956997336e-08	No	No
O75153	CLUH	5.45926613003321	4.1517845470090305e-20	No	No
O75167	PHACTR2	5.43661579191	2.93761712047827e-10	No	No
O75575	CRCP	4.92573432486816	3.11855264606218e-11	No	No
O95067	CCNB2	4.22726690622472	6.58637045680203e-07	No	No
O95503	CBX6	6.8173259296633	1.0230899182045701e-14	No	No
P00734	F2	5.19604649143717	2.31293451291509e-06	No	No
P00747	PLG	4.94765889616742	4.171710731969149e-11	No	No
P01031	C5	4.80363948778247	1.14135502861973e-07	No	No
P04040	CAT	4.63782900941691	2.15531406472542e-14	No	No
P04196	HRG	6.72811366336357	2.61069135316545e-11	No	No
P07357	C8A	5.26337958213532	1.22256138135481e-09	No	No
P07358	C8B	8.56341388794986	3.4499540329536104e-20	No	No
P08842	STS	3.9857189838756	0.0015037480651	No	No
P0C0L4	C4A	4.84067197016802	4.74737076723169e-11	No	No
P0CG12	DERPC	5.12323182599492	2.13917883358842e-12	No	No
P10253	GAA	4.28986254268292	0.0001212649936927	No	No
P10588	NR2F6	6.20340962297722	1.2513302111678101e-10	No	No
P10589	NR2F1	4.29617358532472	1.32969058669089e-13	No	No
P10643	C7	6.20894694586788	7.21684270146862e-16	No	No
P13671	C6	4.88766215429004	1.5755373526478402e-09	No	No
P23025	XPA	4.4499557143726	0.0020793446609902	No	No
P27169	PON1	7.7518750865601	7.95459016125491e-20	No	No
P30414	NKTR	4.61850006975165	0.0002277522836266	No	No
P35221	CTNNA1	4.14571307110918	3.03718620871291e-14	No	No
P35227	PCGF2	4.05050818308556	2.46766504573724e-12	No	No
P35542	SAA4	5.75160819053363	1.99720462405473e-16	No	No
P38398	BRCA1	4.18077849046817	0.0051517721452339	No	No
P38935	IGHMBP2	5.05190556757576	8.58440127245849e-07	No	No
P41440	SLC19A1	6.11323731298627	2.26925011072165e-14	No	No
P46063	RECQL	4.57082704753483	1.07632016884694e-18	No	No
P49848	TAF6	3.90368439985916	9.35259551963178e-05	No	No
P52741	ZNF134	5.66853208439281	1.0776888013358e-09	No	No
P52888	THOP1	3.99061848593951	1.05329426684662e-07	No	No
P54253	ATXN1	4.34114351853344	5.83309405971923e-10	No	No
P55199	ELL	3.99417000311225	7.53090500202449e-07	No	No
P55285	CDH6	4.46873995736333	1.60078894480105e-10	No	No
P78312	FAM193A	4.41802542266255	2.04853811969302e-06	No	No
P78347	GTF2I	4.71639255839516	6.00853300387794e-14	No	No
P78364	PHC1	6.16586167072614	1.07440711415774e-18	No	No
P78524	DENND2B	5.67060553880157	1.85515577717505e-06	No	No
P82673	MRPS35	5.23866223088451	1.04840567942695e-06	No	No
P98175	RBM10	7.78974137976853	6.05848600676026e-21	No	No
Q00765	REEP5	4.47043073072275	5.8758491581981e-05	No	No
Q01201	RELB	5.16575619095062	1.3202207801288599e-11	No	No
Q02086	SP2	6.28860430286252	2.7811068465120603e-20	No	No
Q08AD1	CAMSAP2	6.09026039707365	2.04954185143095e-20	No	No
Q08AG7	MZT1	5.29279903782729	4.87464661939758e-13	No	No
Q0PNE2	ELP6	4.06402503486852	1.0798667966268001e-10	No	No
Q12872	SFSWAP	5.33057012882632	6.66820511164456e-13	No	No
Q12894	IFRD2	4.70563361401719	2.88298032849531e-12	No	No
Q12981	BNIP1	5.41410722415202	5.82997839872178e-10	No	No
Q12986	NFX1	4.88510564629027	1.25912190192033e-12	No	No
Q13118	KLF10	6.45288748536991	1.46592507028887e-12	No	No
Q13405	MRPL49	4.33534272352035	2.50950894106978e-11	No	No
Q13574	DGKZ	5.15064271781595	1.2053882574921e-07	No	No
Q14444	CAPRIN1	6.57278573437391	1.02669883281167e-21	No	No
Q14781	CBX2	4.66943396184069	1.29515321612664e-13	No	No
