Protein_Group	Genes	AURKA_dox+_vs_IgG_dox+_logFC	AURKA_dox+_vs_IgG_dox+_pval	Removed?	Contaminant?
O75362	ZNF217	3.55850734023163	0.0003323783835327	No	No
P35556	FBN2	3.57091752618595	1.67278587221937e-05	No	No
Q8TEW8	PARD3B	4.32417433584106	0.0003929582044201	No	No
O15230	LAMA5	-3.26938268336619	0.0043842654730978	No	No
O43463	SUV39H1	-5.91953556436439	5.32716764868849e-05	No	No
P00734	F2	-3.85761134776356	0.0007749912306865	No	No
P08842	STS	-4.65208372745144	0.0002252756936434	No	No
P10253	GAA	-5.3758207556416	3.94899631732378e-06	No	No
P49848	TAF6	-3.40942796076065	0.0010347652349841	No	No
Q96AA3	RFT1	-3.36988629111061	0.0036797383289492	No	No
Q96ST2	IWS1	-3.00003803923857	0.0024948899619936	No	No
Q9UPY8	MAPRE3	-4.6168655185196	0.0078729336405765	No	No
