Protein_Group	Genes	WT_vs_Chr18TERRA_KO_logFC	WT_vs_Chr18TERRA_KO_pval	Removed?	Contaminant?
A2ALS5	Rap1gap	1.5735204659515	0.0004430389891971	No	No
A2AV72	Mup6	1.99796918670693	0.0008386074634692	No	No
B1AS42	Cyb5rl	1.33425870240506	0.0002576741047734	No	No
B2RS76	Cpb1	3.64977308439136	1.02976289182516e-05	No	No
E9Q9D5	Rabl2	2.30523640287005	0.0011734513918343	No	No
O08550	Kmt2b	4.60010422427417	0.0006297840128787	No	No
P32848	Pvalb	3.37471799423359	0.0005372663229023	No	No
P70451	Fer	1.61697820645911	0.0007460265293646	No	No
Q3TNL8	Itprip	4.7142979313593	0.00029958246269	No	No
Q61152	Ptpn18	8.70569653192684	0.0085044456930175	No	No
Q62511	Zfp91	2.65882176509455	0.0060678007010115	No	No
Q6NZB1	Prmt6	6.00631109137941	0.0036038279529812	No	No
Q6PHP4	Zfp512b	1.32819555226515	0.0018370339730246	No	No
Q811L6	Mast4	1.48174129066132	0.0055230932662739	No	No
Q8C0D7	Ing4	4.13602892446235	0.0055308831823925	No	No
Q8VIJ8	Nprl3	1.51180194071944	0.003557975719782	No	No
Q924T3	Xrcc4	1.727734300651	0.0095280575030256	No	No
Q9CZ09	Mettl18	5.23128125145156	0.0020185776940395	No	No
Q9JLT2	Treh	1.34083335472618	0.0039391229538401	No	No
B1AXP6	Tomm5	-2.18765989875503	0.0024254843255079	No	No
E9PYL2	Prr12	-6.46291123590469	0.0042841119282834	No	No
G3X9G7	Zfp809	-3.93803139805476	0.0084087813942029	No	No
O09030	Il13ra1	-2.23500526135776	0.0097667661968808	No	No
O35317	Pbx3	-9.04603868929453	9.51438617039893e-16	No	No
O54879	Hmgb3	-2.70478851005694	0.0026367638810525	No	No
P47877	Igfbp2	-2.61230485180598	0.0039511587261842	No	No
P70227	Itpr3	-3.54465644356998	0.0088292774124818	No	No
Q3TZX3	Slc25a33	-2.17673533234694	0.0020312414913796	No	No
Q4VA36	Cenatac	-3.19875079183641	0.0005330078687577	No	No
Q5SWW4	Med13	-1.75737568815798	0.004179221731688	No	No
Q60665	Skil	-5.53427038447968	0.0028268290608175	No	No
Q80XJ2	Rnf168	-6.54669700632959	0.0062096749093606	No	No
Q8BGN2	D3Ertd751e	-2.26309564295094	0.0023181469088051	No	No
Q8BN78	Zbtb33	-1.57575698958138	0.0076199192866918	No	No
Q8BPB5	Efemp1	-1.62760297182013	0.00042322048596	No	No
Q8C6B2	Rtkn	-2.73632817234567	0.002226898378315	No	No
Q8CDM1	Atad2	-2.85750844039288	0.0043428880207448	No	No
Q8CE64	Znf276	-2.42050322025918	0.0060561507001216	No	No
Q8VE91	Retreg1	-2.27360655409383	0.0058215142254335	No	No
Q8VEF1	Gramd1a	-3.83708432534259	0.0062206791596894	No	No
Q99L00	Haus8	-1.29714176472604	0.0004690553344822	No	No
Q99LH1	Gnl2	-1.40055751541934	0.0010806103981451	No	No
Q9D011	Mplkip	-4.16200403818045	0.0055918037883001	No	No
Q9D7P7	Clic3	-3.28562051866328	0.0007554715521921	No	No
Q9DBM1	Gpatch1	-1.61265073017717	1.93840122871233e-05	No	No
Q9DBU5	Rnf6	-3.02504690593873	0.0075662970095173	No	No
Q9JL62	Gltp	-2.94712612308174	0.0097894425971091	No	No
Q9WTK5	Nfkb2	-3.66553701165939	0.0017011882863291	No	No
Q9WU03	Spint2	-2.86000318711606	0.0043488123023685	No	No
