Protein_Group	Genes	Chr9TERRA_KO_vs_WT_logFC	Chr9TERRA_KO_vs_WT_pval	Removed?	Contaminant?
B2RQC2	Usp42	0.932007008750656	0.0203181463518753	No	No
P11260	Lire1	1.27581218041554	0.0061627172205734	No	No
P21836	Ache	2.63323409745554	3.70272208420495e-08	No	No
P58749	Tm6sf1	1.48315768957243	0.0206634563650624	No	No
Q3V132	Slc25a31	5.09109561633714	1.4029574669731e-09	No	No
Q62225	Cish	1.09051007521128	0.0025392356275031	No	No
Q80XD8	Prap1	0.890573701890299	0.0023898309761728	No	No
Q8BJG4	Mob3c	0.973314041185052	1.43379421969516e-05	No	No
Q8C138	Adtrp	0.916502979404328	0.0173458239256009	No	No
Q9CPW5	Ssr2	0.942682999728728	0.0130710456085207	No	No
Q9D5R3	Cep83	0.761556741505714	0.0200791857947294	No	No
Q9QUS6	Mid2	1.37011187276745	0.0218580685483162	No	No
B2RS76	Cpb1	-1.09444335936051	0.0017629564324855	No	No
G3X9U2	Zfp446	-0.844367292278342	0.0203337199400924	No	No
O54942	Cldn5	-0.896387970331649	0.0336051863430264	No	No
P01804	gene	-0.839681159626394	0.0029376713645222	No	No
P05208	Cela2a	-0.773223204884339	0.0475952788944053	No	No
P09041	Pgk2	-1.13804848937125	0.0208661473129685	No	No
P55088	Aqp4	-1.03133463934912	0.0373707546795763	No	No
Q0P5V9	Slc45a4	-1.93753610440356	6.0377018433629e-14	No	No
Q60660	Klra2	-1.3808043300868	0.0329131143546736	No	No
Q6XZL8	Dot1l	-0.851387793168488	0.0113172730253783	No	No
Q7TPZ8	Cpa1	-1.22021075342424	0.0021488355327871	No	No
Q8C4U3	Sfrp1	-0.758403036206417	0.03738250514184	No	No
Q8K2F3	Depp1	-1.08508831772448	0.0251561540814358	No	No
Q8K3P0	Sdr9c7	-1.36556873282919	0.0215128213673174	No	No
Q91WK7	Ankrd54	-1.08536307966397	0.0006942856471539	No	No
Q91X79	Cela1	-0.757169406260218	0.0296246891852502	No	No
Q91ZX6	Senp2	-0.830322184196163	0.0029925224565685	No	No
Q924D1	Cyp2j9	-0.889035978136864	0.0123770201619503	No	No
Q99P91	Gpnmb	-0.836756522062075	0.0239641872326356	No	No
Q9JJA9	Tamalin	-0.844908931354665	0.0019169858264879	No	No
Q9JLN5	Ermap	-0.871972209485065	0.0046954071849024	No	No
