Protein_Group	Genes	AURKA_dox-_vs_IgG_dox-_logFC	AURKA_dox-_vs_IgG_dox-_pval	Removed?	Contaminant?
A1L020	MEX3A	2.82958844901096	5.36118599531376e-06	No	No
A2AJT9	BCLAF3	2.03617432340976	8.91483636030963e-06	No	No
A8K2U0	A2ML1	2.81802107771881	0.0003961444789108	No	No
A8K855	EFCAB7	1.77794750416696	4.53670205909478e-07	No	No
C9JLW8	MCRIP1	2.00078947828808	1.8579931594706e-05	No	No
E9PRG8	C11orf98	2.98394156739423	2.04061239457508e-07	No	No
O00178	GTPBP1	2.0557130741723	1.77108184693705e-05	No	No
O00257	CBX4	3.9736160008251	4.5003397107337204e-15	No	No
O00268	TAF4	2.09261562972516	0.0009445855126303	No	No
O00391	QSOX1	2.736511236146	0.0002350409696427	No	No
O00400	SLC33A1	2.21671964315418	0.0063822897777797	No	No
O00411	POLRMT	2.46794806530246	0.000193531437719	No	No
O00423	EML1	6.97065496446771	1.19252818934732e-10	No	No
O00488	ZNF593	3.51544625801088	0.0001449055668598	No	No
O00562	PITPNM1	4.63586595542168	2.78953037322615e-12	No	No
O00566	MPHOSPH10	3.19155470874113	5.35413679898788e-06	No	No
O00622	CCN1	2.32044402442304	0.0008251856715602	No	No
O14497	ARID1A	2.35871141211934	0.0004740875850908	No	No
O14523	C2CD2L	4.36408283271651	3.47893356211518e-08	No	No
O14640	DVL1	2.5519325527998	0.000993805172308	No	No
O14647	CHD2	1.78884083351277	0.0005472099293914	No	No
O14757	CHEK1	2.49446601100631	0.0001264914939878	No	No
O14802	POLR3A	2.77982589500859	2.72128557706873e-06	No	No
O14924	RGS12	4.59951317205967	0.0037194789836141	No	No
O14965	AURKA	6.56721842210637	7.4290851732224e-21	No	No
O15014	ZNF609	2.94278497423743	0.0001401349694308	No	No
O15040	TECPR2	4.45573562301112	7.15078046495751e-14	No	No
O15042	U2SURP	3.70421628314037	3.24162940161513e-14	No	No
O15116	LSM1	3.26508922155231	3.51641422645729e-07	No	No
O15118	NPC1	1.65429256167032	0.0001120227417654	No	No
O15160	POLR1C	2.33196704359316	2.24462492498525e-09	No	No
O15169	AXIN1	3.82108464844584	1.13865441623775e-07	No	No
O15213	WDR46	2.5233687312472	3.24924508656284e-05	No	No
O15226	NKRF	1.6445280582426	4.11726347503721e-07	No	No
O15230	LAMA5	4.98109589117416	2.76278347490691e-06	No	No
O15234	CASC3	3.5134897821733	9.35529156386964e-07	No	No
O15235	MRPS12	3.8589394990475	3.22564493667468e-13	No	No
O15360	FANCA	2.4152654854589	0.0072996506556162	No	No
O15392	BIRC5	3.58658338758717	3.1624799068015e-06	No	No
O15446	POLR1G	2.80220299796922	1.7418523875943e-06	No	No
O15516	CLOCK	3.25902744366559	4.18113640939236e-08	No	No
O15550	KDM6A	4.20340163153159	1.21177092506755e-05	No	No
O43143	DHX15	2.59795952293058	6.7274465022858e-10	No	No
O43159	RRP8	1.99686295654895	0.0004749784141622	No	No
O43379	WDR62	2.44345348183337	5.83233492322177e-08	No	No
O43432	EIF4G3	1.66153989824446	6.96175069479916e-06	No	No
O43463	SUV39H1	4.17068002127946	0.0013681671665201	No	No
O43660	PLRG1	2.54609095316998	3.82980867143695e-12	No	No
O43683	BUB1	2.16046487819545	7.67289543148893e-07	No	No
O43791	SPOP	4.04921003431486	7.69332710518622e-12	No	No
O43818	RRP9	2.60341867301601	2.26296300291806e-07	No	No
O60281	ZNF292	2.25838355417831	0.0035786582955139	No	No
O60293	ZFC3H1	5.18805590275276	1.20385482558581e-07	No	No
O60336	MAPKBP1	1.96338465395691	1.92660873837322e-06	No	No
O60524	NEMF	1.81494545077759	5.0339159893754e-05	No	No
O60832	DKC1	1.94512954058635	0.0001563161616806	No	No
O60870	KIN	2.53073320788746	1.47085649093645e-05	No	No
O60927	PPP1R11	3.20892508129227	0.0008846746469905	No	No
O60930	RNASEH1	3.42071823386488	0.0006820796117625	No	No
O75122	CLASP2	2.30153858147226	2.10275281305248e-10	No	No
O75127	PTCD1	3.53504306131656	4.11463045147746e-09	No	No
O75152	ZC3H11A	2.40837151917005	5.86391615948622e-06	No	No
O75153	CLUH	5.48324365017408	2.2495084712129602e-20	No	No
O75167	PHACTR2	5.41434845358506	3.07001827796298e-10	No	No
O75342	ALOX12B	3.61217615999186	1.99322898367847e-06	No	No
O75410	TACC1	2.02463705209615	2.94069391902689e-05	No	No
O75529	TAF5L	1.88185092252023	0.0034573213677923	No	No
O75530	EED	3.17625746355632	0.0034012492361978	No	No
O75533	SF3B1	3.55065563194268	1.71251542799608e-12	No	No
O75554	WBP4	3.56755522821075	0.0022798958975074	No	No
O75575	CRCP	4.84289128178173	9.17294462953038e-13	No	No
O75683	SURF6	2.19124623927926	4.16361675105026e-06	No	No
O75691	UTP20	1.80429696980113	0.004165735485597	No	No
O75817	POP7	2.82016489963295	1.52519327662243e-05	No	No
O75909	CCNK	2.5272428152985	0.0016007152379509	No	No
O75934	BCAS2	3.4960309490772	7.459020365714881e-14	No	No
O75940	SMNDC1	2.80734212376166	2.83168397539732e-07	No	No
O76021	RSL1D1	1.76249960471886	0.0002762716360612	No	No
O94915	FRYL	2.20841813380746	6.352138322319491e-09	No	No
O95067	CCNB2	4.51361133895373	1.73558882518133e-07	No	No
O95084	PRSS23	3.06923873017681	0.0008277661805194	No	No
O95229	ZWINT	2.57388609303805	0.0018075038059801	No	No
O95232	LUC7L3	2.68632025701111	3.04238417533156e-06	No	No
O95243	MBD4	2.48075078690655	0.0008552813052892	No	No
O95295	SNAPIN	2.64733991476399	0.0002228120415235	No	No
O95363	FARS2	2.29609192043803	1.20886653194541e-05	No	No
O95391	SLU7	2.08133267966602	0.0001057706287971	No	No
O95445	APOM	3.06650834964855	2.38794232696641e-07	No	No
O95453	PARN	1.91341214962823	6.18534552122633e-05	No	No
O95478	NSA2	2.49836290579912	0.0001350095436519	No	No
O95503	CBX6	6.81695436331725	6.24171247771169e-14	No	No
O95625	ZBTB11	2.96642453544263	0.0019567556750834	No	No
O95793	STAU1	2.00953745741473	2.35733884002129e-11	No	No
O95900	TRUB2	2.9687329464954	1.81289365216889e-05	No	No
O95985	TOP3B	3.11954342912271	3.09922314028847e-10	No	No
O96013	PAK4	3.71639124287493	1.59673723678718e-13	No	No
