Protein_Group	Genes	MoMacs_day15_vs_MoMacs_day30_logFC	MoMacs_day15_vs_MoMacs_day30_pval	Removed?	Contaminant?
D3YZZ5	Tmed7	-6.99103059541711	3.35812326557282e-06	No	No
E9PV24	Fga	-7.0568131158653	2.97094369081587e-07	No	No
E9Q4P1	Wdfy1	-7.83411121073744	2.38705833304666e-07	No	No
O08692	Ngp	-6.58604413428255	4.37117761437979e-12	No	No
O08738	Casp6	-6.72618299554704	3.66929522483032e-05	No	No
O35904	Pik3cd	-8.72569208346558	7.62131005730453e-13	No	No
O54988	Slk	-6.88949176376362	5.91108773914591e-06	No	No
O70172	Pip4k2a	-7.10222652397756	8.13710217081634e-11	No	No
O88968	Tcn2	-8.29552700073814	6.1224481015042e-14	No	No
O89079	Cope	-7.20021984437659	1.15809931685289e-09	No	No
P01872	Ighm	-8.25506243738977	1.5313543164241e-11	No	No
P05555	Itgam	-6.66439482785636	1.00389965722223e-08	No	No
P06801	Me1	-7.47454007786047	0.0007260678347354	No	No
P11672	Lcn2	-6.92493127301152	2.4140082962413598e-11	No	No
P12388	Serpinb2	-10.3951173699793	1.09180210792979e-13	No	No
P17095	Hmga1	-7.8799887417148	2.44828256167618e-09	No	No
P18155	Mthfd2	-9.14706320630084	6.691596274313871e-09	No	No
P20491	Fcer1g	-7.69139456493571	1.1887988358824701e-14	No	No
P28665	Mug1	-8.60507636811673	9.08146365606747e-07	No	No
P35278	Rab5c	-7.04166077501099	2.74170886831443e-06	No	No
P35486	Pdha1	-7.83407099743878	2.25206136808283e-07	No	No
P37040	Por	-7.14712473219362	4.83741839969777e-05	No	No
P39654	Alox15	-6.82354294105874	8.06663253058271e-08	No	No
P40240	Cd9	-7.45703872261466	1.29250151042358e-09	No	No
P41245	Mmp9	-8.16457011898479	8.22382899826961e-12	No	No
P51437	Camp	-7.30335690994726	2.6453298880881302e-14	No	No
P53811	Pitpnb	-7.32873487479096	1.60904479414308e-05	No	No
P61965	Wdr5	-7.07457677275062	5.24740565877371e-06	No	No
P62878	Rbx1	-6.86520075263485	4.2640043739802903e-10	No	No
P70349	Hint1	-7.87785379304899	5.17749560433029e-12	No	No
