Protein_Group	Genes	TRM_day15_vs_MoMacs_day15_logFC	TRM_day15_vs_MoMacs_day15_pval	Removed?	Contaminant?
A0A075B5K8	Igkv1-99	3.67818095606797	0.0067494411969277	No	No
A0A075B5N3	Igkv8-28	3.91681405992827	0.0020874585284315	No	No
A0A075B5N4	Igkv8-27	2.95820492180419	0.0038085941761058	No	No
A0A0G2JG52	Crybg1	6.93920758417249	0.0007717008128974	No	No
A0A140T8N9	Igkv6-32	2.68110786205614	0.004380186024987	No	No
A2AAY5	Sh3pxd2b	3.99693160635576	0.0001321663127896	No	No
A2AIV8	Card9	2.4861436196161	0.0024722055401594	No	No
A3KMP2	Ttc38	2.79584285357431	0.0054527195661342	No	No
D3YUU6	Crnn	8.02337527942968	2.5315110816555297e-12	No	No
D3YZZ5	Tmed7	8.25317250518908	2.35423220901187e-07	No	No
D3Z2H9	Tpm3-rs7	2.19015787159006	0.0048038097945816	No	No
E9PV24	Fga	9.55723781111501	1.1360837462791202e-09	No	No
E9PVA8	Gcn1	4.48737456608393	0.0017054601448905	No	No
E9Q4P1	Wdfy1	4.90149655119477	0.0001859051255744	No	No
F8VPN4	Agl	3.69377725577766	0.0006834228691543	No	No
J3QN89	Aamp	5.77435246340626	2.11412184131142e-06	No	No
O08529	Capn2	2.82280656225126	9.3247216583087e-05	No	No
O08553	Dpysl2	2.62559371274796	0.0035267702975992	No	No
O08582	Gtpbp1	3.45397212327995	0.0037071328470431	No	No
O08709	Prdx6	2.86863352077619	0.00320548603341	No	No
O08739	Ampd3	3.88179630964312	0.0045959828914433	No	No
O08749	Dld	4.02603383875755	1.11429452047128e-05	No	No
O08807	Prdx4	3.35085568663419	0.0003091256716335	No	No
O08808	Diaph1	4.39655024644794	0.0008410176170695	No	No
O09043	Napsa	5.63678312120964	4.43468261091492e-12	No	No
O09061	Psmb1	2.57391930871151	0.0009795775503963	No	No
O09131	Gsto1	4.79096064237534	4.89692739458605e-06	No	No
O35344	Kpna3	2.25383665262672	0.00695052098479	No	No
O35350	Capn1	4.53894624674112	5.92688532040708e-07	No	No
O35381	Anp32a	2.054190249728	0.005476292932496	No	No
O35639	Anxa3	2.03301075108753	0.0062883098562082	No	No
O35640	Anxa8	6.10730484221297	0.0011637362877657	No	No
O35643	Ap1b1	3.47485918565398	0.0004951361667518	No	No
O35744	Chil3	3.33660512516067	1.63543455761324e-08	No	No
O35887	Calu	5.83091341139546	5.89992565478353e-07	No	No
O54782	Man2b2	3.24931235491921	0.0040110318917169	No	No
O54833	Csnk2a2	3.03129270350428	0.0022468483942865	No	No
O55013	Trappc3	2.91827619636158	0.0019305099717386	No	No
O55131	Septin7	3.32810452311127	0.0032012519542616	No	No
O55135	Eif6	3.20626369173871	0.0017922240149584	No	No
O55137	Acot1	8.44564567305566	4.07060317019598e-09	No	No
O55143	Atp2a2	6.13603424232054	0.0021966227619821	No	No
O55234	Psmb5	3.29151973393249	0.0013593989489419	No	No
O70133	Dhx9	2.24263663192443	0.0067186873219351	No	No
O70310	Nmt1	3.17888452461085	0.0077304489080947	No	No
O70370	Ctss	2.84278094418995	0.0023100266346343	No	No
O70400	Pdlim1	3.87695524281352	0.0001402958942395	No	No
O70435	Psma3	2.51990510700682	0.0010164502629372	No	No
O70475	Ugdh	4.00307024454848	0.0078041236224898	No	No
O70492	Snx3	3.72971768969077	0.0005092492657211	No	No
O70589	Cask	2.86240577449169	0.0080254924422375	No	No
O88325	Naglu	3.09571553410016	0.0003474647652915	No	No
O88342	Wdr1	2.78219474038319	9.3320160849328e-05	No	No
O88456	Capns1	4.32933772726535	8.34242780000416e-05	No	No
O88544	Cops4	2.50636628512575	0.0043700568203112	No	No
O88569	Hnrnpa2b1	2.59030113390519	0.0068007185942963	No	No
O88668	Creg1	4.31296304747728	9.25619076958144e-09	No	No
O88685	Psmc3	3.59112555617126	0.0099502886345018	No	No
O88844	Idh1	3.56910803404795	9.96386792318699e-06	No	No
O88958	Gnpda1	2.60256968316857	0.0016236828917537	No	No
O89079	Cope	4.22954928132989	1.04009734071045e-05	No	No
P00493	Hprt1	3.03295538292091	0.0001132860280974	No	No
P01027	C3	3.07812787966455	0.0011727974411948	No	No
P01725	gene	7.09901187109171	1.85321332680824e-05	No	No
P01869	Ighg1	2.46597861089859	0.0021709302993853	No	No
P04117	Fabp4	3.80023480952291	8.72381022168966e-09	No	No
P05063	Aldoc	3.59657625332736	1.21629555160428e-05	No	No
P05064	Aldoa	3.41040480401363	3.72719359207576e-05	No	No
P05132	Prkaca	3.92024561954057	8.49314299325193e-05	No	No
P05202	Got2	2.08385417423294	0.00161984373315	No	No
