Protein_Group	Genes	TRM_day15_vs_TRM_day30_logFC	TRM_day15_vs_TRM_day30_pval	Removed?	Contaminant?
E9Q4P1	Wdfy1	4.81906285708634	0.0002250436674604	No	No
O08582	Gtpbp1	6.1101049827993	6.66108590282768e-06	No	No
P07744	Krt4	4.49197821002899	0.0039384022632265	No	No
P23475	Xrcc6	5.3109348256571	6.42147705792069e-05	No	No
P36552	Cpox	5.19416848319651	0.0001163848452118	No	No
P39749	Fen1	4.62110844535076	0.0004177667133521	No	No
P41216	Acsl1	6.14151297457476	1.48758051728643e-05	No	No
P70388	Rad50	8.03529625843546	7.75856535190905e-12	No	No
P83882	Rpl36a	4.59821294557042	0.0003790068831903	No	No
P97313	Prkdc	4.58314814285258	0.0047311690407773	No	No
Q01730	Rsu1	4.33031478239305	0.0002350126301632	No	No
Q3TIX9	Usp39	4.54455020196281	2.74271636827445e-05	No	No
Q569Z6	Thrap3	4.60376184347242	0.0043253183838347	No	No
Q60996	Ppp2r5c	4.36708967405677	6.4771428916192e-05	No	No
Q61941	Nnt	4.96561491963129	0.0012978976302981	No	No
Q62376	Snrnp70	6.05340044898042	0.0001251188184468	No	No
Q8BMA6	Srp68	6.30094787573843	8.34114933274928e-06	No	No
Q8K2T8	Paf1	3.91812218050929	0.0003832194399139	No	No
Q8R317	Ubqln1	6.02173233723908	1.02290703619014e-09	No	No
Q8R3P6	Ints14	6.1533098764737	2.00249296806055e-07	No	No
Q8VDP4	Ccar2	4.15217494743711	0.0025837699182497	No	No
Q8VDQ1	Ptgr2	5.99508314534829	0.002677212198628	No	No
Q8VEE0	Rpe	7.19891685355199	5.30177028094009e-08	No	No
Q8VH51	Rbm39	6.28899032274706	1.35808826777833e-05	No	No
Q8VHK9	Dhx36	4.66811257803285	0.0001426568010347	No	No
Q99JR8	Smarcd2	4.40535154434314	0.004733339597453	No	No
Q99P88	Nup155	3.89892828461583	0.0084587046477413	No	No
Q9CQK7	Rwdd1	5.66963037090429	3.0251389771181104e-09	No	No
Q9CQQ7	Atp5pb	7.1234064306917	6.53442666261339e-05	No	No
Q9D5V5	Cul5	6.66560554027284	2.12326890316853e-05	No	No
Q9D6M3	Slc25a22	6.19463133633068	1.10244108148913e-10	No	No
Q9D6R2	Idh3a	4.08467406942464	0.0003493285455399	No	No
Q9D6Y9	Gbe1	4.46704643735625	0.0002151698761534	No	No
Q9D898	Arpc5l	4.49382563175019	0.0023766660451529	No	No
Q9DB73	Cyb5r1	7.8264870619166	1.03245356812315e-08	No	No
Q9DBR1	Xrn2	4.87369530003321	9.09307476610806e-05	No	No
Q9DCT2	Ndufs3	5.89714272787671	0.0002051278952257	No	No
Q9ESJ0	Xpo4	4.99961578599162	3.15795747246284e-05	No	No
Q9QXX4	Slc25a13	5.57487948554442	2.50466465662055e-05	No	No
Q9R1C7	Prpf40a	8.88931143980656	1.11914698352945e-08	No	No
Q9WVG6	Carm1	4.75387015697898	0.0001334396677243	No	No
Q3T9E4;Q62293	Tgtp1;Tgtp2	-6.36361298569268	2.21385658810946e-08	No	No
