Protein_Group	Genes	MoMacs_day15_vs_MoMacs_day30_logFC	MoMacs_day15_vs_MoMacs_day30_pval	Removed?	Contaminant?
A0A075B663	Iglv1	-3.26130275089582	6.43303051785753e-06	No	No
A0A0U1RNF2	Lcmt1	-4.01297910969769	0.0022393547508277	No	No
A2A8Z1	Osbpl9	-4.40691309877809	0.008401790548307	No	No
A2AAY5	Sh3pxd2b	-4.89189802255193	9.29008816780525e-05	No	No
A2AEH9	Tmsb15a	-14.5830375948184	2.49281973474368e-18	No	No
A2AN08	Ubr4	-4.99087266414871	0.0029189997684789	No	No
A2AWA9	Rabgap1	-4.0373710567592	0.000747692418434	No	No
A2BH40	Arid1a	-4.61145438598611	0.000404242565796	No	No
A3KGF7	Plcb2	-6.50139423509571	4.5638770684779e-05	No	No
A3KMP2	Ttc38	-3.69207114788079	0.0021970094356206	No	No
B2RV77	Cstdc4	-5.39012782426455	8.66807577562247e-06	No	No
B2RXR6	Ankrd44	-4.47324025875481	0.0002051682890336	No	No
B2RY56	Rbm25	-7.20632264789105	0.0002055983111724	No	No
D3YXK2	Safb	-4.78348278180197	9.58592534887244e-05	No	No
D3YZZ5	Tmed7	-7.00769290939718	4.51112603824788e-05	No	No
D3Z2H9	Tpm3-rs7	-2.13325386934747	0.0068554645646103	No	No
D3Z6Q9	Bin2	-2.46701470366161	0.0024787436801116	No	No
D4AFX7	Dnajc13	-3.8538676279573	0.0073155428745599	No	No
E9PV24	Fga	-7.07350087677608	5.69566321482701e-06	No	No
E9PVA8	Gcn1	-5.41173916392957	0.0014291571376493	No	No
E9PY16	Adap1	-6.04522543405342	8.38665920741645e-09	No	No
E9Q1Z0	Krt90	-9.89620213086911	6.34833791383621e-10	No	No
E9Q2M9	Wdfy4	-2.46990178180666	0.0070606787272818	No	No
E9Q4F2	Klhl18	-3.86214147104961	0.0007893449917552	No	No
E9Q4P1	Wdfy1	-7.85080550385737	5.04714806255696e-06	No	No
E9Q555	Rnf213	-3.34187487873531	0.0022548269213394	No	No
E9Q735	Ube4a	-4.73091290377505	0.0020178360817963	No	No
E9Q8I9	Fry	-3.87224057591709	0.0008944377759023	No	No
E9Q912	Rap1gds1	-2.85443865244516	0.0004062463590112	No	No
F6TQW2	Ighg2c	-2.47881616713416	0.0005315218551657	No	No
F8VPN4	Agl	-6.35644425223398	8.23467097916787e-06	No	No
F8VQC1	Srp72	-5.2308364953022	0.0007699223682689	No	No
G3X8U3	2210016F16Rik	-2.82716953543532	0.0013175931006066	No	No
G5E8K5	Ank3	-2.05007469064736	0.0052043213499864	No	No
J3QN89	Aamp	-5.53051158488069	4.7932838937955e-05	No	No
O08529	Capn2	-2.82516778771036	0.0001669120984704	No	No
O08539	Bin1	-4.6563250893038	3.59465527630413e-07	No	No
O08547	Sec22b	-6.38773121838441	1.72511281334143e-05	No	No
O08573	Lgals9	-2.6066596298614	0.0066747888323687	No	No
O08585	Clta	-4.2886650713765	0.0001907368189075	No	No
O08663	Metap2	-3.19950475564882	0.0080419585437738	No	No
O08692	Ngp	-6.49509798433896	2.13231085244529e-10	No	No
O08709	Prdx6	-3.24263969479257	0.0016688119051694	No	No
O08738	Casp6	-6.71235335099919	0.000353886322436	No	No
O08739	Ampd3	-5.10052572601294	0.0020118991645043	No	No
O08749	Dld	-3.79058881185239	0.0001560486466882	No	No
O08759	Ube3a	-5.68025880239778	0.0019518644435719	No	No
O08797	Serpinb9	-4.25823338329883	0.0001425881090985	No	No
O08804	Serpinb6b	-4.23574609257914	0.0024107714043748	No	No
O08807	Prdx4	-2.32498347394395	0.0042512633878933	No	No
O08808	Diaph1	-7.09658862394077	2.04472041160175e-05	No	No
O08992	Sdcbp	-4.72341986230806	6.92909150742802e-05	No	No
O08997	Atox1	-5.36285279992948	1.98749050046777e-08	No	No
O09043	Napsa	-2.60522083371565	2.44104123733206e-05	No	No
O09061	Psmb1	-2.52768041454079	0.0012529669985698	No	No
O09131	Gsto1	-3.52495033380072	5.50201543650845e-05	No	No
O09159	Man2b1	-2.10804193097084	0.0029973627317953	No	No
O35075	Vps26c	-4.06672367203353	7.14407854132459e-05	No	No
O35218	Cpsf2	-2.64296869283074	0.0059622952532581	No	No
O35242	Nsmaf	-3.74037487188955	9.56391997134211e-05	No	No
O35295	Purb	-3.35181380201853	0.0019455977168854	No	No
O35309	Nmi	-3.31013038879948	4.15562866914616e-05	No	No
O35343	Kpna4	-2.50694101561226	0.0073145008879176	No	No
O35350	Capn1	-3.17504510584936	0.0003801352705803	No	No
O35598	Adam10	-2.77391328349139	0.0093897418325055	No	No
O35638	Stag2	-3.15406924412048	0.0014221879195429	No	No
O35639	Anxa3	-3.19053962131711	3.85822204995964e-06	No	No
O35643	Ap1b1	-2.37565172731506	0.0009357814891255	No	No
O35654	Pold2	-4.52079060867064	1.25843611192683e-07	No	No
O35691	Pnn	-4.12217179112089	0.0027993857940725	No	No
O35744	Chil3	-5.84062886120249	2.19322423630411e-12	No	No
O35855	Bcat2	-2.88024002075418	0.0038835733977574	No	No
O35887	Calu	-3.43756178981371	0.0023644214586116	No	No
O35904	Pik3cd	-6.52692589285265	1.21060005977783e-07	No	No
O35955	Psmb10	-3.17307899350252	0.0001559552072679	No	No
O54782	Man2b2	-3.29657086365947	0.0083467019948947	No	No
O54824	Il16	-3.02688569079239	0.0003000306989658	No	No
O54833	Csnk2a2	-4.44900634501021	0.000617148474855	No	No
O54940	Bnip2	-2.78103781446888	0.0024064072082627	No	No
O54941	Smarce1	-5.64683920829519	3.03186719817864e-07	No	No
O54946	Dnajb6	-4.54719924305386	0.0018120201818025	No	No
O54988	Slk	-6.33738463945726	0.0002149438073232	No	No
O55023	Impa1	-2.74272498823173	2.52696797393883e-05	No	No
O55029	Copb2	-2.49605440869968	0.0042625191551614	No	No
O55128	Sap18	-4.87662099998926	0.0011925417752985	No	No
O55201	Supt5h	-6.17985283126283	0.0006393687967033	No	No
O70133	Dhx9	-2.73471223543429	0.0028480190977836	No	No
O70138	Mmp8	-5.94064937190338	2.86217932079732e-10	No	No
O70145	Ncf2	-4.96227126592328	0.0013712608681096	No	No
O70172	Pip4k2a	-7.11891111442469	3.20005038874237e-09	No	No
O70310	Nmt1	-3.55340284798855	0.009291933058458	No	No
O70325	Gpx4	-3.33924940785725	2.75920889718437e-05	No	No
O70400	Pdlim1	-4.73229111654587	9.96970966121614e-05	No	No
O70435	Psma3	-2.52825358232916	0.0009048328830968	No	No
O70492	Snx3	-4.86909097522555	0.0001680591947123	No	No
O70566	Diaph2	-3.47380782833885	0.0025550548058547	No	No
O70591	Pfdn2	-6.2623710717219	5.17258878357413e-05	No	No
O88325	Naglu	-3.05481816287924	0.0013713370267784	No	No
O88342	Wdr1	-2.25848391674747	7.53441151939554e-05	No	No
O88456	Capns1	-3.61308224295282	0.0021722771427842	No	No
O88512	Ap1g2	-3.74804075886611	0.0027782475184096	No	No
O88543	Cops3	-2.3363931427212	0.0063584251450115	No	No
O88544	Cops4	-3.00718642068881	0.0023706903654857	No	No
O88545	Cops6	-4.19520047837223	0.0047906401048386	No	No
O88593	Pglyrp1	-4.93766157765657	4.85876113800587e-07	No	No
O88668	Creg1	-2.30846444042503	0.0002963504443287	No	No
O88712	Ctbp1	-3.36409384912764	0.0028860783559697	No	No
O88844	Idh1	-2.68160539916446	8.46407425117328e-05	No	No
O88879	Apaf1	-6.0265674505041	0.0001738564359854	No	No
O88958	Gnpda1	-2.23891374492645	0.0004822460270172	No	No
O88968	Tcn2	-8.31221476164893	3.86684627092077e-12	No	No
O89053	Coro1a	-2.32399499066543	0.0056472829102766	No	No
O89079	Cope	-7.3769241252383	2.89335511349318e-08	No	No
P00375	Dhfr	-3.578426287821	0.0016677979766791	No	No
P00493	Hprt1	-2.43026326615994	7.08517573904677e-05	No	No
P00920	Ca2	-5.48999046047913	0.003602649494597	No	No
P01027	C3	-5.18100993193102	2.09463342465087e-05	No	No
P01837	Igkc	-2.63819346377643	8.86829476159219e-05	No	No
P01869	Ighg1	-3.81413041991349	0.0001253903718699	No	No
P01872	Ighm	-8.27175540743421	8.850487066545801e-10	No	No
P01887	B2m	-4.17846287858076	2.82507300033895e-05	No	No
P03958	Ada	-4.87397837565493	4.93063432742436e-05	No	No
P04117	Fabp4	-2.05710438185098	0.0002496796784886	No	No
P05063	Aldoc	-3.16527287932843	4.8700889340611e-05	No	No
P05064	Aldoa	-2.7835619000991	0.0003897744850405	No	No
P05132	Prkaca	-3.97948638896723	0.0004081582931066	No	No
P05201	Got1	-2.60620370431664	0.0066210972840102	No	No
P05202	Got2	-2.40060542167507	0.0005493711309608	No	No
P05555	Itgam	-6.94920510261709	1.26626308644827e-07	No	No
P05977	Myl1	-7.32118763068919	6.4345273666523e-05	No	No
P06151	Ldha	-2.11232379491856	0.0003628635064491	No	No
P06745	Gpi	-3.06132625050554	3.29493858914003e-06	No	No
P06800	Ptprc	-4.49608041461212	0.0001920848570625	No	No
P06801	Me1	-7.42057212815142	0.0038815802750898	No	No
P07356	Anxa2	-2.30243273908562	0.0036363781741932	No	No
P07759	Serpina3k	-2.41955039141769	8.2257700345932e-05	No	No
P08003	Pdia4	-5.66415027730041	4.01098968401269e-05	No	No
P08030	Aprt	-3.85902223305769	0.0005945422101046	No	No
P08071	Ltf	-5.72843564055998	1.8435567454917101e-09	No	No
P08074	Cbr2	-2.00132174722511	0.0015102287142013	No	No
P08103	Hck	-3.09533341972902	0.00240955822436	No	No
P08228	Sod1	-2.41339946586949	0.002507525330166	No	No
P08249	Mdh2	-3.09192409435928	0.0007966330891013	No	No
P08775	Polr2a	-5.78846018292916	0.0009219889206589	No	No
P08905	Lyz2	-3.37300783546002	1.89702378883187e-07	No	No
P09103	P4hb	-4.13303928832111	0.0002708602776502	No	No
P09411	Pgk1	-3.23645322185961	0.0038736029612231	No	No
P09602	Hmgn2	-2.78566021766769	0.000261603504549	No	No
P0C0S6;Q3THW5	H2az1;H2az2	-2.83824581703496	0.0044015522746848	No	No
P0DOV2	Ifi204	-2.68993266389577	0.0071175506662847	No	No
P10107	Anxa1	-3.46767555381828	4.03772036117084e-05	No	No
P10493	Nid1	-3.21808615751566	0.0079936534934558	No	No
P10518	Alad	-2.85973542431041	0.0030477897981583	No	No
P10639	Txn	-3.07026050673297	5.61453131427709e-06	No	No
P10649	Gstm1	-3.72042422050582	5.735177385823e-07	No	No
P10711	Tcea1	-4.31171532703866	0.0055187739082788	No	No
P10810	Cd14	-4.66162843338559	0.0005366822199694	No	No
P11103	Parp1	-3.90521423552012	0.0004638047743076	No	No
P11276	Fn1	-5.49893826908353	0.0017260485523218	No	No
P11352	Gpx1	-2.69235979080922	0.0001827342208475	No	No
P11672	Lcn2	-7.09749250367585	3.65318246258138e-10	No	No
P11835	Itgb2	-4.73427800629797	2.17173139410777e-07	No	No
P12265	Gusb	-2.21361173860035	0.0003571241252373	No	No
P12388	Serpinb2	-10.4118051308901	1.2606102958603499e-11	No	No
P13020	Gsn	-2.56629458210345	0.0072741361921722	No	No
P13439	Umps	-3.77673351571695	0.0031903389141771	No	No
P13864	Dnmt1	-4.57383132068004	0.0001646018085237	No	No
P14069	S100a6	-2.71844098124618	0.001114217210636	No	No
P14211	Calr	-2.94969894517333	0.0001739983587082	No	No
P14576	Srp54	-6.04053261610951	4.26201436141795e-05	No	No
P14685	Psmd3	-2.59639811677999	0.0081888698194243	No	No
P14869	Rplp0	-2.56264654883777	0.0082600868557375	No	No
P15307	Rel	-4.15474862187271	3.52499482978522e-05	No	No
P15379	Cd44	-2.12296000738367	0.0040618824123	No	No
P15532	Nme1	-3.10273902782809	7.92097688330571e-05	No	No
P15864	H1-2	-3.30867350388992	0.000456222249841	No	No
P16110	Lgals3	-2.45750993075989	0.0030173568312783	No	No
P17047	Lamp2	-2.38861250427775	0.0001348028351532	No	No
P17095	Hmga1	-7.8966917055855	8.96868498148315e-08	No	No
P17182	Eno1	-2.85612587997641	0.0002007529670462	No	No
P17225	Ptbp1	-4.2883917288226	0.0067561618229084	No	No
P17426	Ap2a1	-2.74654885740248	0.0008402639452278	No	No
P17427	Ap2a2	-3.10252051692059	5.02217373425889e-05	No	No
P17563	Selenbp1	-2.652490199098	4.57846624348917e-05	No	No
P17742	Ppia	-2.44988141813494	0.0050711747925857	No	No
