Protein_Group	Genes	TRM_day15_vs_MoMacs_day15_logFC	TRM_day15_vs_MoMacs_day15_pval	Removed?	Contaminant?
A0A0G2JG52	Crybg1	6.955951978115	0.0038346025035333	No	No
A0A140T8M5	Igkv6-15	5.59337457660311	5.22109409220813e-06	No	No
A2AAY5	Sh3pxd2b	4.01367450184276	0.000751177121958	No	No
A3KMP2	Ttc38	3.05264732047691	0.0089945891145143	No	No
D3YUU6	Crnn	8.09993638176496	1.47781397779837e-10	No	No
D3YZZ5	Tmed7	8.2698738019067	5.13411114886947e-06	No	No
E9PV24	Fga	9.57392557202579	5.4918615619191e-08	No	No
E9PVA8	Gcn1	5.00674953139896	0.0027511350553766	No	No
E9Q4P1	Wdfy1	4.91799737266127	0.0011153295430058	No	No
F8VPN4	Agl	3.99813083913479	0.0014759973875847	No	No
J3QN89	Aamp	5.79100619004022	2.70283010011811e-05	No	No
O08529	Capn2	2.36823256892995	0.0009970359279733	No	No
O08739	Ampd3	4.30377135639861	0.0073170896633785	No	No
O08749	Dld	3.71520574725545	0.0001947148251137	No	No
O08807	Prdx4	2.17011987130023	0.0069802241111254	No	No
O08808	Diaph1	5.27496441390992	0.0005923626408472	No	No
O09043	Napsa	5.52322640476124	1.26344920005443e-10	No	No
O09131	Gsto1	3.43036276323891	7.61310512272162e-05	No	No
O35350	Capn1	4.17774263178262	1.5325552177645e-05	No	No
O35640	Anxa8	5.81316751883903	0.0075985833517319	No	No
O35744	Chil3	3.42649738819649	4.28859379990524e-08	No	No
O35887	Calu	5.68669716233416	1.01936720501503e-05	No	No
O54782	Man2b2	4.05263660123052	0.0017399631735534	No	No
O54833	Csnk2a2	3.66227390202649	0.0033850396012269	No	No
O55137	Acot1	8.46233343396644	1.5255130954818e-07	No	No
O55234	Psmb5	3.27433770407206	0.0054043046814015	No	No
O70400	Pdlim1	3.89354802081756	0.0007752007573462	No	No
O70492	Snx3	3.97270370001864	0.0012813107694877	No	No
O70591	Pfdn2	5.7609811409767	0.0001372562862366	No	No
O88325	Naglu	2.68165056908126	0.0039971517360345	No	No
O88456	Capns1	3.87733381198229	0.0011779228221148	No	No
