Protein_Group	Genes	TRM_day15_vs_TRM_day30_logFC	TRM_day15_vs_TRM_day30_pval	Removed?	Contaminant?
E9Q4P1	Wdfy1	4.81803490780616	0.000467332667523	No	No
O08582	Gtpbp1	6.10931185054445	2.02193366470267e-05	No	No
P05132	Prkaca	2.90953599565669	0.0025715778194595	No	No
P07744	Krt4	4.4920627195788	0.005948935072906	No	No
P23475	Xrcc6	5.31091926833151	0.0001507037404135	No	No
P27659	Rpl3	3.49670664685099	0.0051632592859417	No	No
P32883	Kras	2.55069065391188	0.0003677270163243	No	No
P36552	Cpox	5.19402663013741	0.0002577130819641	No	No
P39749	Fen1	4.62109415027029	0.0001541781910452	No	No
P41216	Acsl1	6.14066129838477	4.89283783736038e-05	No	No
P51410	Rpl9	2.7116577004289	0.0055536236275437	No	No
P61255	Rpl26	3.46586418200593	0.0061727801079767	No	No
P61514	Rpl37a	2.92334069370945	0.008221301890483	No	No
P62082	Rps7	2.56581867490925	0.009345585091396	No	No
P67778	Phb	2.83945641785645	0.008291338984564	No	No
P70388	Rad50	8.03441290796962	5.53979052312577e-11	No	No
P83882	Rpl36a	4.59815998648848	0.0006923848750909	No	No
P97313	Prkdc	4.5830454634104	0.0080255794058623	No	No
Q01730	Rsu1	4.33030115484546	0.0004628916315603	No	No
Q3TIX9	Usp39	4.5439595882814	5.88089423899741e-05	No	No
Q569Z6	Thrap3	4.60401177354704	0.0070184306342035	No	No
Q60996	Ppp2r5c	4.36692610799088	0.0001475949740891	No	No
Q61503	Nt5e	2.24477147374249	0.007769301473145	No	No
Q61941	Nnt	4.9648095009053	0.0027868583182737	No	No
Q62376	Snrnp70	6.05341121746483	0.0002947061203503	No	No
Q64310	Surf4	2.62353566003292	0.0060874652544699	No	No
Q6P5D8	Smchd1	3.61376220991129	0.0032448065355876	No	No
Q7TN29	Smap2	3.34753011159859	0.0025191750388439	No	No
Q80X82	Sympk	3.8498539130173	0.0002627800119933	No	No
Q8BMA6	Srp68	6.30101240308743	2.49115041802698e-05	No	No
Q8BMJ3	Eif1ax	2.67838090085808	0.0028920698387615	No	No
Q8C0J2	Atg16l1	2.84314361656034	0.0076763374723635	No	No
Q8CC86	Naprt	2.4142222196924	0.0060200025567923	No	No
Q8CHP8	Pgp	2.33690569159684	0.0062992544765522	No	No
Q8K2T8	Paf1	3.91811577828567	0.0010846136487747	No	No
Q8K310	Matr3	3.09761435834534	0.0097990637260561	No	No
Q8R317	Ubqln1	6.02078466476917	3.8509177758605e-09	No	No
Q8R3P6	Ints14	6.15268788132953	1.74380809398749e-08	No	No
Q8VCH8	Ubxn4	3.29693720914994	5.9803384218053e-05	No	No
Q8VDP4	Ccar2	4.1515928965492	0.0049671671704184	No	No
Q8VDQ1	Ptgr2	5.99417303789459	0.0046587695094372	No	No
Q8VEE0	Rpe	7.19800726701626	1.07475994274888e-07	No	No
Q8VH51	Rbm39	6.29478591092078	4.01716665683025e-05	No	No
Q8VHK9	Dhx36	4.66830898940653	0.000222309712913	No	No
Q91VR8	Brk1	2.64670120965527	0.002029804202768	No	No
Q99JR8	Smarcd2	4.40442668001297	0.0094307233941977	No	No
Q9CPU0	Glo1	3.76077173825746	0.0053586968365514	No	No
Q9CQC8	Spg21	3.86292935556603	0.000231882855508	No	No
Q9CQK7	Rwdd1	5.66906080611841	1.11062728350859e-08	No	No
Q9CQQ7	Atp5pb	7.12249776487104	0.0001694535741406	No	No
Q9CRT8	Xpot	3.70163011913329	0.0079615543667291	No	No
Q9D0M0	Exosc7	2.26754413945782	0.0037563530749392	No	No
Q9D1G1	Rab1b	3.29132064655887	0.0041262073626255	No	No
Q9D5V5	Cul5	6.66578259377367	6.15011474554094e-05	No	No
Q9D6M3	Slc25a22	6.19382099954779	1.2091647388221e-10	No	No
Q9D6R2	Idh3a	4.08458061028296	0.00065528375814	No	No
Q9D6Y9	Gbe1	4.46692981510288	0.000436574163077	No	No
Q9D898	Arpc5l	4.49372208428891	0.003115724083736	No	No
Q9DB73	Cyb5r1	7.82563047740671	5.51679764847201e-08	No	No
Q9DBR1	Xrn2	4.87362101861979	0.0001811050373067	No	No
Q9DCT2	Ndufs3	5.89622006332028	0.0004583528515652	No	No
Q9ESJ0	Xpo4	4.99884216853643	7.95557359461289e-05	No	No
Q9JL15	Lgals8	3.5371380771464	0.0038175817474543	No	No
Q9QXX4	Slc25a13	5.57316440327163	6.45037767049355e-05	No	No
Q9R1C7	Prpf40a	8.88816826042404	5.44715443734432e-08	No	No
Q9WVG6	Carm1	4.75388116361983	0.0003378928691058	No	No
A0A075B5M7	Igkv5-39	-2.52906964867451	0.0006332464698081	No	No
A2ASS6	Ttn	-2.84200896321419	0.0081919678127856	No	No
P08226	Apoe	-3.21319672792327	0.0033010171812327	No	No
P31725	S100a9	-2.12662552799953	0.0053404684215523	No	No
Q3T9E4;Q62293	Tgtp1;Tgtp2	-6.3592993253033	1.4830104270658002e-10	No	No
Q61107	Gbp4	-3.68067782027416	9.74402924844302e-06	No	No
Q80X71	Tmem106b	-2.25183034209762	0.0021621643412158	No	No
