Protein_Group	Genes	Bait_vs_Ctrl_logFC	Bait_vs_Ctrl_pval	Removed?	Contaminant?
O00429	DNM1L	4.00397676142025	0.0001715694666865	No	No
O14908	GIPC1	4.19298201061316	4.85131673965349e-06	No	No
O15049	N4BP3	4.84339046082966	3.40603506701018e-07	No	No
O15160	POLR1C	4.62716158338173	1.919362118835e-08	No	No
O15417	TNRC18	4.85876956991751	0.0019203761205845	No	No
O43747	AP1G1	4.18282218910488	2.69202179896233e-07	No	No
O43795	MYO1B	4.42612716886448	5.97395463591962e-06	No	No
O60831	PRAF2	4.3803217480979	1.74079439245005e-10	No	No
O75376	NCOR1	4.7948269231987	0.0005387459252505	No	No
O75394	MRPL33	4.5355900329225	7.19069311495889e-06	No	No
O75787	ATP6AP2	6.92305138697641	3.06030271470566e-10	No	No
O76071	CIAO1	4.77382229939204	1.42424969251945e-09	No	No
O94776	MTA2	4.20807142575913	0.0012124974042802	No	No
O94826	TOMM70	4.04106833833275	1.44946933493902e-07	No	No
O94919	ENDOD1	4.97926277446594	7.63737231979055e-06	No	No
O95816	BAG2	3.89710209014534	2.28228367640558e-06	No	No
O95832	CLDN1	4.6902932425842	4.17278533755917e-10	No	No
P00387	CYB5R3	6.97692028710941	2.3707931755203e-09	No	No
P00846	MT-ATP6	4.8541540059752	1.36085709732802e-08	No	No
P01877	IGHA2	4.96505197412961	4.87637178818708e-06	No	No
P05455	SSB	5.5033440288272	3.8253940539245e-11	No	No
P06400	RB1	7.13004220346733	8.68850281382437e-10	No	No
P09497	CLTB	5.7531142410826	5.84252119900484e-11	No	No
P11532	DMD	4.24210249232489	3.65378528735211e-06	No	No
P16144	ITGB4	3.90630067043945	0.0030585041142129	No	No
P17302	GJA1	6.00895906283594	1.86868036585538e-05	No	No
P18206	VCL	4.07066201146196	0.0004614539863279	No	No
P20248	CCNA2	4.71777928411424	7.78965024185156e-06	No	No
P22223	CDH3	4.64523834535201	2.82972475317e-09	No	No
P24385	CCND1	11.5790136687939	2.9641757743431503e-14	No	No
P30281	CCND3	14.6090339262285	4.97256117357759e-17	No	No
P33908	MAN1A1	5.8903129444377	3.09576424490296e-11	No	No
P37268	FDFT1	5.27828107618361	9.61679203916518e-10	No	No
P38936	CDKN1A	13.2180130837823	3.86806321168863e-16	No	No
P41227	NAA10	5.12251567095976	5.65008702658842e-05	No	No
P42772	CDKN2B	14.9503657068455	2.93667172252834e-17	No	No
P42773	CDKN2C	17.2003570924737	1.84287078543243e-15	No	No
P46060	RANGAP1	5.28589567229445	5.83218836954799e-09	No	No
