Protein_Group	Genes	mCDK6+P_vs_hCDK6_HA-_logFC	mCDK6+P_vs_hCDK6_HA-_pval	Removed?	Contaminant?
O15160	POLR1C	5.54317535747741	1.01294525516582e-06	No	No
O94910	ADGRL1	3.23568187630639	5.50331380230335e-05	No	No
O94964	SOGA1	3.01957452081752	2.9082816510676e-05	No	No
O95816	BAG2	2.92727275275545	5.06532254679401e-12	No	No
P08185	SERPINA6	5.89180131342779	1.22630327120721e-09	No	No
P11532	DMD	2.93272709700705	2.14960944884895e-05	No	No
P12074	COX6A1	3.07866891646688	0.0011775701426306	No	No
P17302	GJA1	8.63859936442726	1.174962568272e-29	No	No
P20248	CCNA2	3.81720151763268	7.88541342341574e-13	No	No
P24385	CCND1	12.3735803500033	3.96765233307961e-40	No	No
P24941	CDK2	3.29070022186753	3.56624871893716e-05	No	No
P26232	CTNNA2	5.18880481063362	4.4286455011364903e-23	No	No
P29728	OAS2	3.69750281381447	1.7520238103952499e-12	No	No
P30281	CCND3	14.6531737595415	1.39441517552866e-34	No	No
P35568	IRS1	3.45314928155439	0.0058772602712881	No	No
P38936	CDKN1A	7.76137645953678	3.88774140493882e-22	No	No
P42772	CDKN2B	15.6676023661702	4.64725041996752e-34	No	No
P42773	CDKN2C	13.1984364927358	2.24038540120089e-34	No	No
P46087	NOP2	3.13037024464817	2.01934989718925e-06	No	No
P46527	CDKN1B	13.1865116616881	3.49327812941198e-37	No	No
P49918	CDKN1C	11.7334130203599	4.980324639004159e-30	No	No
P54868	HMGCS2	5.69086097257867	1.0071904519014e-19	No	No
P55273	CDKN2D	12.9040554284779	9.01585383323599e-35	No	No
Q00534	CDK6	11.0399593328843	9.32205891354245e-30	No	No
Q03167	TGFBR3	4.67763161436789	2.90613077627161e-13	No	No
Q08999	RBL2	10.5684695173052	2.50632617210078e-35	No	No
Q10589	BST2	4.60407340456316	2.27919506835583e-12	No	No
Q13114	TRAF3	8.41334264099904	3.08864169485894e-06	No	No
Q13443	ADAM9	3.61219926107107	6.17674938001918e-06	No	No
Q14188	TFDP2	2.88521551348006	0.0003863283999447	No	No
Q14687	GSE1	4.73234759684189	4.27891850534828e-05	No	No
Q15329	E2F5	6.21751144780022	2.74722567474324e-19	No	No
Q16254	E2F4	3.25946617274508	0.0053012543199471	No	No
Q16543	CDC37	4.64219224253793	3.4054938584029204e-25	No	No
Q16890	TPD52L1	3.43510888313821	0.0014993166862772	No	No
Q24JP5	TMEM132A	2.91414673339841	3.30688949610448e-07	No	No
Q2TB10	ZNF800	4.41458486512475	2.16906524223719e-05	No	No
Q5SQI0	ATAT1	4.14415228610444	5.51437887341894e-08	No	No
Q5VYY1	ANKRD22	3.68563627179006	4.93093095974709e-07	No	No
Q8IVW4	CDKL3	4.84602231252351	5.82228380853236e-19	No	No
Q8N335;P21695	GPD1;GPD1L	3.40735671491416	2.8849974144908103e-17	No	No
Q8NCG7	DAGLB	4.39569087814885	1.68797442088145e-23	No	No
Q8NCN4	RNF169	3.24813579511686	2.7171263346725298e-11	No	No
Q8WYP5	AHCTF1	4.12379336400441	5.21808763530549e-06	No	No
Q92478	CLEC2B	3.7066331237221	4.53879682624909e-17	No	No
Q96J01	THOC3	4.51689161552934	1.73115048111801e-17	No	No
Q9BRT6	LLPH	3.0795751737254	7.942961511925221e-09	No	No
Q9H3F6	KCTD10	7.24534216849022	0.0040458314014471	No	No
Q9HCE1	MOV10	3.01055793813987	5.3176639446221e-05	No	No
Q9NVH0	EXD2	4.07265783610139	2.04007908188155e-08	No	No
Q9P273	TENM3	6.30566559612808	4.0831537046397103e-10	No	No
Q9UIS9	MBD1	5.87957719535529	3.3688185699869e-20	No	No
Q9UJH8	METRN	2.96241174784678	2.61021680780076e-09	No	No
Q9UKV5	AMFR	7.30354150624768	0.0009275406642036	No	No
Q9UQ90	SPG7	3.1405839113775	8.85131408937544e-14	No	No
Q9Y291	MRPS33	4.79908154946686	1.0239416799916299e-22	No	No
Q9Y2J4	AMOTL2	4.23534292110962	1.6338251321818e-13	No	No
Q9Y3R5	DOP1B	11.462105105188	4.08272315628307e-06	No	No
Q9Y625	GPC6	3.06692899136862	3.27114823126949e-07	No	No
