Protein_Group	Genes	mCDK6-R31C_vs_AR-B_hCDK6_logFC	mCDK6-R31C_vs_AR-B_hCDK6_pval	Removed?	Contaminant?
O15160	POLR1C	4.79889954651041	9.36117091683329e-06	No	No
O43795	MYO1B	4.15546733705065	2.56705148587416e-06	No	No
O76024	WFS1	3.56925219396819	0.0004390000081901	No	No
O95968	SCGB1D1	6.77816481597697	1.07251212386248e-17	No	No
P01889	HLA-B	4.08251674562657	1.1752917028638e-17	No	No
P02461	COL3A1	3.78628181962758	1.03484228562993e-11	No	No
P06400	RB1	3.99802050314796	3.16446673526293e-06	No	No
P08185	SERPINA6	6.29921483239169	3.0686897530452e-10	No	No
P12270	TPR	4.30776485790818	0.0041086784363566	No	No
P17302	GJA1	3.85755059583959	1.8398659043166602e-20	No	No
P20248	CCNA2	5.24528120776855	3.9137907549064006e-16	No	No
P24385	CCND1	11.5771169218144	2.34850919058358e-39	No	No
P24941	CDK2	5.65153613337998	4.40360886752404e-09	No	No
P29728	OAS2	7.79724956309353	1.86917268538675e-20	No	No
P30281	CCND3	15.4760116312753	3.24607876848207e-35	No	No
P35568	IRS1	5.29341135578946	9.38440966505412e-05	No	No
P38936	CDKN1A	8.06065166474221	1.4513355026541898e-22	No	No
P42772	CDKN2B	15.855752531301	3.3801980265693397e-34	No	No
P42773	CDKN2C	12.6529298585797	6.90525775169521e-34	No	No
P46087	NOP2	3.92138726281357	4.21013269230238e-08	No	No
P46527	CDKN1B	12.9330934341847	5.86533604068006e-37	No	No
P49918	CDKN1C	12.0394746764902	2.51223277381316e-30	No	No
P54868	HMGCS2	5.87919046283623	4.36699154584901e-20	No	No
P55273	CDKN2D	14.4604581060198	4.31715472601476e-36	No	No
P61326;Q96A72	MAGOH;MAGOHB	4.80205172933449	0.0004632938067054	No	No
Q00534	CDK6	11.4044723511346	3.9327955802140496e-30	No	No
Q04721	NOTCH2	7.24891453108368	9.90000298574814e-06	No	No
Q08999	RBL2	11.5185454309913	2.5185716063483597e-36	No	No
Q10589	BST2	5.71079387886583	1.46427287224575e-14	No	No
Q12815	TROAP	3.58335564297226	4.01802653895715e-12	No	No
Q13796	SHROOM2	6.73221790589535	1.34347886489028e-05	No	No
Q14687	GSE1	4.76039689490033	3.96001895241523e-05	No	No
Q14807	KIF22	3.58190653226518	1.31028052130085e-05	No	No
Q15329	E2F5	6.29452951982949	2.0055599637472e-19	No	No
Q15418	RPS6KA1	3.93575826485508	3.75824515022797e-16	No	No
Q16543	CDC37	4.69285867934695	2.5589871944710203e-25	No	No
Q16643	DBN1	6.94161413996623	0.003382283559802	No	No
Q2TB10	ZNF800	4.85848813141622	5.48800413949241e-06	No	No
Q7Z406	MYH14	3.91531258060339	2.88397140078173e-07	No	No
Q86V21	AACS	5.25399194784982	6.10538908899124e-14	No	No
Q8IVF2	AHNAK2	6.68095869480428	0.0032932185719897	No	No
Q8IVT2	MISP	3.68870483408604	1.3015158155727399e-11	No	No
Q8IVW4	CDKL3	5.59169930654128	1.48454911619018e-20	No	No
Q8IWA0	WDR75	4.07837572928346	5.2448174751711e-10	No	No
Q8NB90	SPATA5	5.60848271361297	0.0015581231560073	No	No
Q8NCG7	DAGLB	4.63784393131122	4.14133815540859e-24	No	No
Q8NCN4	RNF169	4.65442513312516	6.516336289585511e-15	No	No
Q8NI77	KIF18A	4.43101291995755	1.8362998521342602e-10	No	No
Q8TDR2	STK35	4.17242338843177	3.03998231142815e-05	No	No
Q8WWQ0	PHIP	5.77313470748016	0.0020386888008295	No	No
Q8WYP5	AHCTF1	4.51784238582963	1.25754388051498e-06	No	No
Q92870	APBB2	3.70882148751215	1.02840112123316e-08	No	No
Q96B96	TMEM159	6.70467998401553	5.47675580944461e-10	No	No
Q96FS4	SIPA1	5.01549485802529	8.83800836198075e-14	No	No
Q96GD4	AURKB	3.69609670384617	9.418162716461511e-17	No	No
Q9BRT6	LLPH	3.82314185998063	9.37917425477504e-11	No	No
Q9H3F6	KCTD10	9.62180050177329	0.0002820857253995	No	No
Q9H568	ACTL8	3.89746113642578	7.664436110410571e-09	No	No
Q9H7B2	RPF2	3.96887786570918	4.70845157961531e-05	No	No
Q9NQS7	INCENP	4.20739934701136	9.34117628257463e-09	No	No
Q9NZZ3	CHMP5	4.51397697379094	1.6814008989047298e-18	No	No
Q9UIF9	BAZ2A	4.58993551668381	3.74191140779238e-09	No	No
Q9UIS9	MBD1	5.51837881392154	1.71357784577199e-19	No	No
Q9UKV5	AMFR	7.53742104199557	0.0006798630692141	No	No
Q9ULD2	MTUS1	5.11227871196921	3.43620419162636e-08	No	No
Q9UQ90	SPG7	4.07087626384516	1.63599047221624e-16	No	No
Q9Y2J4	AMOTL2	5.42017438840339	4.27124735972972e-16	No	No
Q9Y3R5	DOP1B	11.4622785311703	4.08178382849254e-06	No	No
Q9Y4W2	LAS1L	4.61410171623069	3.6290557605428204e-20	No	No
