Protein_Group	Genes	mCDK6_500P_vs_hCDK6_HA-_logFC	mCDK6_500P_vs_hCDK6_HA-_pval	Removed?	Contaminant?
O15160	POLR1C	3.83009635099194	0.0001770934287956	No	No
O43795	MYO1B	4.04727104367648	3.85722801107485e-06	No	No
O94919	ENDOD1	3.45053663489087	4.74562002957024e-06	No	No
O95340	PAPSS2	3.5597436627515	1.77691603039599e-08	No	No
O95816	BAG2	3.37153186421161	1.9643941052911e-13	No	No
P01889	HLA-B	3.75399422097016	9.58702636718541e-17	No	No
P02461	COL3A1	4.64682083994116	9.33229981438082e-14	No	No
P06400	RB1	3.86013098299805	5.3961671053007e-06	No	No
P08185	SERPINA6	7.21492741875073	1.6356082691704e-11	No	No
P0DP57	SLURP2	3.76954606512663	7.7253573848328705e-19	No	No
P12883;P13533	MYH6;MYH7	3.70923818233531	5.08582385992857e-07	No	No
P17302	GJA1	4.72406968671942	9.59397834193801e-23	No	No
P20248	CCNA2	5.2451654301458	3.91591745726484e-16	No	No
P24385	CCND1	11.4460534107106	3.18367011502952e-39	No	No
P24941	CDK2	4.46118321664181	3.4882187792706e-07	No	No
P27986	PIK3R1	4.1774059613318	4.7483041914084e-20	No	No
P28749	RBL1	3.22790302736272	3.4286408503526995e-12	No	No
P29728	OAS2	7.34768375192072	8.603443215470401e-20	No	No
P30281	CCND3	15.0793113261915	6.49027546535732e-35	No	No
P30536	TSPO	3.83526520417698	5.99850782861781e-20	No	No
P33908	MAN1A1	3.45139877028656	6.2341270848917105e-09	No	No
P35568	IRS1	5.86935875040653	2.46739501959544e-05	No	No
P38432	COIL	3.37360652990365	1.30824854110372e-05	No	No
P38936	CDKN1A	7.52360616543038	8.72852622839682e-22	No	No
P42772	CDKN2B	15.5133547411061	6.0502359668378295e-34	No	No
P42773	CDKN2C	12.3271317900977	1.3842794726317001e-33	No	No
P46527	CDKN1B	12.4114783858608	1.7607202806127198e-36	No	No
P49918	CDKN1C	11.3864532970826	1.1054830926729499e-29	No	No
P53814	SMTN	3.45998660482992	1.7486914347963e-07	No	No
P54868	HMGCS2	7.26458229394273	1.8237116111112e-22	No	No
P55273	CDKN2D	13.1827533904931	5.098262910621631e-35	No	No
P61326;Q96A72	MAGOH;MAGOHB	3.79526589023822	0.003976376921522	No	No
Q00534	CDK6	11.0898241090832	8.27034043726178e-30	No	No
Q08999	RBL2	11.4017811303975	3.30586051849178e-36	No	No
Q10589	BST2	4.96589727505221	3.99404415179527e-13	No	No
Q13443	ADAM9	3.68457227363141	4.58775106652815e-06	No	No
Q13796	SHROOM2	5.23360395529201	0.0003164044832443	No	No
Q14669	TRIP12	3.90077648101099	1.18830876591099e-07	No	No
Q14764	MVP	3.34277232868766	0.0001003085096984	No	No
Q15329	E2F5	6.43638996659609	1.13361215919854e-19	No	No
Q16543	CDC37	4.01347930364536	1.5537219531700902e-23	No	No
Q16643	DBN1	7.95128268612884	0.0010257143808465	No	No
Q2TB10	ZNF800	3.94675761102078	9.29462597547599e-05	No	No
Q5T160	RARS2	5.83314755718938	0.0010761665807874	No	No
Q7Z406	MYH14	3.94793121547028	2.49828321583498e-07	No	No
Q86V21	AACS	5.2280013259352	6.86690336730287e-14	No	No
Q8IVT2	MISP	3.42636137324419	6.56717943593229e-11	No	No
Q8IVW4	CDKL3	6.00713248231773	2.328684359987e-21	No	No
Q8N283	ANKRD35	3.96279559382826	8.90583931189517e-08	No	No
Q8N7H5	PAF1	3.87740119085751	1.41266384785063e-06	No	No
Q8NCG7	DAGLB	4.49970564769959	9.149494704662721e-24	No	No
Q8NCN4	RNF169	4.16008879950951	9.544524320753371e-14	No	No
Q8NE86	MCU	3.40328516897127	1.39106939229501e-05	No	No
Q8NI77	KIF18A	4.93053684288741	1.8112158641778e-11	No	No
Q8TE77	SSH3	3.19524899825883	0.0004829200419391	No	No
Q8WW59	SPRYD4	3.55235835666214	5.55417629603675e-12	No	No
Q8WYP5	AHCTF1	4.00593548082456	8.01996058874331e-06	No	No
Q92870	APBB2	3.67193623476163	1.24684429301026e-08	No	No
Q96B96	TMEM159	6.87598130536518	3.23334817164809e-10	No	No
Q96BK5	PINX1	3.40204927299914	0.0002951683527319	No	No
Q96FS4	SIPA1	4.24059195088595	4.28632121996855e-12	No	No
Q9BQA1	WDR77	7.09798146661289	0.0009197355157762	No	No
Q9BYX7	POTEKP	5.87499480671929	1.5281978165998e-16	No	No
Q9H3F6	KCTD10	9.39662106720507	0.000364637072737	No	No
Q9NRZ9	HELLS	5.69024907370678	0.0070765475418078	No	No
Q9P273	TENM3	3.3089553519994	3.00389869149212e-05	No	No
Q9UEW8	STK39	5.87883609585715	7.04373726433693e-21	No	No
Q9UIF9	BAZ2A	3.29319304856652	1.48328873278762e-06	No	No
Q9UJH8	METRN	3.47596557662137	9.395109253428319e-11	No	No
Q9UKV5	AMFR	5.48845125901234	0.0094271555721318	No	No
Q9ULD2	MTUS1	5.06218008521577	4.12600214036748e-08	No	No
Q9Y2J4	AMOTL2	4.62420910668695	2.032941866052e-14	No	No
Q9Y6M1	IGF2BP2	3.32962980909695	5.32205474685809e-08	No	No
